Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000000002	9	54
ENSHBUG00000000003	2	31
ENSHBUG00000000004	0	0
ENSHBUG00000000005	0	0
ENSHBUG00000000006	4	19
ENSHBUG00000000007	0	0
ENSHBUG00000000008	3	31
ENSHBUG00000000009	1	37
ENSHBUG00000000010	1	39
ENSHBUG00000000011	42	63
ENSHBUG00000000012	10	26
ENSHBUG00000000013	0	0
ENSHBUG00000000014	0	0
ENSHBUG00000000015	0	0
ENSHBUG00000000016	0	0
ENSHBUG00000000017	685	723
ENSHBUG00000000018	6	11
ENSHBUG00000000019	107	145
ENSHBUG00000000020	0	0
ENSHBUG00000000021	1	42
ENSHBUG00000000022	0	0
ENSHBUG00000000023	1	38
ENSHBUG00000000024	0	0
ENSHBUG00000000025	0	0
ENSHBUG00000000026	0	0
ENSHBUG00000000027	0	0
ENSHBUG00000000028	0	0
ENSHBUG00000000029	1	25
ENSHBUG00000000030	49	70
ENSHBUG00000000031	0	0
ENSHBUG00000000032	2	48
ENSHBUG00000000033	2	42
ENSHBUG00000000034	291	326
ENSHBUG00000000035	0	0
ENSHBUG00000000036	0	0
ENSHBUG00000000037	9	17
ENSHBUG00000000038	385	391
ENSHBUG00000000039	0	0
ENSHBUG00000000040	0	0
ENSHBUG00000000041	0	0
ENSHBUG00000000042	0	0
ENSHBUG00000000043	0	0
ENSHBUG00000000044	6	50
ENSHBUG00000000045	0	0
ENSHBUG00000000046	2	44
ENSHBUG00000000047	2560	2582
ENSHBUG00000000048	5	39
ENSHBUG00000000049	17	37
ENSHBUG00000000050	0	0
ENSHBUG00000000051	1	32
ENSHBUG00000000052	3	37
ENSHBUG00000000053	8	23
ENSHBUG00000000054	1	30
ENSHBUG00000000055	1	47
ENSHBUG00000000056	275	283
ENSHBUG00000000057	84	123
ENSHBUG00000000058	0	0
ENSHBUG00000000059	0	0
ENSHBUG00000000060	0	0
ENSHBUG00000000061	0	0
ENSHBUG00000000062	0	0
ENSHBUG00000000063	0	0
ENSHBUG00000000064	0	0
ENSHBUG00000000065	3	10
ENSHBUG00000000066	0	0
ENSHBUG00000000067	5	32
ENSHBUG00000000068	1	49
ENSHBUG00000000069	0	0
ENSHBUG00000000070	0	0
ENSHBUG00000000071	7	47
ENSHBUG00000000072	2	23
ENSHBUG00000000073	0	0
ENSHBUG00000000074	0	0
ENSHBUG00000000075	0	0
ENSHBUG00000000076	1	48
ENSHBUG00000000077	6	45
ENSHBUG00000000078	0	0
ENSHBUG00000000079	2175	2184
ENSHBUG00000000080	1	29
ENSHBUG00000000081	0	0
ENSHBUG00000000082	1	46
ENSHBUG00000000083	400	410
ENSHBUG00000000084	0	0
ENSHBUG00000000085	1	2
ENSHBUG00000000086	1	42
ENSHBUG00000000087	0	0
ENSHBUG00000000088	0	0
ENSHBUG00000000089	2	37
ENSHBUG00000000090	2	39
ENSHBUG00000000091	0	0
ENSHBUG00000000092	45	55
ENSHBUG00000000093	1	37
ENSHBUG00000000094	0	0
ENSHBUG00000000095	0	0
ENSHBUG00000000096	0	0
ENSHBUG00000000097	0	0
ENSHBUG00000000098	5	26
ENSHBUG00000000099	0	0
ENSHBUG00000000100	0	0
ENSHBUG00000000101	7	30
ENSHBUG00000000102	0	0
ENSHBUG00000000103	0	0
ENSHBUG00000000104	0	0
ENSHBUG00000000105	0	0
ENSHBUG00000000106	0	0
ENSHBUG00000000107	0	0
ENSHBUG00000000108	0	0
ENSHBUG00000000109	2	40
ENSHBUG00000000110	0	0
ENSHBUG00000000111	0	0
ENSHBUG00000000112	0	0
ENSHBUG00000000113	3	19
ENSHBUG00000000114	1	6
ENSHBUG00000000115	1	44
ENSHBUG00000000116	1	48
ENSHBUG00000000117	0	0
ENSHBUG00000000118	0	0
ENSHBUG00000000119	2	32
ENSHBUG00000000120	0	0
ENSHBUG00000000121	0	0
ENSHBUG00000000122	0	0
ENSHBUG00000000123	1	9
ENSHBUG00000000124	0	0
ENSHBUG00000000125	0	0
ENSHBUG00000000126	1	23
ENSHBUG00000000127	6	54
ENSHBUG00000000128	0	0
ENSHBUG00000000129	0	0
ENSHBUG00000000130	1	49
ENSHBUG00000000131	0	0
ENSHBUG00000000132	0	0
ENSHBUG00000000133	0	0
ENSHBUG00000000134	0	0
ENSHBUG00000000135	0	0
ENSHBUG00000000136	0	0
ENSHBUG00000000137	0	0
ENSHBUG00000000138	1	24
ENSHBUG00000000139	0	0
ENSHBUG00000000140	98	119
ENSHBUG00000000141	18	52
ENSHBUG00000000142	20	27
ENSHBUG00000000143	0	0
ENSHBUG00000000144	1	15
ENSHBUG00000000145	0	0
ENSHBUG00000000146	0	0
ENSHBUG00000000147	0	0
ENSHBUG00000000148	0	0
ENSHBUG00000000149	0	0
ENSHBUG00000000150	153	165
ENSHBUG00000000151	0	0
ENSHBUG00000000152	0	0
ENSHBUG00000000153	0	0
