Gene	Mz_1_Eye	Mz_2_Eye
ENSMZEG00005000002	0	0
ENSMZEG00005000003	41	46
ENSMZEG00005000004	0	0
ENSMZEG00005000005	177	240
ENSMZEG00005000006	0	0
ENSMZEG00005000007	390	482
ENSMZEG00005000008	1	1
ENSMZEG00005000009	688	1003
ENSMZEG00005000010	0	0
ENSMZEG00005000011	369	513
ENSMZEG00005000012	0	2
ENSMZEG00005000013	8	1
ENSMZEG00005000014	0	1
ENSMZEG00005000015	2	1
ENSMZEG00005000016	547	1068
ENSMZEG00005000017	3971	2165
ENSMZEG00005000018	114889	126516
ENSMZEG00005000019	0	0
ENSMZEG00005000020	555	283
ENSMZEG00005000021	0	0
ENSMZEG00005000022	3	3
ENSMZEG00005000023	541	508
ENSMZEG00005000024	451	333
ENSMZEG00005000025	0	0
ENSMZEG00005000026	43	62
ENSMZEG00005000027	0	0
ENSMZEG00005000028	32	40
ENSMZEG00005000029	409	454
ENSMZEG00005000030	0	0
ENSMZEG00005000031	0	0
ENSMZEG00005000032	0	0
ENSMZEG00005000033	2877	14722
ENSMZEG00005000034	38496	66034
ENSMZEG00005000035	24	31
ENSMZEG00005000036	512	468
ENSMZEG00005000037	0	1
ENSMZEG00005000038	612	372
ENSMZEG00005000039	6	0
ENSMZEG00005000040	9	2
ENSMZEG00005000041	0	0
ENSMZEG00005000042	0	0
ENSMZEG00005000043	0	0
ENSMZEG00005000044	0	0
ENSMZEG00005000045	0	1
ENSMZEG00005000046	1	0
ENSMZEG00005000047	0	0
ENSMZEG00005000048	0	0
ENSMZEG00005000049	0	1
ENSMZEG00005000050	0	0
ENSMZEG00005000051	0	0
ENSMZEG00005000052	0	0
ENSMZEG00005000053	0	0
ENSMZEG00005000054	0	0
ENSMZEG00005000055	3	1
ENSMZEG00005000056	0	0
ENSMZEG00005000057	0	0
ENSMZEG00005000058	0	2
ENSMZEG00005000059	4	0
ENSMZEG00005000060	0	0
ENSMZEG00005000061	0	0
ENSMZEG00005000062	0	0
ENSMZEG00005000063	1	0
ENSMZEG00005000064	0	0
ENSMZEG00005000065	0	0
ENSMZEG00005000066	0	0
ENSMZEG00005000067	0	0
ENSMZEG00005000068	0	0
ENSMZEG00005000069	175	101
ENSMZEG00005000070	0	0
ENSMZEG00005000071	0	0
ENSMZEG00005000072	21	1
ENSMZEG00005000073	2	0
ENSMZEG00005000074	25	3
ENSMZEG00005000075	0	0
ENSMZEG00005000076	784	959
ENSMZEG00005000077	0	1
ENSMZEG00005000078	0	0
ENSMZEG00005000079	0	0
ENSMZEG00005000080	0	0
ENSMZEG00005000081	1	0
ENSMZEG00005000082	0	0
ENSMZEG00005000083	0	2
ENSMZEG00005000084	0	0
ENSMZEG00005000085	493	275
ENSMZEG00005000086	2	2
ENSMZEG00005000087	0	0
ENSMZEG00005000088	10	1
ENSMZEG00005000089	5	13
ENSMZEG00005000090	0	0
ENSMZEG00005000091	2	1
ENSMZEG00005000092	0	0
ENSMZEG00005000093	0	1
ENSMZEG00005000094	0	0
ENSMZEG00005000095	0	0
ENSMZEG00005000096	0	0
ENSMZEG00005000097	15	9
ENSMZEG00005000098	0	0
ENSMZEG00005000099	214	303
ENSMZEG00005000100	0	0
ENSMZEG00005000101	5	4
ENSMZEG00005000102	1	0
ENSMZEG00005000103	0	0
ENSMZEG00005000104	6	0
ENSMZEG00005000105	0	0
ENSMZEG00005000106	0	6
ENSMZEG00005000107	0	0
ENSMZEG00005000108	0	1
ENSMZEG00005000109	0	0
ENSMZEG00005000110	0	0
ENSMZEG00005000111	6	1
ENSMZEG00005000112	2	0
ENSMZEG00005000113	2	0
ENSMZEG00005000114	2	0
ENSMZEG00005000115	127	117
ENSMZEG00005000116	0	0
ENSMZEG00005000117	0	0
ENSMZEG00005000118	0	0
ENSMZEG00005000119	4	2
ENSMZEG00005000120	0	0
ENSMZEG00005000121	1	2
ENSMZEG00005000122	0	0
ENSMZEG00005000123	4	0
ENSMZEG00005000124	0	0
ENSMZEG00005000125	0	0
ENSMZEG00005000126	0	0
ENSMZEG00005000127	0	0
ENSMZEG00005000128	0	0
ENSMZEG00005000129	1	3
ENSMZEG00005000130	7	1
ENSMZEG00005000131	0	0
ENSMZEG00005000132	0	0
ENSMZEG00005000133	2247	10795
ENSMZEG00005000134	0	0
