Gene	Nb_4_Eye	Nb_5_Eye
ENSNBRG00000000002	0	0
ENSNBRG00000000003	0	0
ENSNBRG00000000004	0	0
ENSNBRG00000000005	0	0
ENSNBRG00000000006	0	0
ENSNBRG00000000007	0	0
ENSNBRG00000000008	0	0
ENSNBRG00000000009	0	0
ENSNBRG00000000010	0	0
ENSNBRG00000000011	0	0
ENSNBRG00000000012	0	0
ENSNBRG00000000013	0	0
ENSNBRG00000000014	0	0
ENSNBRG00000000015	0	0
ENSNBRG00000000016	0	0
ENSNBRG00000000017	3	43
ENSNBRG00000000018	3	29
ENSNBRG00000000019	0	0
ENSNBRG00000000020	0	0
ENSNBRG00000000021	0	0
ENSNBRG00000000022	2	16
ENSNBRG00000000023	0	0
ENSNBRG00000000024	15	40
ENSNBRG00000000025	0	0
ENSNBRG00000000026	0	0
ENSNBRG00000000027	0	0
ENSNBRG00000000028	0	0
ENSNBRG00000000029	1	33
ENSNBRG00000000030	0	0
ENSNBRG00000000031	0	0
ENSNBRG00000000032	0	0
ENSNBRG00000000033	3	37
ENSNBRG00000000034	34	53
ENSNBRG00000000035	0	0
ENSNBRG00000000036	16	31
ENSNBRG00000000037	2	36
ENSNBRG00000000038	135	140
ENSNBRG00000000039	0	0
ENSNBRG00000000040	0	0
ENSNBRG00000000041	0	0
ENSNBRG00000000042	0	0
ENSNBRG00000000043	0	0
ENSNBRG00000000044	0	0
ENSNBRG00000000045	0	0
ENSNBRG00000000046	0	0
ENSNBRG00000000047	0	0
ENSNBRG00000000048	0	0
ENSNBRG00000000049	0	0
ENSNBRG00000000050	0	0
ENSNBRG00000000051	0	0
ENSNBRG00000000052	0	0
ENSNBRG00000000053	0	0
ENSNBRG00000000054	0	0
ENSNBRG00000000055	0	0
ENSNBRG00000000056	0	0
ENSNBRG00000000057	0	0
ENSNBRG00000000058	0	0
ENSNBRG00000000059	0	0
ENSNBRG00000000060	0	0
ENSNBRG00000000061	0	0
ENSNBRG00000000062	0	0
ENSNBRG00000000063	0	0
ENSNBRG00000000064	0	0
ENSNBRG00000000065	0	0
ENSNBRG00000000066	0	0
ENSNBRG00000000067	0	0
ENSNBRG00000000068	30	64
ENSNBRG00000000069	0	0
ENSNBRG00000000070	0	0
ENSNBRG00000000071	0	0
ENSNBRG00000000072	0	0
ENSNBRG00000000073	0	0
ENSNBRG00000000074	0	0
ENSNBRG00000000075	1420	1456
ENSNBRG00000000076	27903	27936
ENSNBRG00000000077	200	222
ENSNBRG00000000078	321	340
ENSNBRG00000000079	602	643
ENSNBRG00000000080	232	268
ENSNBRG00000000081	141	172
ENSNBRG00000000082	0	0
ENSNBRG00000000083	0	0
ENSNBRG00000000084	0	0
ENSNBRG00000000085	0	0
ENSNBRG00000000086	0	0
ENSNBRG00000000087	0	0
ENSNBRG00000000088	0	0
ENSNBRG00000000089	0	0
ENSNBRG00000000090	0	0
ENSNBRG00000000091	0	0
ENSNBRG00000000092	0	0
ENSNBRG00000000093	0	0
ENSNBRG00000000094	0	0
ENSNBRG00000000095	0	0
ENSNBRG00000000096	0	0
ENSNBRG00000000097	0	0
ENSNBRG00000000098	0	0
ENSNBRG00000000099	0	0
ENSNBRG00000000100	0	0
ENSNBRG00000000101	0	0
ENSNBRG00000000102	0	0
ENSNBRG00000000103	0	0
ENSNBRG00000000104	0	0
ENSNBRG00000000105	0	0
ENSNBRG00000000106	0	0
ENSNBRG00000000107	0	0
ENSNBRG00000000108	0	0
ENSNBRG00000000109	0	0
ENSNBRG00000000110	0	0
ENSNBRG00000000111	0	0
ENSNBRG00000000112	0	0
ENSNBRG00000000113	0	0
ENSNBRG00000000114	0	0
ENSNBRG00000000115	0	0
ENSNBRG00000000116	1	8
ENSNBRG00000000117	0	0
ENSNBRG00000000118	0	0
ENSNBRG00000000119	0	0
ENSNBRG00000000120	0	0
ENSNBRG00000000121	0	0
ENSNBRG00000000122	0	0
ENSNBRG00000000123	0	0
ENSNBRG00000000124	0	0
ENSNBRG00000000125	0	0
ENSNBRG00000000126	0	0
ENSNBRG00000000127	0	0
ENSNBRG00000000128	0	0
ENSNBRG00000000129	0	0
ENSNBRG00000000130	0	0
ENSNBRG00000000131	0	0
