Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000001	3	6	24
ENSONIG00000000002	6	18	207
ENSONIG00000000003	33	0	1
ENSONIG00000000005	5	4	50
ENSONIG00000000006	21	35	2726
ENSONIG00000000007	0	0	0
ENSONIG00000000008	15	1	32
ENSONIG00000000010	5	10	203
ENSONIG00000000011	2	0	30
ENSONIG00000000012	0	1	0
ENSONIG00000000013	0	0	9
ENSONIG00000000015	0	0	1
ENSONIG00000000016	0	0	0
ENSONIG00000000018	247	2845	2795
ENSONIG00000000019	0	1	30
ENSONIG00000000020	0	6	328
ENSONIG00000000021	13	0	41
ENSONIG00000000022	0	0	1
ENSONIG00000000025	0	0	1
ENSONIG00000000026	0	0	0
ENSONIG00000000028	0	0	0
ENSONIG00000000029	14	12	519
ENSONIG00000000031	0	0	1
ENSONIG00000000032	0	0	0
ENSONIG00000000034	0	0	1
ENSONIG00000000035	245	254	350
ENSONIG00000000036	1	0	20
ENSONIG00000000037	0	0	0
ENSONIG00000000039	4	2	12
ENSONIG00000000041	0	0	0
ENSONIG00000000042	2	4	52
ENSONIG00000000043	0	0	1
ENSONIG00000000044	0	0	0
ENSONIG00000000046	0	2	2
ENSONIG00000000047	6	5	341
ENSONIG00000000048	4	0	9
ENSONIG00000000050	2	5	21
ENSONIG00000000051	2	0	11
ENSONIG00000000053	0	0	2
ENSONIG00000000054	0	0	4
ENSONIG00000000055	25	5	3
ENSONIG00000000056	0	0	10
ENSONIG00000000057	0	0	1
ENSONIG00000000058	2	11	14
ENSONIG00000000059	1	1	2
ENSONIG00000000060	0	0	0
ENSONIG00000000062	2	2	33
ENSONIG00000000063	2	1	5
ENSONIG00000000064	30	2	21
ENSONIG00000000065	9	15	113
ENSONIG00000000066	11	0	2
ENSONIG00000000067	1	3	69
ENSONIG00000000068	0	0	1
ENSONIG00000000069	0	1	3
ENSONIG00000000070	13	10	157
ENSONIG00000000071	0	0	12
ENSONIG00000000072	0	0	21
ENSONIG00000000073	1	2	17
ENSONIG00000000074	9	14	264
ENSONIG00000000075	16	3	87
ENSONIG00000000078	1	5	11
ENSONIG00000000079	0	3	15
ENSONIG00000000080	15	28	29
ENSONIG00000000081	0	0	0
ENSONIG00000000082	0	1	2
ENSONIG00000000083	3	1	2
ENSONIG00000000084	0	1	1
ENSONIG00000000085	0	0	23
ENSONIG00000000086	56	5	41
ENSONIG00000000088	0	1	17
ENSONIG00000000089	8	4	30
ENSONIG00000000090	0	0	0
ENSONIG00000000091	6	4	65
ENSONIG00000000092	0	0	6
ENSONIG00000000094	10	1	14
ENSONIG00000000095	4	0	4
ENSONIG00000000096	5	4	10
ENSONIG00000000097	8	5	130
ENSONIG00000000099	7	0	0
ENSONIG00000000100	9	2	28
ENSONIG00000000101	7	19	45
ENSONIG00000000102	14	6	43
ENSONIG00000000103	212	89	443
ENSONIG00000000104	7	0	1
ENSONIG00000000105	3	1	41
ENSONIG00000000106	1	0	4
ENSONIG00000000107	5	1	28
ENSONIG00000000108	6	1	8
ENSONIG00000000109	36	2	2
ENSONIG00000000110	0	0	3
ENSONIG00000000111	7	0	71
ENSONIG00000000112	4	0	0
ENSONIG00000000113	1	0	0
