Gene	Pn_2_Eye	Pn_3_Eye	Pn_4_Eye
ENSPNYG00000000002	14	9	15
ENSPNYG00000000003	17	21	19
ENSPNYG00000000004	1	0	2
ENSPNYG00000000005	3	2	5
ENSPNYG00000000006	1	11	5
ENSPNYG00000000007	17	14	30
ENSPNYG00000000008	1745	1317	1989
ENSPNYG00000000009	5	1	3
ENSPNYG00000000010	0	3	0
ENSPNYG00000000011	6	0	1
ENSPNYG00000000012	7	7	3
ENSPNYG00000000013	1	0	4
ENSPNYG00000000014	0	0	0
ENSPNYG00000000015	0	0	0
ENSPNYG00000000016	0	0	0
ENSPNYG00000000017	0	1	0
ENSPNYG00000000018	0	0	0
ENSPNYG00000000019	1	0	1
ENSPNYG00000000020	111	60	84
ENSPNYG00000000021	1	0	3
ENSPNYG00000000022	0	0	0
ENSPNYG00000000023	0	0	0
ENSPNYG00000000024	0	0	0
ENSPNYG00000000025	2	0	3
ENSPNYG00000000026	13	7	11
ENSPNYG00000000027	0	0	0
ENSPNYG00000000028	0	5	3
ENSPNYG00000000029	0	0	2
ENSPNYG00000000030	1	1	4
ENSPNYG00000000031	1	1	2
ENSPNYG00000000032	8	0	4
ENSPNYG00000000033	0	0	0
ENSPNYG00000000034	1	0	1
ENSPNYG00000000035	0	1	0
ENSPNYG00000000036	0	0	0
ENSPNYG00000000037	0	0	0
ENSPNYG00000000038	0	0	0
ENSPNYG00000000039	0	1	1
ENSPNYG00000000040	0	0	0
ENSPNYG00000000041	0	0	0
ENSPNYG00000000042	0	0	0
ENSPNYG00000000043	0	0	1
ENSPNYG00000000044	0	0	0
ENSPNYG00000000045	3	0	1
ENSPNYG00000000046	0	0	0
ENSPNYG00000000047	4	2	0
ENSPNYG00000000048	1	1	0
ENSPNYG00000000049	43	8	11
ENSPNYG00000000050	7	11	13
ENSPNYG00000000051	0	2	0
ENSPNYG00000000052	7	16	5
ENSPNYG00000000053	0	0	5
ENSPNYG00000000054	29	12	19
ENSPNYG00000000055	1	0	1
ENSPNYG00000000056	7	3	1
ENSPNYG00000000057	1	4	5
ENSPNYG00000000058	5	8	8
ENSPNYG00000000059	0	0	0
ENSPNYG00000000060	0	0	0
ENSPNYG00000000061	0	0	0
ENSPNYG00000000062	0	0	0
ENSPNYG00000000063	1	0	0
ENSPNYG00000000064	2	2	8
ENSPNYG00000000065	2	1	1
ENSPNYG00000000066	31	38	33
ENSPNYG00000000067	0	0	3
ENSPNYG00000000068	0	0	0
ENSPNYG00000000069	3	2	0
ENSPNYG00000000070	1	1	5
ENSPNYG00000000071	0	0	0
ENSPNYG00000000072	1	0	1
ENSPNYG00000000073	6	2	7
ENSPNYG00000000074	3	4	4
ENSPNYG00000000075	13	8	13
ENSPNYG00000000076	0	0	0
ENSPNYG00000000077	2	0	1
ENSPNYG00000000078	0	0	0
ENSPNYG00000000079	776	655	847
ENSPNYG00000000080	0	1	0
ENSPNYG00000000081	14	9	14
ENSPNYG00000000082	4	1	3
ENSPNYG00000000083	0	0	0
ENSPNYG00000000084	0	0	0
ENSPNYG00000000085	0	0	0
ENSPNYG00000000086	2	4	14
ENSPNYG00000000087	2	3	6
ENSPNYG00000000088	0	8	1
ENSPNYG00000000089	3	2	1
ENSPNYG00000000090	0	0	0
ENSPNYG00000000091	1	2	7
ENSPNYG00000000092	9	4	4
ENSPNYG00000000093	2	3	2
ENSPNYG00000000094	1	0	4
ENSPNYG00000000095	0	0	0
ENSPNYG00000000096	1	0	0
ENSPNYG00000000097	0	0	0
ENSPNYG00000000098	2	0	0
ENSPNYG00000000099	15	11	13
ENSPNYG00000000100	4484	2569	2815
ENSPNYG00000000101	0	0	0
ENSPNYG00000000102	0	0	4
ENSPNYG00000000103	12	12	17
ENSPNYG00000000104	1	0	1
ENSPNYG00000000105	0	0	0
ENSPNYG00000000106	6	5	2
ENSPNYG00000000107	5	4	1
ENSPNYG00000000108	3	7	5
ENSPNYG00000000109	0	0	0
ENSPNYG00000000110	0	1	1
ENSPNYG00000000111	1	1	0
ENSPNYG00000000112	41031	38815	27646
ENSPNYG00000000113	126	155	293
ENSPNYG00000000114	0	0	0
ENSPNYG00000000115	0	0	0
ENSPNYG00000000116	1	0	2
ENSPNYG00000000117	45	31	37
ENSPNYG00000000118	8	7	13
ENSPNYG00000000119	0	0	1
ENSPNYG00000000120	0	0	0
ENSPNYG00000000121	0	0	0
ENSPNYG00000000122	10	7	8
ENSPNYG00000000123	21	25	18
ENSPNYG00000000124	2	0	0
ENSPNYG00000000125	4	1	0
ENSPNYG00000000126	1	0	0
ENSPNYG00000000127	0	0	2
ENSPNYG00000000128	1	1	4
ENSPNYG00000000129	9	1	0
ENSPNYG00000000130	33	13	15
ENSPNYG00000000131	109	96	113
ENSPNYG00000000132	343	327	391
ENSPNYG00000000133	0	0	0
ENSPNYG00000000134	0	0	0
ENSPNYG00000000135	5	1	1
ENSPNYG00000000136	11	4	6
ENSPNYG00000000137	0	3	2
ENSPNYG00000000138	0	0	0
ENSPNYG00000000139	4	5	2
ENSPNYG00000000140	2	0	4
ENSPNYG00000000141	4	0	1
ENSPNYG00000000142	5	2	0
ENSPNYG00000000143	0	0	0
ENSPNYG00000000144	0	0	0
ENSPNYG00000000145	1	0	0
ENSPNYG00000000146	3	0	0
ENSPNYG00000000147	1	2	7
ENSPNYG00000000148	0	0	4
ENSPNYG00000000149	2	2	1
ENSPNYG00000000150	0	4	0
ENSPNYG00000000151	0	0	0
ENSPNYG00000000152	0	0	0
ENSPNYG00000000153	0	3	0
ENSPNYG00000000154	0	2	1
ENSPNYG00000000155	0	0	0
ENSPNYG00000000156	0	0	0
ENSPNYG00000000157	0	0	0
ENSPNYG00000000158	0	0	0
ENSPNYG00000000159	0	0	0
ENSPNYG00000000160	42	112	177
ENSPNYG00000000161	0	0	3
ENSPNYG00000000162	8	2	6
ENSPNYG00000000163	4	0	6
ENSPNYG00000000164	0	0	0
ENSPNYG00000000165	0	0	0
ENSPNYG00000000166	0	0	1
ENSPNYG00000000167	6	3	5
ENSPNYG00000000168	6	12	6
ENSPNYG00000000169	0	0	1
ENSPNYG00000000170	0	0	0
ENSPNYG00000000171	0	0	1
ENSPNYG00000000172	16	5	10
