"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"5S_rRNA",77,504,709,183,123,195,38,120,144,465,409,397
"A3GALT2",10,31,0,4,0,0,0,0,1,3,0,0
"AANAT",0,0,280,112,0,0,2,3,3,0,0,1
"ABCA1",1,15,4,0,0,0,0,10,90,1,0,6
"ABHD5",0,0,123,45,20,53,0,1,3,0,1,2
"ABR",3,41,14,12,3,41,8,2,53,5,1,4
"ACLY",1,37,0,6,0,0,6,4,6,6,0,0
"ACTA1",1,44,0,0,313,321,0,1,1,16,4,2
"ACVR1B",0,0,21,13,0,0,3,7,34,9,13,8
"ACVR1C",0,0,2,5,0,0,2,1,22,0,2,1
"ADAM12",8,26,5,2,0,0,7,2,12,1,0,0
"ADAM23",3,21,1,3,0,0,2,0,5,0,1,4
"ADAMTS20",0,0,5,0,0,0,0,0,1,2,2,5
"ADAMTS5",0,0,1,1,26,33,0,1,50,4,2,1
"ADAP1",189,204,173,405,0,0,5,1,10,2,1,1
"ADARB2",0,0,0,6,0,0,0,0,2,12,0,1
"AEBP2",0,0,1,5,0,0,3,0,14,1,0,0
"AHCYL1",2,17,6,5,0,0,26,4,24,6,9,1
"AK6",21,41,39,76,38,59,1,0,10,47,33,23
"AKR1D1",6,17,1,4,0,0,0,0,0,6,9,9
"ALX4",1,17,7,1,0,0,0,8,42,1,0,6
"AMDHD1",2,29,90,872,0,0,0,0,0,0,2,0
"AMZ2",0,0,0,0,40,62,0,0,3,0,0,0
"ANKRD66",12,48,0,0,0,0,0,0,0,0,0,0
"ANKS6",10,23,78,0,0,0,1,13,40,64,150,146
"ANOS1",3,38,1,4,0,0,1,0,18,1,3,0
"AOPEP",1,41,6,2,0,0,1,0,3,0,0,0
"AP3B2",3,28,0,11,0,0,10,0,4,3,3,2
"AP3S1",0,0,6,4,0,0,4,0,26,4,2,1
"APBA3",5,15,6,0,0,0,0,1,11,2,6,1
"APCDD1",378,405,0,1,0,0,0,3,11,0,1,2
"APP",5,48,26,23,34,62,22,14,240,67,34,44
"AQP11",5,37,21,31,21,35,13,4,3,1,6,5
"AREL1",56,102,5,1,52,90,5,24,60,8,7,21
"ARF1",0,0,2,0,27,63,2,1,9,378,331,533
"ARHGAP26",4,13,12,4,0,0,6,0,13,3,4,2
"ARHGAP42",3,10,163,13,16,26,1,4,27,14,20,25
"ARHGAP6",6,88,2,5,0,0,0,1,12,0,0,1
"ARHGAP9",3,44,6,8,0,0,7,4,64,2,4,10
"ARHGDIA",7,53,51,6,0,0,3,11,124,12,14,22
"ARHGEF12",1,37,2,5,0,0,5,1,41,1,2,2
"ARHGEF26",2,30,1,2,163,178,3,4,29,4,3,10
"ARID1B",1,34,0,1,0,0,3,0,7,3,1,2
"ARMC6",0,0,15,41,0,0,0,0,0,0,2,0
"ASTN2",22,47,11,47,0,0,46,11,14,0,0,0
"ATE1",2,25,2,4,0,0,4,3,11,7,1,3
"ATG14",0,0,2,2,0,0,3,7,67,10,2,12
"ATG2A",0,0,8,1,0,0,2,1,62,2,1,1
"ATP11B",0,0,0,8,0,0,4,0,8,2,0,0
"ATP1A1",0,0,64,30,0,0,44,32,607,31,20,28
"ATP8A1",27,46,6,7,0,0,2,0,19,10,2,10
"ATP9A",0,0,2,1,0,0,7,1,6,0,0,1
"AXIN2",0,0,5,8,0,0,4,1,6,5,2,4
"B3GALT2",7,14,0,1,0,0,34,28,29,1,0,1
"B3GNT10",63,96,0,0,0,0,0,0,0,0,0,0
"BET1L",29,69,7,25,1,7,2,0,22,25,14,23
"BFSP1",8,55,0,2,59,92,16,0,0,463,285,361
"BHLHE40",3,10,20,29,0,0,31,4,58,32,27,24
"BICD2",3,16,9,0,0,0,4,0,21,8,8,6
"BRK1",1,5,13,4,0,0,3,2,16,7,8,9
"BTBD1",30,74,2,6,0,0,2,1,30,1,0,5
"C11orf68",1,20,3,0,0,0,1,6,6,2,3,4
"C12orf29",1,8,0,2,0,0,6,0,2,269,115,210
"C12orf57",1,27,216,261,0,0,12,4,19,0,0,0
"C12orf65",3,6,1,0,0,0,11,9,20,1,1,2
"C14orf119",48,75,0,0,0,0,0,3,40,3,0,1
"C14orf28",28,55,0,0,0,0,6,1,4,32,53,52
"C16orf72",4,29,11,7,42,57,8,7,121,13,14,11
"C17orf75",259,295,2,31,34,49,3,0,2,5,3,14
"C18orf25",940,975,7,8,0,0,6,0,15,8,6,4
"C18orf32",32,76,2,6,0,0,0,0,20,69,57,54
"C19orf12",1,9,0,0,0,0,0,0,19,0,1,0
"C1orf35",7,36,23,33,25,46,18,91,73,58,73,44
"C1orf50",0,0,3,0,0,0,2,4,9,82,60,75
"C20orf27",1,48,4,1,0,0,2,0,15,3,4,3
"C2orf42",7,45,3,0,0,0,2,1,3,2,0,0
"C2orf49",0,0,0,0,0,0,0,0,4,969,18,23
"C4orf33",0,0,22,7,0,0,0,0,1,0,0,0
"C5orf15",0,0,16,3,0,0,2,2,32,3,4,8
"C5orf22",1,26,0,0,0,0,1,0,7,1,0,2
"C5orf51",1,21,4,1,0,0,1,0,11,1,5,5
"C6orf120",0,0,241,345,53,83,0,0,3,0,0,0
"C6orf62",0,0,386,643,128,141,10,3,41,666,705,662
"C7orf25",7,17,4,2,0,0,4,3,16,0,0,1
"C7orf26",2,16,1,3,0,0,0,1,18,1,2,3
"C8orf82",0,0,0,0,0,0,0,7,6,2,1,0
"C9orf16",313,314,292,907,0,0,7,1,29,549,312,367
"C9orf64",3,13,2,0,0,0,0,0,14,0,0,0
"C9orf72",0,0,1,2,0,0,0,0,7,1,2,9
"CACNA1D",4,32,0,5,0,0,13,0,7,10,0,3
