"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"zgc:85843",2059.22214750764,16.8518927933677,3.82937859535163,6.6884464248823e-27,5.63033420046592e-23,"Ab_vs_Nb","Ab higher"
"gnai3",10366.2163674878,19.1643553707851,3.14223540810192,3.02144185813447e-22,1.2717248780888e-18,"Ab_vs_Nb","Ab higher"
"pcsk2",11756.7239825063,20.0047472788109,3.41324538164398,4.90743217827419e-22,1.37702546922374e-18,"Ab_vs_Nb","Ab higher"
"map2k1",17920.2652668455,18.4298617520921,3.07471763114591,7.69358658964753e-22,1.61911529779132e-18,"Ab_vs_Nb","Ab higher"
"nudcd2",16416.3090774323,17.2701926723295,2.90541003343436,1.29411441597362e-20,1.81564252561099e-17,"Ab_vs_Nb","Ab higher"
"nubp2",1410.68621928444,16.5320438694307,2.89677842668078,1.17926677372301e-20,1.81564252561099e-17,"Ab_vs_Nb","Ab higher"
"ddah2",39911.3571037753,17.1471833951214,2.80630348823945,2.16395201388555e-20,2.60230686469836e-17,"Ab_vs_Nb","Ab higher"
"pink1",769.785410766655,-7.54103508578295,0.871828250554417,4.53591627844003e-19,4.77291790398852e-16,"Ab_vs_Nb","Nb higher"
"rbm25b",337.425387646976,7.78101954966789,0.909083354948853,5.99358602185486e-19,5.60600079244158e-16,"Ab_vs_Nb","Ab higher"
"mcee",3311.68995499101,18.1338560500439,3.4222557955881,2.50136819215189e-18,2.10565174415346e-15,"Ab_vs_Nb","Ab higher"
"rabepk",839.137813987493,7.51156712017228,0.902834288281786,4.36302382645491e-18,3.33890314282704e-15,"Ab_vs_Nb","Ab higher"
"enosf1",592.765560995086,15.1063490876992,2.87248641600062,7.23700927379444e-18,4.7298096867377e-15,"Ab_vs_Nb","Ab higher"
"gpr174",13450.2662524996,-7.98399635521788,0.94601437131044,7.30429150957354e-18,4.7298096867377e-15,"Ab_vs_Nb","Nb higher"
"sh3d19",3635.09184327507,18.3369417503248,3.55145399760179,1.74068457242205e-17,1.04664876647492e-14,"Ab_vs_Nb","Ab higher"
"herc4",1551.12495876757,14.5637730760063,2.73969317684129,3.21102317088128e-17,1.80202620349858e-14,"Ab_vs_Nb","Ab higher"
"kansl1a",765.568309439314,15.7781560091964,3.06498579224234,4.7956184881074e-17,2.52309477705551e-14,"Ab_vs_Nb","Ab higher"
"klhl18",991.668902982559,16.1238373315992,3.09706469108371,5.78140032135533e-17,2.86281340618642e-14,"Ab_vs_Nb","Ab higher"
"slc20a1b",1658.70294911147,-7.2153093100348,0.923357785712233,1.8428482772182e-16,8.61838710979046e-14,"Ab_vs_Nb","Nb higher"
"shisa2b",1157.78372744497,14.2697949470465,2.74835580985417,3.24034934620404e-16,1.43564530507082e-13,"Ab_vs_Nb","Ab higher"
"stx5a",8165.52299560372,15.1478030930976,2.82536257655895,6.0304337020152e-16,2.5382095451782e-13,"Ab_vs_Nb","Ab higher"
"nck1b",330.341866761682,14.4809246598233,2.97805696591298,2.23982932469364e-15,8.57040147966868e-13,"Ab_vs_Nb","Ab higher"
"lrrc14b",1350.43993686419,14.0421287316851,2.80489407213831,2.14526874371288e-15,8.57040147966868e-13,"Ab_vs_Nb","Ab higher"
