"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"acer2",40736.3283205877,-21.291047858853,4.2487228385747,1.52348665561058e-28,1.25733353687542e-24,"Ab_vs_On","On higher"
"surf1",55136.1920100206,12.0556098058915,1.0980943953461,3.17550917872094e-28,1.3103738625992e-24,"Ab_vs_On","Ab higher"
"ephx5",12392.2604194338,-19.4652751496467,4.05872993887547,1.2271468239445e-25,3.37588091267131e-22,"Ab_vs_On","On higher"
"sowahd",13864.7628683104,-11.5761384099092,1.14907116063131,2.33047335821535e-25,4.80834915633782e-22,"Ab_vs_On","On higher"
"map2k1",17920.2652668455,11.9502148243406,1.19767117207702,4.32470609811327e-24,7.13835988554576e-21,"Ab_vs_On","Ab higher"
"pcsk2",11756.7239825063,13.684099352318,1.38501385836143,1.37420449777812e-23,1.8902182866938e-20,"Ab_vs_On","Ab higher"
"pdcd11",1102.75783960048,-9.45253322226219,0.967969089920719,3.47971547386235e-23,4.10258454368372e-20,"Ab_vs_On","On higher"
"gnai3",10366.2163674878,11.8905132216071,1.22902863417035,1.43898925829646e-22,1.48449729359008e-19,"Ab_vs_On","Ab higher"
"nudcd2",16416.3090774323,10.1547980982548,1.09875142231246,4.0537803105883e-21,3.71731654480947e-18,"Ab_vs_On","Ab higher"
"pdia4",169.71552511992,-5.69246648357145,4.28880402241187,2.03461308376913e-19,1.67916617803466e-16,"Ab_vs_On","On higher"
"ddah2",39911.3571037753,9.62550056010289,1.09870856431464,3.99392174029151e-19,2.99653055660235e-16,"Ab_vs_On","Ab higher"
"cars2",932.223013768472,-7.33781391155931,0.911091429574322,1.0332618257736e-17,6.55962296008423e-15,"Ab_vs_On","On higher"
"TADA1",1096.50215740342,7.02171930719445,0.850910937094884,9.98216523298487e-18,6.55962296008423e-15,"Ab_vs_On","Ab higher"
"eif2a",1515.72948342376,-9.28345969633717,1.16043650712487,2.09274131146386e-17,1.23367100310794e-14,"Ab_vs_On","On higher"
