"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"ddah2",39911.3571037753,19.8241507705557,2.89220524499447,2.59298215916001e-26,2.09746326854453e-22,"Mz_vs_Nb","Mz higher"
"gabpa",4526.93163419131,17.1992934136761,2.81173412807652,1.22431844081552e-25,4.95175593387835e-22,"Mz_vs_Nb","Mz higher"
"map2k1",17920.2652668455,20.0004870741413,3.13945472367247,2.97994935952324e-25,8.03493678972782e-22,"Mz_vs_Nb","Mz higher"
"fkbp3",26651.3350192204,19.702561589184,3.21707530078181,5.84632011388774e-24,1.18227208503095e-20,"Mz_vs_Nb","Mz higher"
"stx5a",8165.52299560372,18.2447892931225,2.93607747872564,6.5107575112861e-22,8.77758625146554e-19,"Mz_vs_Nb","Mz higher"
"pink1",769.785410766655,-8.18639819126659,0.87991708770189,5.64410572109679e-22,8.77758625146554e-19,"Mz_vs_Nb","Nb higher"
"slc20a1b",1658.70294911147,-8.10337018999038,0.918126385325494,6.78441882993056e-20,7.83988055932976e-17,"Mz_vs_Nb","Nb higher"
"gnai3",10366.2163674878,17.4156087413736,3.0716879806964,7.8827986816911e-19,7.97049481702492e-16,"Mz_vs_Nb","Mz higher"
"rhot2",1916.97126374129,15.3560679743922,3.00266083055505,1.24530488003023e-18,1.11925235272939e-15,"Mz_vs_Nb","Mz higher"
"COG5",1004.27036669807,7.87856642558097,0.939832852966309,2.31660275517214e-18,1.87389996865874e-15,"Mz_vs_Nb","Mz higher"
"lysmd2",1056.34734419961,16.2066624651431,3.08326123552245,3.23352284583162e-17,2.37781511817564e-14,"Mz_vs_Nb","Mz higher"
"mat2aa",1177.4166429302,16.4785214637989,3.1952819148282,4.69797664649878e-17,2.56963697555558e-14,"Mz_vs_Nb","Mz higher"
"mfap1",839.826951147132,15.6756506819532,2.98488894392938,5.08272859548637e-17,2.56963697555558e-14,"Mz_vs_Nb","Mz higher"
"cep72",481.692673339776,15.0496976434475,2.95786127120179,4.9025347441684e-17,2.56963697555558e-14,"Mz_vs_Nb","Mz higher"
"ciao1",350.194767341376,14.6229667173362,2.9155369803798,3.99703220901293e-17,2.56963697555558e-14,"Mz_vs_Nb","Mz higher"
"herc4",1551.12495876757,14.47561458912,2.7356839333626,4.80314497703379e-17,2.56963697555558e-14,"Mz_vs_Nb","Mz higher"
"KDM7A",723.003925256352,14.0288223577502,2.77498231400541,6.21714619930467e-17,2.95826444742209e-14,"Mz_vs_Nb","Mz higher"
"fam124b",1246.00583325995,15.9404203922157,2.98985303681917,7.81490390199023e-17,3.0423957593419e-14,"Mz_vs_Nb","Mz higher"
"cpsf4",2764.27282009521,15.6254916883852,2.88186631795006,7.66349340932764e-17,3.0423957593419e-14,"Mz_vs_Nb","Mz higher"
"TMEM43",1579.4816969578,14.9824546411422,2.84063404118975,7.89841895737174e-17,3.0423957593419e-14,"Mz_vs_Nb","Mz higher"
"caprin1a",351.95090906553,14.3842888071167,2.96913584961279,7.16087269066793e-17,3.0423957593419e-14,"Mz_vs_Nb","Mz higher"
"mrpl9",659.619771031464,14.3611359402862,2.99357130217541,1.10204482188979e-16,4.05201843830296e-14,"Mz_vs_Nb","Mz higher"
"tab3",976.69651391254,14.6536390476538,2.86198684369386,1.4597994203301e-16,5.13405109176094e-14,"Mz_vs_Nb","Mz higher"
"prmt7",629.760399964707,14.540168736692,2.82492639255552,2.3058596728844e-16,7.74166384444751e-14,"Mz_vs_Nb","Mz higher"
"shisa2b",1157.78372744497,14.3388515184091,2.75164802031006,2.39265170121384e-16,7.74166384444751e-14,"Mz_vs_Nb","Mz higher"
"thrb",644.499773036117,14.6829377821881,3.05410055279422,2.64683698962512e-16,7.92972755891764e-14,"Mz_vs_Nb","Mz higher"
"nkrf",1416.07804285874,14.5782064983758,2.79114653762708,2.59480699705271e-16,7.92972755891764e-14,"Mz_vs_Nb","Mz higher"
"lrrc14b",1350.43993686419,14.5154650057938,2.82719590366886,2.84380805635902e-16,8.21555834567433e-14,"Mz_vs_Nb","Mz higher"
"tma16",1962.76892079752,15.2502423826086,2.89680195883979,3.81541928567608e-16,1.0642388483391e-13,"Mz_vs_Nb","Mz higher"
"ndufc2",2153.54542066509,17.114247167952,3.23732699574707,4.51110262801054e-16,1.21634363859924e-13,"Mz_vs_Nb","Mz higher"
"tor1",1755.19823368251,17.3834592187441,3.62665810243045,5.45826551340213e-16,1.4242551528358e-13,"Mz_vs_Nb","Mz higher"
"zrsr2",614.72103006652,14.6809166289563,2.93285246712111,6.40383482503182e-16,1.61876937186507e-13,"Mz_vs_Nb","Mz higher"
"etnppl",1369.09053300624,14.7593848751787,2.85391118048756,1.00486799611503e-15,2.46314461229531e-13,"Mz_vs_Nb","Mz higher"
"nvl",978.045295936872,16.2089501277318,3.28678526871518,2.07125495728888e-15,4.78696609985994e-13,"Mz_vs_Nb","Mz higher"
"pld7",504.243102148279,14.301480354635,2.83768502271226,2.0643553314027e-15,4.78696609985994e-13,"Mz_vs_Nb","Mz higher"
"GPS2",301.013155816093,13.4491321848295,2.71903094394281,2.58022186081296e-15,5.79761517558778e-13,"Mz_vs_Nb","Mz higher"
