"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"map2k1",17920.2652668455,16.1302054271994,1.36924108247594,2.78398313088797e-32,1.88670536780278e-28,"Mz_vs_Pn","Mz higher"
"nfe2",3529.41115659414,-12.5931490744611,1.1216639416043,1.62750838492898e-29,5.51481216233186e-26,"Mz_vs_Pn","Pn higher"
"COG5",1004.27036669807,9.72354373844499,0.907065740897918,7.83100598744495e-28,1.76902425256381e-24,"Mz_vs_Pn","Mz higher"
"gltpd2",1116.2629369664,-9.99284225417527,1.00813250328369,1.9143030666816e-24,3.24330797072531e-21,"Mz_vs_Pn","Pn higher"
"gnai3",10366.2163674878,12.6919589201905,1.31778264629602,8.11255533302755e-23,9.16313124865462e-20,"Mz_vs_Pn","Mz higher"
"usp4",2030.02890009173,-9.42916296464747,1.00462606992174,7.39282502287133e-23,9.16313124865462e-20,"Mz_vs_Pn","Pn higher"
"pcyt1aa",3209.5175441249,-13.5646510360673,1.43784319083008,3.33008189541554e-22,3.22399500074731e-19,"Mz_vs_Pn","Pn higher"
"tnip1",850.521763369094,8.10680460137107,0.860536347329902,5.99916554944076e-22,5.08204311607001e-19,"Mz_vs_Pn","Mz higher"
"ube2g1b",1550.05403727914,-11.7803985248914,1.26362806584276,8.70786708642428e-22,6.55702391607748e-19,"Mz_vs_Pn","Pn higher"
"ciao1",350.194767341376,8.29839138776406,0.88514312390832,1.08475155423355e-21,7.35136128304074e-19,"Mz_vs_Pn","Mz higher"
"si:ch211-217a12.1",738.001531549641,-8.76167370606845,0.959491497990334,1.22800069226961e-21,7.56560062864652e-19,"Mz_vs_Pn","Pn higher"
"rbm34",1691.66673733657,-12.2243606317511,1.30015990190225,1.34426408243886e-21,7.59173140557346e-19,"Mz_vs_Pn","Pn higher"
"dkk3a",950.767325766665,-11.4171814004006,1.22263166972301,3.50405375594935e-21,1.82669017723606e-18,"Mz_vs_Pn","Pn higher"
"PIP4K2B",672.15978334287,-10.1662983757247,1.11899800610192,8.38089284613051e-21,4.05695077273046e-18,"Mz_vs_Pn","Pn higher"
"mat2aa",1177.4166429302,12.208838232972,1.34853503322573,3.92148706529977e-20,1.59542918899346e-17,"Mz_vs_Pn","Mz higher"
"cox18",284.695830782721,10.553679316261,1.15236187870471,4.32651948001789e-20,1.59542918899346e-17,"Mz_vs_Pn","Mz higher"
"ckmt2a",939.948765877783,-10.0037805807399,1.13340343012926,4.47294593343305e-20,1.59542918899346e-17,"Mz_vs_Pn","Pn higher"
"acot13",4027.79561562454,-8.22001222739557,0.940696088310648,4.07087700170619e-20,1.59542918899346e-17,"Mz_vs_Pn","Pn higher"
"slc20a1b",1658.70294911147,-7.50463167369078,0.854186900305627,3.66540589475452e-20,1.59542918899346e-17,"Mz_vs_Pn","Pn higher"
"gla",3521.69074170046,-12.2938465132314,1.42623186469006,7.18875907410138e-20,2.43591101225925e-17,"Mz_vs_Pn","Pn higher"
"zrsr2",614.72103006652,9.86829199847303,1.10680878272533,1.18582511974757e-19,3.82682706501396e-17,"Mz_vs_Pn","Mz higher"
"higd2a",605.604013881262,-11.0532929997617,1.22797283436467,2.02525029654734e-19,6.23869148168242e-17,"Mz_vs_Pn","Pn higher"
"msh6",355.797187974283,9.72159731211547,1.09933308566193,2.55803286148569e-19,7.53729943577762e-17,"Mz_vs_Pn","Mz higher"
"flii",285.20262787485,8.32882928787225,0.9587790164782,5.18106237770478e-19,1.46300248890439e-16,"Mz_vs_Pn","Mz higher"
"mfap1",839.826951147132,9.37577452590496,1.09578444399591,1.89896475151186e-18,4.94972466192148e-16,"Mz_vs_Pn","Mz higher"
"ccnh",148.062492233112,6.92786327400091,0.813253740453749,1.89287560483521e-18,4.94972466192148e-16,"Mz_vs_Pn","Mz higher"
"eps8l2",265.498234522119,9.7971202433364,1.13865790397697,2.06326173227564e-18,5.17878694801186e-16,"Mz_vs_Pn","Mz higher"
"ddx49",733.542089420192,-9.38810456189941,1.1067269325169,2.71959563739197e-18,6.58239272664478e-16,"Mz_vs_Pn","Pn higher"
"cttnbp2nlb",616.229618855626,10.0558583197551,1.17754887856091,3.08482830246078e-18,7.20892462268161e-16,"Mz_vs_Pn","Mz higher"
"jph2",3524.44882695095,-14.6113795081642,1.68407846892232,3.50872280440512e-18,7.92620481515116e-16,"Mz_vs_Pn","Pn higher"
"pmvk",1030.91817779934,-10.7969099905858,1.31932051214937,7.42564720405031e-18,1.62334229360803e-15,"Mz_vs_Pn","Pn higher"
"dnajb12b",1018.21835683395,15.6452805065598,3.1862438170188,9.75489348482603e-18,2.06590353583331e-15,"Mz_vs_Pn","Mz higher"
"tmem50a",231.227154247691,8.35816781577895,1.00738461017957,1.32674973439293e-17,2.72466149999421e-15,"Mz_vs_Pn","Mz higher"
