"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"ddah2",39911.3571037753,-21.1502665826855,4.21934506114753,2.09124275530107e-28,1.76040815141244e-24,"Nb_vs_Pn","Pn higher"
"nudcd2",16416.3090774323,-20.3561991480944,4.14530204431151,7.84677646550798e-27,3.30270821433231e-23,"Nb_vs_Pn","Pn higher"
"fkbp3",26651.3350192204,-20.5594043141079,4.19127762139489,7.14141214639042e-26,1.85503252775174e-22,"Nb_vs_Pn","Pn higher"
"gabpa",4526.93163419131,-17.7837855905539,3.81523282204685,8.81459979924797e-26,1.85503252775174e-22,"Nb_vs_Pn","Pn higher"
"pink1",769.785410766655,7.68938169131294,0.784376598631621,1.51147815394483e-23,2.54472461998152e-20,"Nb_vs_Pn","Nb higher"
"PIP4K2B",672.15978334287,-9.52148788866093,1.00531643263508,2.05732084078449e-22,2.88642113962065e-19,"Nb_vs_Pn","Pn higher"
"jph2",3524.44882695095,-18.0677577418844,3.92134157717858,4.657169814693e-22,5.60057935715509e-19,"Nb_vs_Pn","Pn higher"
"pcyt1aa",3209.5175441249,-18.0299321976178,3.94073436204978,1.29406669451002e-21,1.36168167929817e-18,"Nb_vs_Pn","Pn higher"
"rhot2",1916.97126374129,-16.796234908211,3.76172185513678,1.7253311515275e-21,1.61375973706206e-18,"Nb_vs_Pn","Pn higher"
"znf710a",1600.31170560772,-16.9711194797421,3.81506686101626,1.87386947277738e-20,1.577423322184e-17,"Nb_vs_Pn","Pn higher"
"stx5a",8165.52299560372,-17.7747140643518,3.90398427831043,3.0145295539516e-20,2.30693725319678e-17,"Nb_vs_Pn","Pn higher"
"rbm34",1691.66673733657,-17.0278341617737,3.83980067680526,6.87308414189426e-20,4.82146852553882e-17,"Nb_vs_Pn","Pn higher"
"gltpd2",1116.2629369664,-16.3945179814224,3.71554682973297,8.0324046060091e-20,5.20129092102958e-17,"Nb_vs_Pn","Pn higher"
"ube2g1b",1550.05403727914,-16.6616292331095,3.79811054641169,1.31355788374194e-19,7.89823590381405e-17,"Nb_vs_Pn","Pn higher"
"gla",3521.69074170046,-18.104802422399,4.02411815878112,2.98815438887414e-19,1.67695224303617e-16,"Nb_vs_Pn","Pn higher"
"tlk2",765.810361190562,-15.5307388582733,3.62709275281246,3.4205841725438e-19,1.79965484777961e-16,"Nb_vs_Pn","Pn higher"
"dkk3a",950.767325766665,-16.1558347983279,3.72843631638344,4.13428655698189e-19,1.99082788154346e-16,"Nb_vs_Pn","Pn higher"
"herc4",1551.12495876757,-15.9129420168122,3.69019124574956,4.2569377367287e-19,1.99082788154346e-16,"Nb_vs_Pn","Pn higher"
"TMEM43",1579.4816969578,-16.2739530956177,3.75842985385496,9.95882393535316e-19,4.41228315198963e-16,"Nb_vs_Pn","Pn higher"
"cpsf4",2764.27282009521,-16.7995710306693,3.85062786884701,1.9419406761999e-18,7.78440791059561e-16,"Nb_vs_Pn","Pn higher"
"KDM7A",723.003925256352,-15.1095086665417,3.58138215708689,1.87320595508529e-18,7.78440791059561e-16,"Nb_vs_Pn","Pn higher"
"tma16",1962.76892079752,-16.622292316534,3.83221534241424,3.61231655942722e-18,1.32210786075036e-15,"Nb_vs_Pn","Pn higher"
