"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"acer2",40736.3283205877,14.6948199129371,0.993266528623297,4.39622924110746e-50,3.05142271625269e-46,"On_vs_Pn","On higher"
"ephx5",12392.2604194338,13.1284447193986,0.916075780480333,7.96104597371292e-48,2.76288100517707e-44,"On_vs_Pn","On higher"
"gpr174",13450.2662524996,-10.8220178675145,0.791061431626684,1.62980015318338e-44,3.7708142877486e-41,"On_vs_Pn","Pn higher"
"surf1",55136.1920100206,-13.8702698700117,0.999570336323855,3.99744210591536e-43,6.93656141428962e-40,"On_vs_Pn","Pn higher"
"zwilch",8253.81113093214,14.5219353396509,1.12358232805628,2.40003823297177e-38,3.33173307501141e-35,"On_vs_Pn","On higher"
"gabpa",4526.93163419131,-7.48757505655854,0.608330273343328,2.94198470418725e-36,3.40338597196061e-33,"On_vs_Pn","Pn higher"
"ddah2",39911.3571037753,-12.3372439053088,0.990942232785279,3.66882014079884e-36,3.63789722818353e-33,"On_vs_Pn","Pn higher"
"nudcd2",16416.3090774323,-12.1470077346522,0.997102020282493,3.93890520521279e-35,3.41749262867275e-32,"On_vs_Pn","Pn higher"
"sowahd",13864.7628683104,16.1300734138966,1.39249241865091,1.29236379414631e-31,9.96699677241061e-29,"On_vs_Pn","On higher"
"rhot2",1916.97126374129,-9.50174707329713,0.829114408496444,2.00196136402406e-30,1.3895613827691e-27,"On_vs_Pn","Pn higher"
"cars2",932.223013768472,10.9757408547092,0.991081984438457,2.7523910306092e-29,1.7367587403144e-26,"On_vs_Pn","On higher"
"fkbp3",26651.3350192204,-11.0841919283746,1.04514374438457,1.54323490842508e-27,8.92632791614876e-25,"On_vs_Pn","Pn higher"
"tlk2",765.810361190562,-8.27113565820712,0.800395154068939,3.14162936363486e-26,1.67738841638381e-23,"On_vs_Pn","Pn higher"
"tpk1",2733.21311767117,-10.5447328826228,1.03137149792953,3.6739810827589e-26,1.82150733538782e-23,"On_vs_Pn","Pn higher"
"higd2a",605.604013881262,-8.58924358039715,0.826566125327766,5.31988786674995e-26,2.46168944554076e-23,"On_vs_Pn","Pn higher"
"usp39",1701.99995800187,-10.2680832329821,0.974956304301888,6.0032168146536e-26,2.60427049440692e-23,"On_vs_Pn","Pn higher"
"eif2a",1515.72948342376,11.3045275096742,1.09920576782481,1.31350741426083e-25,5.36297350728497e-23,"On_vs_Pn","On higher"
"znf710a",1600.31170560772,-9.62033539471706,0.930116715627329,2.19321335402691e-25,8.01215467910567e-23,"On_vs_Pn","Pn higher"
"gltpd2",1116.2629369664,-9.41219897947141,0.94929201360697,2.11207137243891e-25,8.01215467910567e-23,"On_vs_Pn","Pn higher"
"jph2",3524.44882695095,-14.4950310761095,1.66496675941355,4.25964353878072e-25,1.40791360965129e-22,"On_vs_Pn","Pn higher"
"TADA1",1096.50215740342,-7.83907894341592,0.782153198496838,4.06112345164122e-25,1.40791360965129e-22,"On_vs_Pn","Pn higher"
