"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"gabpa",4526.93163419131,10.7881082030953,0.83504447599236,6.40990041805937e-40,4.65935661388736e-36,"Mz_vs_Ab","Mz higher"
"gpr174",13450.2662524996,11.2419544374985,0.942566556359805,4.71246496033448e-33,1.71274538983357e-29,"Mz_vs_Ab","Mz higher"
"nfe2",3529.41115659414,-12.4841524078878,1.17011416477852,7.41016901421456e-27,1.79548395214419e-23,"Mz_vs_Ab","Ab higher"
"slc25a12",964.331266481056,8.00752914229066,0.839516903230685,5.17059210553668e-23,9.39625850378653e-20,"Mz_vs_Ab","Mz higher"
"fkbp3",26651.3350192204,19.0677741125868,3.27647516112874,5.24873996930887e-22,7.63061816738123e-19,"Mz_vs_Ab","Mz higher"
"pcsk2",11756.7239825063,-12.9582526812871,1.43863806643788,1.88732996115969e-20,2.28650024794496e-17,"Mz_vs_Ab","Ab higher"
"atg13",514.009152076064,-9.94666237999458,1.15004061373195,6.23157040748642e-19,6.47104075600268e-16,"Mz_vs_Ab","Ab higher"
"tnip1",850.521763369094,8.26666847214694,0.973207121548562,1.11208684457687e-18,1.01046990915366e-15,"Mz_vs_Ab","Mz higher"
"prpf31",530.648338838235,9.4266605007045,1.12899657872504,9.08028755691043e-18,7.33384558346465e-15,"Mz_vs_Ab","Mz higher"
"nol7",817.945813633729,-9.67911161052964,1.18363488387018,1.3118749961318e-17,9.53601934688203e-15,"Mz_vs_Ab","Ab higher"
"rbm25b",337.425387646976,-7.442641106641,0.912908455003386,2.0545105591623e-17,1.35765793223189e-14,"Mz_vs_Ab","Ab higher"
"mcee",3311.68995499101,-17.941578265965,4.05590071715867,2.40705302596783e-17,1.45807237048001e-14,"Mz_vs_Ab","Ab higher"
"rhot2",1916.97126374129,14.7138746271696,3.03415263185455,1.01316094706296e-16,5.66512840323127e-14,"Mz_vs_Ab","Mz higher"
"sh3d19",3635.09184327507,-18.0356487308052,4.10305003235179,1.47265919963925e-16,7.64625694441264e-14,"Mz_vs_Ab","Ab higher"
"ddx49",733.542089420192,-9.31071454862387,1.1700727703521,2.78891918775221e-16,1.2807751799994e-13,"Mz_vs_Ab","Ab higher"
"DCTN6",554.263719947358,6.49573299657965,0.828658736022775,2.81915021048155e-16,1.2807751799994e-13,"Mz_vs_Ab","Mz higher"
"ppt1",2632.67274884842,8.55891117524032,1.09925965331926,3.85347657648233e-16,1.6477012490853e-13,"Mz_vs_Ab","Mz higher"
"mrps25",823.898135307869,13.544542209097,2.71138000090231,7.2441796519481e-16,2.92544121611171e-13,"Mz_vs_Ab","Mz higher"
"acot13",4027.79561562454,-7.76923117735838,1.01765231512761,1.11067513258127e-15,4.24920923091222e-13,"Mz_vs_Ab","Ab higher"
"eya4",686.751733978778,-15.5624510182851,3.75163541936243,1.27565816029047e-15,4.6363795835757e-13,"Mz_vs_Ab","Ab higher"
"vars1",368.759501749057,6.14725698985488,0.80994473536491,2.29575150905862e-15,7.94657986635577e-13,"Mz_vs_Ab","Mz higher"
"irak4",391.284860676176,-10.1666758765271,1.33302070311411,2.45515264530024e-15,8.01906947528287e-13,"Mz_vs_Ab","Ab higher"
"nfe2l2a",708.45443811375,5.35855968973271,0.706668302035851,2.53733110374888e-15,8.01906947528287e-13,"Mz_vs_Ab","Mz higher"
"lpar2a",532.275613274306,7.94502973193056,1.04694283944316,3.27092787552258e-15,9.90682280298902e-13,"Mz_vs_Ab","Mz higher"
"KDM7A",723.003925256352,6.5373061049025,0.862765130995466,3.52916688526396e-15,1.02614056355935e-12,"Mz_vs_Ab","Mz higher"
