"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"acer2",40736.3283205877,-21.9844786075454,4.28251954708241,6.24332726321452e-31,5.25563289017398e-27,"Nb_vs_On","On higher"
"sowahd",13864.7628683104,-11.6140566047499,1.14110061922969,2.81093034157965e-26,1.18312058077088e-22,"Nb_vs_On","On higher"
"pink1",769.785410766655,8.3279955427073,0.830191218221698,1.65488503275057e-24,4.6436074018981e-21,"Nb_vs_On","Nb higher"
"pdia4",169.71552511992,-7.03915454441735,3.7530314550557,9.05378597592589e-22,1.9053692586336e-18,"Nb_vs_On","On higher"
"zgc:85843",2059.22214750764,-0.79513675551497,1.58464684186676,5.10266582525119e-20,8.5908481833929e-17,"Nb_vs_On","On higher"
"ttc34",6908.84585919756,-10.1848776463375,1.18722113050806,1.04482992061476e-19,1.46589637862251e-16,"Nb_vs_On","On higher"
"cars2",932.223013768472,-16.0624847553532,3.70376375704708,1.9082201087166e-19,2.29477098216805e-16,"Nb_vs_On","On higher"
"eif2a",1515.72948342376,-16.8337798075008,3.83895987477624,8.37647241123516e-19,7.83479386197528e-16,"Nb_vs_On","On higher"
"inab",20.401921680085,-0.769498705718577,1.53629998016344,8.08111073435739e-19,7.83479386197528e-16,"Nb_vs_On","On higher"
"surf1",55136.1920100206,9.52898386609782,1.1013967402961,1.37152687472949e-18,1.15455132314728e-15,"Nb_vs_On","Nb higher"
"gpr174",13450.2662524996,7.25546762937806,0.872425447348599,4.98968498407098e-18,3.81846983599178e-15,"Nb_vs_On","Nb higher"
"zwilch",8253.81113093214,-7.9912935482591,1.00489085291373,2.65587770313829e-17,1.86309820875151e-14,"Nb_vs_On","On higher"
"tbp",1057.64985714643,-16.2489141555337,3.81245362704934,4.16351153205323e-17,2.69603385206339e-14,"Nb_vs_On","On higher"
"mettl5",570.88504791555,-7.84963291850364,0.989141510877971,5.10930311793072e-17,3.0721509747672e-14,"Nb_vs_On","On higher"
"HDAC2",1161.84126000087,-16.3709158774126,3.83968557418647,6.2125287950589e-17,3.48647115978705e-14,"Nb_vs_On","On higher"
"atg12",590.277843492262,-15.3640973808318,3.67937351587364,8.64763878708128e-17,4.54973895685314e-14,"Nb_vs_On","On higher"
"pold2",2148.88561521081,-16.2176691407946,3.83009541517714,1.52873388946971e-16,7.14937882308669e-14,"Nb_vs_On","On higher"
"slc20a1b",1658.70294911147,6.62311083066159,0.829712299646988,1.46284142143763e-16,7.14937882308669e-14,"Nb_vs_On","Nb higher"
"ap4s1",633.240392735903,-15.4723230025289,3.71791811592202,1.68933346577679e-16,7.48463637626791e-14,"Nb_vs_On","On higher"
"RPL7A",526.472506034496,-7.23513557145876,0.938885278263646,3.75886703061776e-16,1.58210713318702e-13,"Nb_vs_On","On higher"
"snu13a",667.700863246109,-15.489934149521,3.75737729401982,1.85265716687974e-15,7.42650858609221e-13,"Nb_vs_On","On higher"
"rpl5b",643.931244570889,-15.0951579398869,3.69298141412698,2.38578077501738e-15,8.7319576365636e-13,"Nb_vs_On","On higher"
"aspdh",326.878183775693,12.1008923120558,2.70688927656416,2.37820734879402e-15,8.7319576365636e-13,"Nb_vs_On","Nb higher"
"galnt8b.1",1388.90304657904,-16.3644071291071,3.9149997025337,2.89635504728909e-15,9.92407375752004e-13,"Nb_vs_On","On higher"
"tmem189",524.841804660959,-15.1303101113796,3.70544138179966,2.94727778496081e-15,9.92407375752004e-13,"Nb_vs_On","On higher"
"rpl4",940.445682342797,-15.407210890753,3.75578802331796,3.60774738195111e-15,1.16807759466402e-12,"Nb_vs_On","On higher"
"zgc:172182",1380.22772345217,-16.0252325713303,3.87133720646162,5.38197053315492e-15,1.67797881289252e-12,"Nb_vs_On","On higher"
"rnaseh2a",405.735818247999,9.54892751487733,1.23044934155603,6.25227008900989e-15,1.87970034318876e-12,"Nb_vs_On","Nb higher"
"casd1",568.223147793873,-13.7980391385474,3.49329385531133,9.59482325885451e-15,2.78514559286336e-12,"Nb_vs_On","On higher"
"mars2",332.218083555219,-13.879770100757,3.51325368870473,1.2426708236119e-14,3.48693433105499e-12,"Nb_vs_On","On higher"
"higd2a",605.604013881262,6.63934720021135,0.890700833065065,1.50596492989174e-14,4.08942347736408e-12,"Nb_vs_On","Nb higher"
"marcksl1a",203.764690493739,-13.1842947437608,3.39629032372593,2.07275007076037e-14,5.452628154894e-12,"Nb_vs_On","On higher"
"gulp1a",310.259049629267,-14.290004538067,3.61013001674024,3.55449559844399e-14,9.06719513566712e-12,"Nb_vs_On","On higher"
"ccn4a",695.490203835944,-15.4794637020594,3.814411476278,3.87674251031867e-14,9.59835836819487e-12,"Nb_vs_On","On higher"
"nme7",345.442191283716,-14.2599035036411,3.63390257548646,6.81913159626771e-14,1.64009856506805e-11,"Nb_vs_On","On higher"
"si:dkey-13a21.4",491.996069365218,-5.78573894411824,0.843477060505093,1.88526737973443e-13,4.408383556279e-11,"Nb_vs_On","On higher"
"wdr92",1570.21031408143,-16.6354726360378,4.07905406132282,2.04400042858744e-13,4.65037719131057e-11,"Nb_vs_On","On higher"
"sqstm1",102.370016846393,-12.4384074337343,3.30671502064007,2.29697319248473e-13,5.08840008798327e-11,"Nb_vs_On","On higher"
"mphosph10",374.948687325653,-13.4485457616027,3.50905395210391,3.64282334895121e-13,7.86289409012084e-11,"Nb_vs_On","On higher"
"trim46b",739.819642857632,-15.5004471401732,3.8790605622648,3.85386040214221e-13,7.91263338176417e-11,"Nb_vs_On","On higher"
"myod1",505.695610767769,14.8709526488992,3.75914134231004,3.78658103693449e-13,7.91263338176417e-11,"Nb_vs_On","Nb higher"
"rpl11",624.768038616774,-14.8436071007619,3.77332888278892,4.26199814187984e-13,8.54226199008202e-11,"Nb_vs_On","On higher"
"cnot11",1498.49147737722,-14.1682099655697,3.65154725932562,4.95667818097358e-13,9.48302657441719e-11,"Nb_vs_On","On higher"
"mus81",378.729203065867,-13.1523640377654,3.46021347267061,4.92284189586328e-13,9.48302657441719e-11,"Nb_vs_On","On higher"
"abcf1",399.643265663937,-12.3380023603832,3.3095326489775,6.32070453747946e-13,1.18239312881116e-10,"Nb_vs_On","On higher"
"dffb",452.478973405263,-13.4632621253429,3.53312742195674,7.24667279776366e-13,1.32614112199075e-10,"Nb_vs_On","On higher"
"hsp90ab1",384.588550153444,-6.90683471257658,1.04652132451462,8.61784225393965e-13,1.54351055518434e-10,"Nb_vs_On","On higher"
"best1",299.666691080173,-14.1529637329183,3.67590336240761,1.24995857144127e-12,2.19211484466513e-10,"Nb_vs_On","On higher"
"gngt1",231.366513210766,-12.9111530803116,3.43973512045568,1.29493342433796e-12,2.22464276858713e-10,"Nb_vs_On","On higher"
"adprh",238.178534976087,6.52938343889039,0.973632549335885,1.34608231408149e-12,2.2662641839876e-10,"Nb_vs_On","Nb higher"
"clu",257.886301936784,-13.8042774439496,3.59250176156373,1.45668262886028e-12,2.40438320975409e-10,"Nb_vs_On","On higher"
"hif1al",150.659973651018,-13.0575574324642,3.46186212247654,1.55933131322654e-12,2.52431749898865e-10,"Nb_vs_On","On higher"
"rps19",145.234649660925,-13.0255389788315,3.47300856389277,2.12200540193355e-12,3.37038518367483e-10,"Nb_vs_On","On higher"
"hspd1",195.643543383104,-13.1922107706224,3.49581589761627,2.20915871345544e-12,3.44383297219776e-10,"Nb_vs_On","On higher"
