"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"zgc:85843",2088.08644847172,16.8696071105615,3.82926877320374,5.27036120556589e-27,4.46715815783765e-23,"Ab_vs_Nb","Ab higher"
"gnai3",10500.9318888682,19.1762536321399,3.14116955936882,2.54247574117073e-22,1.07750121910816e-18,"Ab_vs_Nb","Ab higher"
"pcsk2",11922.9504838158,20.0151615710539,3.41386411615808,4.65821901775996e-22,1.31610214648445e-18,"Ab_vs_Nb","Ab higher"
"map2k1",18136.6340498687,18.4410057262133,3.0745000368202,6.84589908403753e-22,1.45064601590755e-18,"Ab_vs_Nb","Ab higher"
"nudcd2",16513.0423270561,17.2811888605832,2.90512213341892,1.16163728627445e-20,1.64100627307703e-17,"Ab_vs_Nb","Ab higher"
"nubp2",1429.76616310639,16.5424152398282,2.89722348623107,1.0957454936852e-20,1.64100627307703e-17,"Ab_vs_Nb","Ab higher"
"ddah2",40211.6354104234,17.1585633788757,2.80532045835565,1.891375337219e-20,2.29018533689546e-17,"Ab_vs_Nb","Ab higher"
"pink1",773.969191393293,-7.53692648610463,0.867413634256572,3.19077921586202e-19,3.38063057920581e-16,"Ab_vs_Nb","Nb higher"
"rbm25b",341.710190900264,7.79732335547008,0.907948670805422,4.95848000929198e-19,4.66978628430654e-16,"Ab_vs_Nb","Ab higher"
"mcee",3358.25849894476,18.1457336055571,3.420871327793,2.14027133726e-18,1.81409398546158e-15,"Ab_vs_Nb","Ab higher"
"rabepk",849.889818825411,7.5182966586497,0.907903656000811,5.42841930708757e-18,4.18284382244312e-15,"Ab_vs_Nb","Ab higher"
"enosf1",600.658075299304,15.1123346751031,2.86774575001065,6.68096611556151e-18,4.45243377703957e-15,"Ab_vs_Nb","Ab higher"
"gpr174",13531.9455067514,-7.98257045154824,0.944738594966434,6.82888616110364e-18,4.45243377703957e-15,"Ab_vs_Nb","Nb higher"
"sh3d19",3686.37154059444,18.3465322399955,3.55350026043992,1.78454305436385e-17,1.08041335205628e-14,"Ab_vs_Nb","Ab higher"
"herc4",1563.56434925182,14.5624375563614,2.73102758164137,2.85526270879591e-17,1.61341378131694e-14,"Ab_vs_Nb","Ab higher"
"kansl1a",776.151394143987,15.7906627352871,3.06367473791967,4.04169657229512e-17,2.14108875917334e-14,"Ab_vs_Nb","Ab higher"
