"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"gabpa",4556.74434857647,-10.5512714096952,0.786859095037841,2.9908696446887e-43,2.18901749294766e-39,"Ab_vs_Pn","Pn higher"
"gpr174",13531.9455067514,-11.5433666267568,0.868815357823813,3.00581525258907e-40,1.09997809168497e-36,"Ab_vs_Pn","Pn higher"
"gnai3",10500.9318888682,14.3671225974273,1.31346744268666,1.23397576608823e-28,3.01048954399993e-25,"Ab_vs_Pn","Ab higher"
"pcsk2",11922.9504838158,15.0257435143694,1.39816008661279,2.6698928753985e-27,4.88523648876041e-24,"Ab_vs_Pn","Ab higher"
"map2k1",18136.6340498687,14.6523740814956,1.36772886734542,3.79268080289678e-27,5.55172615928031e-24,"Ab_vs_Pn","Ab higher"
"slc25a12",970.028593147535,-8.12669850773986,0.786315557824668,1.01207346429849e-26,1.23456094753344e-23,"Ab_vs_Pn","Pn higher"
"fkbp3",26842.6966418248,-19.854387542088,4.16223913007658,8.79297062977824e-24,9.19367886276384e-21,"Ab_vs_Pn","Pn higher"
"ppt1",2647.4206894721,-9.78540623908327,1.00826750593636,1.14010929683577e-23,9.98870205204129e-21,"Ab_vs_Pn","Pn higher"
"higd2a",608.242902177177,-8.68141298631639,0.875781427538673,1.22828690351649e-23,9.98870205204129e-21,"Ab_vs_Pn","Pn higher"
"atg13",520.738743093468,9.96225314310437,1.02629528012212,5.89836511038986e-23,4.31701342429434e-20,"Ab_vs_Pn","Ab higher"
"znf710a",1606.53267511268,-9.62736895159207,1.0085094470014,2.89020280652117e-22,1.92303584917531e-19,"Ab_vs_Pn","Pn higher"
"rbm25b",341.710190900264,7.41368353235466,0.820217355548519,1.91508151869059e-20,1.1680401362747e-17,"Ab_vs_Pn","Ab higher"
"eya4",696.417558088285,10.8511436402454,1.20048219253964,2.4924284043791e-20,1.40323719166544e-17,"Ab_vs_Pn","Ab higher"
"gltpd2",1120.20899114213,-8.34741587316182,0.960388524681951,7.25284431111219e-20,3.79168339378787e-17,"Ab_vs_Pn","Pn higher"
"prpf31",533.83540345809,-9.67808949208096,1.09235619357886,7.95803189267191e-20,3.88298902816438e-17,"Ab_vs_Pn","Pn higher"
"pcyt1aa",3221.97152896052,-17.3156777354448,3.9050136953771,1.29614638361183e-19,5.61170015354934e-17,"Ab_vs_Pn","Pn higher"
"sh3d19",3686.37154059444,13.1570744059279,1.4817242751845,1.38011480754048e-19,5.61170015354934e-17,"Ab_vs_Pn","Ab higher"
"COG5",1015.57543217589,7.99839260529268,0.911087706040199,1.35028444970637e-19,5.61170015354934e-17,"Ab_vs_Pn","Ab higher"
"PIP4K2B",674.844798657937,-9.12758954504116,1.03791506489163,1.85944746226426e-19,7.16278735595374e-17,"Ab_vs_Pn","Pn higher"
"rhot2",1927.64462480238,-16.0885087526675,3.71069720133474,2.01100211254939e-19,7.35926223087449e-17,"Ab_vs_Pn","Pn higher"
"cdkl5",1058.70123051588,11.2808788364211,1.28103143905246,2.50606778082363e-19,8.41425758197682e-17,"Ab_vs_Pn","Ab higher"
"KDM7A",727.433582358287,-6.9243212428688,0.800222596438143,2.52922075151647e-19,8.41425758197682e-17,"Ab_vs_Pn","Pn higher"
"nfe2l2a",712.278643080797,-5.6348586811137,0.651774914639465,2.65629203292357e-19,8.4527832125946e-17,"Ab_vs_Pn","Pn higher"
"usp4",2038.24961450657,-8.32057106663953,0.996301729490122,6.4806463442016e-19,1.97632710805048e-16,"Ab_vs_Pn","Pn higher"
"irak4",395.89008875881,9.88539538742473,1.14752769742559,8.23376504904968e-19,2.41051705575978e-16,"Ab_vs_Pn","Ab higher"
"rabepk",849.889818825411,6.97036534949624,0.81562425504314,1.54823053643146e-18,4.29118393347039e-16,"Ab_vs_Pn","Ab higher"
"DCTN6",557.04313198817,-6.52687459006948,0.77684736766858,1.5830300068821e-18,4.29118393347039e-16,"Ab_vs_Pn","Pn higher"
"cttnbp2nlb",623.311708666293,10.1281560375352,1.17677150301439,1.70717012653278e-18,4.46242077003337e-16,"Ab_vs_Pn","Ab higher"
"psma6l",321.388730018156,9.5025416835751,1.13056112596241,6.12090130881443e-18,1.54478885100734e-15,"Ab_vs_Pn","Ab higher"
"hspa12b",958.398395830181,-7.73248774179304,0.946537454122022,7.22706577941678e-18,1.76316314798505e-15,"Ab_vs_Pn","Pn higher"
"dkk3a",954.257084794633,-7.76884589612236,0.970817328065789,1.7579160825174e-17,4.15038316385317e-15,"Ab_vs_Pn","Pn higher"
"tab3",983.434587782237,-8.1801051953176,1.00100128190493,1.83354492699551e-17,4.19366103771255e-15,"Ab_vs_Pn","Pn higher"
"kansl1a",776.151394143987,8.84999978490404,1.07516617627739,2.77768901184446e-17,6.16057753869383e-15,"Ab_vs_Pn","Ab higher"
"TMEM43",1588.8657439372,-8.30413418651934,1.05562806114297,3.30143894198927e-17,7.10683282835866e-15,"Ab_vs_Pn","Pn higher"
"tlk2",769.870680853145,-14.8177892955856,3.57367815348123,3.5565718680957e-17,7.43729985788356e-15,"Ab_vs_Pn","Pn higher"
"zrsr2",621.979861259918,9.13368012319859,1.10918907741976,3.74155654636117e-17,7.60679232300482e-15,"Ab_vs_Pn","Ab higher"
"COMTD1",2869.27133326553,-7.43925240461151,0.94116449817242,4.47893208789197e-17,8.85981187872468e-15,"Ab_vs_Pn","Pn higher"
"gla",3537.85801222387,-10.5461529320355,1.32698594594187,4.66021109370117e-17,8.97581184073655e-15,"Ab_vs_Pn","Pn higher"
"tmem54b",709.409286809414,10.9254539420398,1.33565387386892,7.17445677289432e-17,1.34640638771317e-14,"Ab_vs_Pn","Ab higher"
"mrps30",361.046609249456,-6.71657005697402,0.835797710330466,9.8634175636196e-17,1.8047588287033e-14,"Ab_vs_Pn","Pn higher"
"mrps25",828.808376724854,-14.3451173196471,3.51117059542314,1.31612519340151e-16,2.34828712904602e-14,"Ab_vs_Pn","Pn higher"
"thoc1",318.36418446165,-7.84166214019655,0.979276967244228,1.34756195409117e-16,2.34828712904602e-14,"Ab_vs_Pn","Pn higher"
"golga2",164.059497821926,6.97557979836691,0.871810848858666,1.4375819106083e-16,2.44689814040516e-14,"Ab_vs_Pn","Ab higher"
"fhl1a",784.105374681845,7.90491484283536,0.992806610327887,1.73235203441543e-16,2.88161012270149e-14,"Ab_vs_Pn","Ab higher"
"msto1",697.416909599747,12.3324241162192,1.52374376582316,2.17453258383794e-16,3.53675644024665e-14,"Ab_vs_Pn","Ab higher"
