"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"ddah2",40211.6354104234,19.8311659800321,2.89124928003583,2.2437717663867e-26,1.75350763543121e-22,"Mz_vs_Nb","Mz higher"
"gabpa",4556.74434857647,17.202708531805,2.81234400307629,1.25629390078595e-25,4.90896841732109e-22,"Mz_vs_Nb","Mz higher"
"map2k1",18136.6340498687,20.0072268550776,3.13910918987449,2.67179043049756e-25,6.96001407144615e-22,"Mz_vs_Nb","Mz higher"
"fkbp3",26842.6966418248,19.7122339120204,3.218398975229,5.08361351994993e-24,9.93210991460217e-21,"Mz_vs_Nb","Mz higher"
"pink1",773.969191393293,-8.1839377755138,0.875282582629525,3.81605214288468e-22,5.96448949932876e-19,"Mz_vs_Nb","Nb higher"
"stx5a",8230.07948701546,18.25044981181,2.93414950619337,5.47272797499051e-22,7.12822818742514e-19,"Mz_vs_Nb","Mz higher"
"slc20a1b",1666.31888335936,-8.0921817827729,0.920736089853352,8.71241472788637e-20,9.72678872834743e-17,"Mz_vs_Nb","Nb higher"
"gnai3",10500.9318888682,17.4205150341006,3.07019045283078,7.00673962161911e-19,6.84470876786917e-16,"Mz_vs_Nb","Mz higher"
"rhot2",1927.64462480238,15.364619796714,3.00269118767314,1.01713428978982e-18,8.8321160830083e-16,"Mz_vs_Nb","Mz higher"
"COG5",1015.57543217589,7.88307522651557,0.941592887931415,2.50573273966572e-18,1.95823013604876e-15,"Mz_vs_Nb","Mz higher"
"lysmd2",1066.39557980249,16.211939091502,3.08448769559549,3.12873159003744e-17,2.08433909759048e-14,"Mz_vs_Nb","Mz higher"
"rbm34",2116.31412808772,14.7420028201659,2.8126737689866,3.46723074455231e-17,2.08433909759048e-14,"Mz_vs_Nb","Mz higher"
"ciao1",353.720473908958,14.6301514903019,2.91375583004652,3.30799852285409e-17,2.08433909759048e-14,"Mz_vs_Nb","Mz higher"
"mat2aa",1190.76174636171,16.4865336982748,3.19426095443421,4.1580786419199e-17,2.17201126710621e-14,"Mz_vs_Nb","Mz higher"
"mfap1",849.380473545469,15.6960448597512,2.99055202474688,4.44685608108757e-17,2.17201126710621e-14,"Mz_vs_Nb","Mz higher"
"herc4",1563.56434925182,14.4814519475836,2.73500115090639,4.38302669318629e-17,2.17201126710621e-14,"Mz_vs_Nb","Mz higher"
"cep72",486.517909899319,15.0504195572773,2.95669123319343,4.82354876016021e-17,2.21741373886188e-14,"Mz_vs_Nb","Mz higher"
"cpsf4",2785.94245981913,15.6331263779073,2.87935156040074,6.47720706465573e-17,2.53096866051423e-14,"Mz_vs_Nb","Mz higher"
"caprin1a",354.992712345023,14.3915220979339,2.96872206269033,6.2338688545705e-17,2.53096866051423e-14,"Mz_vs_Nb","Mz higher"
"KDM7A",727.433582358287,14.0248659374162,2.76932570781972,6.0906030652905e-17,2.53096866051423e-14,"Mz_vs_Nb","Mz higher"
"fam124b",1258.30381070333,15.9463795216276,2.99060569119022,7.97098878622706e-17,2.93390092251366e-14,"Mz_vs_Nb","Mz higher"
"TMEM43",1588.8657439372,14.9659633821034,2.83557868284945,8.2592220467435e-17,2.93390092251366e-14,"Mz_vs_Nb","Mz higher"
"mrpl9",663.804548927021,14.3657807109221,2.99210068391158,9.90694664203627e-17,3.36620817423971e-14,"Mz_vs_Nb","Mz higher"
"tab3",983.434587782237,14.6612988641516,2.86070796787953,1.27275753382303e-16,4.14441671951124e-14,"Mz_vs_Nb","Mz higher"
"thrb",649.06552493464,14.6890257855923,3.05160913416711,2.2241774239362e-16,6.89802254610202e-14,"Mz_vs_Nb","Mz higher"
"nkrf",1427.18193463468,14.584384211305,2.79042730078902,2.3831939698625e-16,6.89802254610202e-14,"Mz_vs_Nb","Mz higher"
"shisa2b",1167.30881556171,14.3428420657699,2.75157499059262,2.29567024988178e-16,6.89802254610202e-14,"Mz_vs_Nb","Mz higher"
"prmt7",636.439457024128,14.543020241051,2.82692850264316,2.47798940960375e-16,6.91624544144762e-14,"Mz_vs_Nb","Mz higher"
"lrrc14b",1360.86519698265,14.5194972539635,2.82793048943918,2.82819789627638e-16,7.62150571013791e-14,"Mz_vs_Nb","Mz higher"
"ndufc2",2173.61503165387,17.1209972211464,3.23329048107673,3.57328329179561e-16,9.30840297512755e-14,"Mz_vs_Nb","Mz higher"
"tma16",1973.36303328344,15.2526838656784,2.89766491111299,3.8970117838487e-16,9.82424099702503e-14,"Mz_vs_Nb","Mz higher"
"tor1",1775.03170292893,17.3934244967443,3.6253844684923,4.60076388499412e-16,1.12359280503841e-13,"Mz_vs_Nb","Mz higher"
"zrsr2",621.979861259918,14.6852753623037,2.93366084566319,6.39652909749851e-16,1.51481439081669e-13,"Mz_vs_Nb","Mz higher"
"etnppl",1380.28263687543,14.7437613815253,2.84451202017491,1.03685931671234e-15,2.38325163532556e-13,"Mz_vs_Nb","Mz higher"
"nvl",988.530940565437,16.2186935715816,3.28321756116523,1.65532697538028e-15,3.69610866074198e-13,"Mz_vs_Nb","Mz higher"
"pld7",509.010090602937,14.3048225481475,2.83928222312035,2.15694370643285e-15,4.68236529604797e-13,"Mz_vs_Nb","Mz higher"
"GPS2",304.022216295438,13.4891851105764,2.74655514837248,2.632557097374e-15,5.56038749080482e-13,"Mz_vs_Nb","Mz higher"
"arhgef16",411.039064287243,14.716332156559,2.99200021265122,3.1692889340074e-15,6.51789289980733e-13,"Mz_vs_Nb","Mz higher"
"eps8l2",268.308789237164,14.5093156418318,3.2339185468141,3.88087059560296e-15,7.77666761657362e-13,"Mz_vs_Nb","Mz higher"
"gpc6b",1138.26030721189,16.0517459665157,3.1397795556547,4.51856086102628e-15,8.02558025657282e-13,"Mz_vs_Nb","Mz higher"
"cnot11",1506.80806716546,15.2041562858394,2.95236900732906,4.42205160490706e-15,8.02558025657282e-13,"Mz_vs_Nb","Mz higher"
"FH",200.325640120887,13.453577299659,2.80029336042152,4.37532639272336e-15,8.02558025657282e-13,"Mz_vs_Nb","Mz higher"
"ZCCHC24",693.463021979449,13.3903563877467,2.70987952383864,4.21624041041385e-15,8.02558025657282e-13,"Mz_vs_Nb","Mz higher"
"tlk2",769.870680853145,13.3630294756884,2.9023290080604,4.35061484115755e-15,8.02558025657282e-13,"Mz_vs_Nb","Mz higher"
"thoc6",297.519400112297,13.6825956154997,2.81397256286001,4.80908552253039e-15,8.35177852412778e-13,"Mz_vs_Nb","Mz higher"
"acod1",456.54486729657,14.8344450104698,3.05441396316242,6.76346993245893e-15,1.11364895953432e-12,"Mz_vs_Nb","Mz higher"
"dtwd1",1005.52326066271,14.1946833691477,2.83819806695661,6.8400703848557e-15,1.11364895953432e-12,"Mz_vs_Nb","Mz higher"
"tnip1",859.548106702568,6.92876130411007,0.93377735762228,6.68539639933829e-15,1.11364895953432e-12,"Mz_vs_Nb","Mz higher"
"dnajb12b",1030.03201267703,15.7730101867503,3.25009734847426,7.52519633089573e-15,1.20019202706021e-12,"Mz_vs_Nb","Mz higher"
"LLGL1",317.778479085241,13.5041554234815,2.81603726375196,7.97443762020623e-15,1.24640460003823e-12,"Mz_vs_Nb","Mz higher"
"khdc4",1030.27731813094,15.1977651026052,2.98914951781682,1.18734558056057e-14,1.7183529096446e-12,"Mz_vs_Nb","Mz higher"
"stx17",597.525371883504,13.9728480527829,2.88734263184403,1.17645619654958e-14,1.7183529096446e-12,"Mz_vs_Nb","Mz higher"
"sart3",407.64395137167,12.8009358296388,2.65802827446748,1.17796928576434e-14,1.7183529096446e-12,"Mz_vs_Nb","Mz higher"
"rnaseh2a",407.946146970608,-10.4726840085075,1.4250333986621,1.14935990828673e-14,1.7183529096446e-12,"Mz_vs_Nb","Nb higher"
"mus81",380.839508408729,13.9087883192156,2.90982761602077,1.34484617878747e-14,1.91090416131347e-12,"Mz_vs_Nb","Mz higher"
"ubap2a",394.49801931756,14.4897656559428,3.00057520092648,1.53071883136427e-14,2.13617279769853e-12,"Mz_vs_Nb","Mz higher"
"pold1",360.601036203495,14.3873846750441,3.03077755910106,1.64738024436698e-14,2.21970286374619e-12,"Mz_vs_Nb","Mz higher"
"mad2l1bp",159.293325585529,13.4164432975829,2.90425198812623,1.61913736882727e-14,2.21970286374619e-12,"Mz_vs_Nb","Mz higher"
"fktn",574.063880451866,13.2177199363871,2.70167605703453,1.78164235071398e-14,2.35992118149657e-12,"Mz_vs_Nb","Mz higher"
"ireb2",290.590637908441,14.4399579982203,3.17143566413331,2.01578740227023e-14,2.62556309145698e-12,"Mz_vs_Nb","Mz higher"
"prdx3",283.175231193298,13.3967636047472,2.83397628518874,2.32244895272415e-14,2.94606056675836e-12,"Mz_vs_Nb","Mz higher"
"casd1",570.250816705355,13.2160117577638,2.72710579177316,2.33724574714035e-14,2.94606056675836e-12,"Mz_vs_Nb","Mz higher"
"pif1",580.791938974684,14.7124733917697,3.04701280238042,2.59401347360798e-14,3.21781195178514e-12,"Mz_vs_Nb","Mz higher"
"thoc1",318.36418446165,12.6614084758359,2.70430189621405,2.67325620226027e-14,3.26429644072875e-12,"Mz_vs_Nb","Mz higher"
"ap2s1",248.041170866551,13.9417967808015,2.9584430875998,2.96699166452297e-14,3.56723690126876e-12,"Mz_vs_Nb","Mz higher"
"wdr74",262.146137463015,12.7356033549966,2.76835749471659,3.79614804101609e-14,4.49498438493042e-12,"Mz_vs_Nb","Mz higher"
"aldh3b1",303.468823602252,12.7501037820477,2.86413545851579,3.91916429126594e-14,4.5713834233199e-12,"Mz_vs_Nb","Mz higher"
"abcf1",401.303861913049,12.5950451661412,2.6608011573764,4.23270656710978e-14,4.86450026793572e-12,"Mz_vs_Nb","Mz higher"
"ap1g2",326.357208730893,13.6309841311373,2.92285579156703,4.98170123780297e-14,5.64231814107684e-12,"Mz_vs_Nb","Mz higher"
"CNNM1",551.063818258487,14.8216058560308,3.00619699374898,5.14632780283389e-14,5.74550739702098e-12,"Mz_vs_Nb","Mz higher"
"mrpl30",362.162974380729,13.887245930733,2.95777847079593,5.4729251330708e-14,6.02407181900681e-12,"Mz_vs_Nb","Mz higher"
"nup88",149.921747823808,13.4671354413965,3.07681469273718,5.82428694030476e-14,6.32177811645579e-12,"Mz_vs_Nb","Mz higher"
