"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"acer2",40557.5071660998,-15.5750326416432,1.1365921575386,2.18665134646237e-44,1.20309557082359e-40,"Mz_vs_On","On higher"
"surf1",55585.3137233015,14.1619460904416,1.09611684850252,5.50538402248184e-38,1.51453114458475e-34,"Mz_vs_On","Mz higher"
"gpr174",13531.9455067514,10.549218088303,0.868048779918688,2.10000316711856e-35,3.85140580849545e-32,"Mz_vs_On","Mz higher"
"ephx5",12373.0600709754,-11.5168755830367,0.984041512142857,1.46531601672953e-33,2.01554218101147e-30,"Mz_vs_On","On higher"
"gabpa",4556.74434857647,7.74293475494566,0.673682744774449,1.63912485472448e-31,1.80369299013881e-28,"Mz_vs_On","Mz higher"
"map2k1",18136.6340498687,13.4822234039325,1.19590814535832,5.12658625988803e-30,4.70107960031732e-27,"Mz_vs_On","Mz higher"
"ddah2",40211.6354104234,12.2362238099793,1.09382632749605,1.82409847503212e-29,1.43374140137524e-26,"Mz_vs_On","Mz higher"
"zwilch",8234.15736212946,-11.075192872943,1.0257322595729,4.53979941109333e-29,3.12224704497943e-26,"Mz_vs_On","On higher"
"fkbp3",26842.6966418248,11.0713143174995,1.15257465932985,1.74417136201232e-22,1.06627009264353e-19,"Mz_vs_On","Mz higher"
"rhot2",1927.64462480238,8.70880740645048,0.897526350858062,2.29926631823539e-22,1.26505632829311e-19,"Mz_vs_On","Mz higher"
"stx5a",8230.07948701546,10.7949165607136,1.12816847942882,5.63176808765241e-22,2.67673158824848e-19,"Mz_vs_On","Mz higher"
"tpk1",2752.74967886405,10.3161716092962,1.11057106424651,5.83801873118534e-22,2.67673158824848e-19,"Mz_vs_On","Mz higher"
"sowahd",13826.6903211975,-16.6147759556038,1.75516301855827,9.40520112481723e-22,3.98057050682649e-19,"Mz_vs_On","On higher"
"eif2a",1510.12784647559,-10.9021257111439,1.23428759447448,1.59301450922184e-20,6.26054702124182e-18,"Mz_vs_On","On higher"
"si:ch73-344o19.1",2261.98523394655,14.3044637070767,2.67881350425625,4.12992882232121e-20,1.51485789202742e-17,"Mz_vs_On","Mz higher"
"prpf31",533.83540345809,6.93611632335439,0.773052148135676,8.62227136255368e-20,2.96498356479815e-17,"Mz_vs_On","Mz higher"
"mrpl9",663.804548927021,8.83311153767839,0.993002669219357,1.06969200631965e-19,3.46202671692396e-17,"Mz_vs_On","Mz higher"
"rbm34",2116.31412808772,9.16039549048935,1.02181617117378,1.93634239487321e-19,5.91875325366243e-17,"Mz_vs_On","Mz higher"
"zgc:163080",4622.55812203179,8.20804820562646,0.962293776872656,9.2179906793159e-19,2.66933603776821e-16,"Mz_vs_On","Mz higher"
"cpt2",828.653273659251,7.35616108305034,0.871400505101203,1.27425462808662e-18,3.50547448186628e-16,"Mz_vs_On","Mz higher"
"cep72",486.517909899319,9.13377456783126,1.09018562393085,1.36535820244689e-18,3.54139179374594e-16,"Mz_vs_On","Mz higher"
"KDM7A",727.433582358287,7.02617959496815,0.835114173667831,1.41604179320994e-18,3.54139179374594e-16,"Mz_vs_On","Mz higher"
"usp39",1713.52331959662,9.02070908103741,1.05009049106415,3.62944207995777e-18,8.68225666257724e-16,"Mz_vs_On","Mz higher"
"COG5",1015.57543217589,7.26467048822096,0.866371685674414,5.12709666118627e-18,1.17538690957695e-15,"Mz_vs_On","Mz higher"
"thrb",649.06552493464,9.05113053854648,1.03936170336248,5.3674979152406e-18,1.18127894118615e-15,"Mz_vs_On","Mz higher"
"TADA1",1104.5274996725,7.02372681116854,0.851862421090741,9.65776688878821e-18,2.04373205469664e-15,"Mz_vs_On","Mz higher"
"gnai3",10500.9318888682,10.2586859608264,1.22940599148479,1.74258111266625e-17,3.45438405347674e-15,"Mz_vs_On","Mz higher"
"ppfibp1a",1029.66195673918,7.39230539120526,0.901850180276961,1.75795626131132e-17,3.45438405347674e-15,"Mz_vs_On","Mz higher"
"lrrc14b",1360.86519698265,11.5388347842356,1.62773246826527,2.90931708574679e-17,5.51967676061339e-15,"Mz_vs_On","Mz higher"
"mrps25",828.808376724854,6.10659844281574,0.74292859349146,3.27989885310231e-17,6.01533449658963e-15,"Mz_vs_On","Mz higher"
"HDAC2",1157.77042771845,-10.8493501504618,1.35387224676707,3.99181762253269e-17,7.0848324384435e-15,"Mz_vs_On","On higher"
"ap4s1",632.066612733813,-9.19260463798047,1.1618387668638,7.25032731859547e-17,1.23525605211635e-14,"Mz_vs_On","On higher"
"herc4",1563.56434925182,7.41148695377628,0.903192846483839,7.40884218826598e-17,1.23525605211635e-14,"Mz_vs_On","Mz higher"
"wrap73",603.125991016203,7.5993833885661,0.947039869189712,1.95000724791827e-16,3.15557055236656e-14,"Mz_vs_On","Mz higher"
"slc25a12",970.028593147535,5.46925263716519,0.692693135727489,2.7417410762648e-16,4.31001697188827e-14,"Mz_vs_On","Mz higher"
"snrnp200",184.682403972252,-6.58561198513465,0.850476414416865,3.38163996006354e-16,5.16827307229711e-14,"Mz_vs_On","On higher"
"fam124b",1258.30381070333,9.62999473202926,1.26191444416771,3.64780927536415e-16,5.28164385080357e-14,"Mz_vs_On","Mz higher"
"mettl21a",877.651520007871,6.56713799736231,0.848504096361623,3.57285556709163e-16,5.28164385080357e-14,"Mz_vs_On","Mz higher"
"cinp",359.136976325801,8.06753025048235,0.981279784129792,4.79662543131093e-16,6.76693157001864e-14,"Mz_vs_On","Mz higher"
"rapgef1b",457.905829490243,6.89707699681402,0.858789599559722,6.04954011368331e-16,8.32114242637139e-14,"Mz_vs_On","Mz higher"
"atg12",589.324508305958,-8.08361847912919,1.06409546069205,6.25940375722632e-16,8.39981450542908e-14,"Mz_vs_On","On higher"
"cpsf4",2785.94245981913,9.08945660795555,1.13815986664549,6.70139934275389e-16,8.77883313900759e-14,"Mz_vs_On","Mz higher"
"plpbp",807.893068285349,8.74925734174285,1.07484185115971,6.87705932766065e-16,8.79943730716021e-14,"Mz_vs_On","Mz higher"
"COMTD1",2869.27133326553,7.23033237349895,0.916913268754876,7.60751844036176e-16,9.51285601337964e-14,"Mz_vs_On","Mz higher"
"ascc2",487.434034432552,6.22643159328601,0.784859383732391,8.66626212740291e-16,1.05959498277713e-13,"Mz_vs_On","Mz higher"
"vars1",371.147150281097,5.63137897060903,0.716665594128039,1.00052795028345e-15,1.19671843096947e-13,"Mz_vs_On","Mz higher"
"tlk2",769.870680853145,6.72837693141674,0.868227822879044,1.10413910269615e-15,1.29254751979451e-13,"Mz_vs_On","Mz higher"
"eps8l2",268.308789237164,8.94740762795532,1.15683454023865,1.27584801430017e-15,1.46244078639157e-13,"Mz_vs_On","Mz higher"
"tor1",1775.03170292893,11.9422158495002,1.48856270653235,1.40445353880785e-15,1.54546067410416e-13,"Mz_vs_On","Mz higher"
"pold2",2154.00963325771,-11.8301893917728,1.55510903300017,1.39890393943488e-15,1.54546067410416e-13,"Mz_vs_On","On higher"
"tbp",1055.51593841332,-8.95308139072015,1.20957598047785,2.13162544755864e-15,2.29964768871915e-13,"Mz_vs_On","On higher"
"ppt1",2647.4206894721,7.35961263766522,0.945816934825758,2.36520119535055e-15,2.50256480323437e-13,"Mz_vs_On","Mz higher"
"nkrf",1427.18193463468,7.74611544699552,0.997473679532003,2.75913409843443e-15,2.86429354897854e-13,"Mz_vs_On","Mz higher"
"snu13a",666.435629683961,-10.0340327034267,1.35196976343456,4.03762450371205e-15,4.11389074433772e-13,"Mz_vs_On","On higher"
"mif4gda",277.454889357155,9.44245147077879,1.27376203736251,5.32283632290328e-15,5.24020781620626e-13,"Mz_vs_On","Mz higher"
"nol7",824.157930549232,-8.27298666087433,1.12674848787023,5.33354485110052e-15,5.24020781620626e-13,"Mz_vs_On","On higher"
"nvl",988.530940565437,10.6314900582289,1.35196465362694,7.79142395864088e-15,7.52077449481441e-13,"Mz_vs_On","Mz higher"
"neurod1",363.670495839794,-7.77404692934271,1.07378586241009,1.01929358652062e-14,9.59193524105154e-13,"Mz_vs_On","On higher"
"mrps30",361.046609249456,6.65477459399994,0.894988608573054,1.02857902439484e-14,9.59193524105154e-13,"Mz_vs_On","Mz higher"
"etnppl",1380.28263687543,8.4414042816313,1.14500089842437,1.06966488323356e-14,9.80882697925177e-13,"Mz_vs_On","Mz higher"
"JMJD8",631.064591144211,7.03461410706575,0.949680786999075,1.09152787253458e-14,9.84522353227095e-13,"Mz_vs_On","Mz higher"
"dtwd1",1005.52326066271,8.77969955091806,1.14176104567583,1.11564337187359e-14,9.9004352129814e-13,"Mz_vs_On","Mz higher"
"tmem189",524.025805587238,-8.97046399277632,1.24991724581224,1.42954698265765e-14,1.24847103152102e-12,"Mz_vs_On","On higher"
"trim8b",829.858493216081,-9.48899966946794,1.33663688628224,1.52406031863481e-14,1.31021560517636e-12,"Mz_vs_On","On higher"
"cox18",287.606029036754,6.51811845238994,0.874060033549944,1.65287605001235e-14,1.39909600417968e-12,"Mz_vs_On","Mz higher"
"cttnbp2nlb",623.311708666293,7.77428246679195,1.06426126141743,1.74253422355376e-14,1.45263989363527e-12,"Mz_vs_On","Mz higher"
"tnip1",859.548106702568,6.25028829930509,0.84338193317803,2.23870540588924e-14,1.83841151391083e-12,"Mz_vs_On","Mz higher"
"mad2l1bp",159.293325585529,7.14327733729495,0.973570896365217,2.46646459964979e-14,1.99566003342252e-12,"Mz_vs_On","Mz higher"
"ciao1",353.720473908958,6.26234851270875,0.849470279586719,2.91188221225692e-14,2.32190955533878e-12,"Mz_vs_On","Mz higher"
"wdr53",421.813936904256,8.88234562737635,1.2237532026553,3.2917595047817e-14,2.58732297075842e-12,"Mz_vs_On","Mz higher"
"rpusd4",377.578841333378,6.8983273395479,0.932548076323696,3.63651886108366e-14,2.8180460244623e-12,"Mz_vs_On","Mz higher"
"zrsr2",621.979861259918,7.57055733240183,1.04526981768007,3.89847859072831e-14,2.97908738974822e-12,"Mz_vs_On","Mz higher"
"exosc5",985.77973246327,8.72429867951926,1.15378677050671,4.47168877107177e-14,3.37030570115574e-12,"Mz_vs_On","Mz higher"
"stx17",597.525371883504,7.9707732069136,1.08034235136592,5.82023873940402e-14,4.32742615462174e-12,"Mz_vs_On","Mz higher"
"pold1",360.601036203495,8.75491471618158,1.19673000439126,6.07482704667666e-14,4.456493121442e-12,"Mz_vs_On","Mz higher"
"reep1",318.816931347581,7.75243916678181,1.06620776681653,6.31492964380477e-14,4.57167669739656e-12,"Mz_vs_On","Mz higher"
"n4bp3",156.158062657883,7.74715579994488,1.08102840251345,7.67465406200634e-14,5.48388917521544e-12,"Mz_vs_On","Mz higher"
"rfc2",1650.67535833487,7.72540272075222,1.06407751634894,9.35634242738872e-14,6.59982000455035e-12,"Mz_vs_On","Mz higher"
"cdadc1",307.28147061658,9.42688017476883,1.28028057018924,1.15033635268166e-13,8.01158305373984e-12,"Mz_vs_On","Mz higher"
"mars2",332.173192202439,-13.2301705047171,3.44596406378976,1.50015927343911e-13,1.01899707684716e-11,"Mz_vs_On","On higher"
"ndufc2",2173.61503165387,10.1378793922977,1.387360696991,1.4979144705131e-13,1.01899707684716e-11,"Mz_vs_On","Mz higher"
"pif1",580.791938974684,9.38299658630724,1.3372259567289,1.58915782666976e-13,1.06628614174842e-11,"Mz_vs_On","Mz higher"
"tab3",983.434587782237,6.72449772525709,0.938773736642997,1.61203203830482e-13,1.06860244274134e-11,"Mz_vs_On","Mz higher"
"TMEM19",181.466969721391,6.22960630162332,0.875156527977513,1.8210344175086e-13,1.19277754346813e-11,"Mz_vs_On","Mz higher"
"ccnh",149.605963623726,5.70266318497755,0.817224692774456,2.06330582258143e-13,1.33556572186388e-11,"Mz_vs_On","Mz higher"
"mfap1",849.380473545469,7.6150247138087,1.06862384584441,2.51446497956132e-13,1.60867282762167e-11,"Mz_vs_On","Mz higher"
"wdr74",262.146137463015,5.96862847951422,0.852662980771739,2.77689406821395e-13,1.75614611072565e-11,"Mz_vs_On","Mz higher"
"tm9sf3",822.487782590646,5.84379088944649,0.833156175253298,2.80922353406051e-13,1.75640316868192e-11,"Mz_vs_On","Mz higher"
"mat2aa",1190.76174636171,8.33220380298867,1.18265091559046,2.95270824478863e-13,1.82537087222776e-11,"Mz_vs_On","Mz higher"
"zswim7",243.576643094086,10.7377022757434,1.72283247556808,3.60367406711735e-13,2.20304607969774e-11,"Mz_vs_On","Mz higher"
"si:ch1073-390k14.1",154.774627070824,8.70914478762609,1.19721489466941,3.8490791649676e-13,2.32721247974195e-11,"Mz_vs_On","Mz higher"
"slc26a5",214.323172889245,7.30323434140768,1.02764978200354,4.00216525763482e-13,2.39346883125074e-11,"Mz_vs_On","Mz higher"
