"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"acer2",40557.5071660998,-21.9856866412155,4.26647959232251,5.96266415810439e-32,5.05395414040928e-28,"Nb_vs_On","On higher"
"sowahd",13826.6903211975,-11.5998549334593,1.14127704122122,3.25237730320646e-26,1.3783575010989e-22,"Nb_vs_On","On higher"
"pink1",773.969191393293,8.35697672831894,0.827154454003581,7.60800223130388e-25,2.14951423041772e-21,"Nb_vs_On","Nb higher"
"pdia4",170.227872981315,-6.98854372787346,3.73517836648478,9.84295803028498e-22,2.08572280661739e-18,"Nb_vs_On","On higher"
"zgc:85843",2088.08644847172,-0.796323454128492,1.5866740567226,5.70113236369662e-20,9.66455958293852e-17,"Nb_vs_On","On higher"
"ttc34",6902.84599016596,-10.1724224590104,1.1887892454344,1.2629094648941e-19,1.78407010407373e-16,"Nb_vs_On","On higher"
"cars2",929.844327711503,-16.0434905031352,3.70297913893743,2.28079989291946e-19,2.76172284176934e-16,"Nb_vs_On","On higher"
"eif2a",1510.12784647559,-16.812679952574,3.83288711425115,9.16268986840194e-19,9.70786991557185e-16,"Nb_vs_On","On higher"
"surf1",55585.3137233015,9.55901942095181,1.10076580341582,1.03375428260234e-18,9.73566811037489e-16,"Nb_vs_On","Nb higher"
"inab",20.4444757123056,-0.773895493620176,1.54338558128936,1.48791257289317e-18,1.26115469678425e-15,"Nb_vs_On","On higher"
"gpr174",13531.9455067514,7.26936751699577,0.869319640395326,3.74621032944033e-18,2.88662534112148e-15,"Nb_vs_On","Nb higher"
"zwilch",8234.15736212946,-7.97759806741153,1.00793926090717,3.59859779653593e-17,2.54180957695321e-14,"Nb_vs_On","On higher"
"tbp",1055.51593841332,-16.2328041052709,3.8110883985467,4.51870922105068e-17,2.94619841212504e-14,"Nb_vs_On","On higher"
"HDAC2",1157.77042771845,-16.3525592130434,3.83790988728613,6.73933411090433e-17,4.08018542314465e-14,"Nb_vs_On","On higher"
"mettl5",572.586092351028,-7.83473751905307,0.993252574713502,7.53069122991515e-17,4.25534259098405e-14,"Nb_vs_On","On higher"
"atg12",589.324508305958,-15.3480433086941,3.67833077000787,9.60036765370723e-17,5.0857947645514e-14,"Nb_vs_On","On higher"
"slc20a1b",1666.31888335936,6.63758117415357,0.831632037991119,1.46380677860638e-16,7.29836838556923e-14,"Nb_vs_On","Nb higher"
"pold2",2154.00963325771,-16.2015490090295,3.82945553384508,1.72149034961883e-16,8.09806651922826e-14,"Nb_vs_On","On higher"
