"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"ddah2",40211.6354104234,-21.145703640412,4.21795630346165,1.92470324839951e-28,1.53591319222281e-24,"Nb_vs_Pn","Pn higher"
"nudcd2",16513.0423270561,-20.3513761372468,4.1441722721097,7.51191546678529e-27,2.99725427124733e-23,"Nb_vs_Pn","Pn higher"
"fkbp3",26842.6966418248,-20.5546920303725,4.18931588881788,6.56992462902955e-26,1.74759995132186e-22,"Nb_vs_Pn","Pn higher"
"gabpa",4556.74434857647,-17.7765789806143,3.81484248676392,9.57754533812278e-26,1.91072029495549e-22,"Nb_vs_Pn","Pn higher"
"pink1",773.969191393293,7.6927322736255,0.78031321893106,8.70696553785833e-24,1.38963169984219e-20,"Nb_vs_Pn","Nb higher"
"PIP4K2B",674.844798657937,-9.51438899770121,0.999483389071518,1.27014364999973e-22,1.68929105449965e-19,"Nb_vs_Pn","Pn higher"
"jph2",3542.14837802756,-18.0743683101765,3.9356838451533,4.667220780033e-22,5.32063168923762e-19,"Nb_vs_Pn","Pn higher"
"pcyt1aa",3221.97152896052,-18.0239084427177,3.94028535826918,1.32508740538232e-21,1.31237444854122e-18,"Nb_vs_Pn","Pn higher"
"rhot2",1927.64462480238,-16.7916405662019,3.75948734819608,1.48012155850514e-21,1.31237444854122e-18,"Nb_vs_Pn","Pn higher"
"rbm34",2116.31412808772,-17.069477658612,3.80472486850826,2.16648949308197e-21,1.72885861547941e-18,"Nb_vs_Pn","Pn higher"
"znf710a",1606.53267511268,-16.9672070717437,3.81219367636706,1.56180020932404e-20,1.13301506094598e-17,"Nb_vs_Pn","Pn higher"
"stx5a",8230.07948701546,-17.8030162124803,3.9442769349891,2.73165534600945e-20,1.81655080509629e-17,"Nb_vs_Pn","Pn higher"
"gltpd2",1120.20899114213,-16.3870949234642,3.71412419289278,8.29658048420825e-20,5.0928240203063e-17,"Nb_vs_Pn","Pn higher"
"ube2g1b",1559.29243386657,-16.649282433331,3.79071317502837,1.39528036796288e-19,7.95309809738842e-17,"Nb_vs_Pn","Pn higher"
"gla",3537.85801222387,-18.1026292693914,4.02077867523188,2.48374420587309e-19,1.32135191752448e-16,"Nb_vs_Pn","Pn higher"
"tlk2",769.870680853145,-15.5257006725815,3.6263161576848,3.3138756149164e-19,1.65279546293955e-16,"Nb_vs_Pn","Pn higher"
"dkk3a",954.257084794633,-16.1079422928379,3.6727888825174,4.10818063651613e-19,1.82129341552215e-16,"Nb_vs_Pn","Pn higher"
"herc4",1563.56434925182,-15.9073911574917,3.68872161722435,4.08161326746068e-19,1.82129341552215e-16,"Nb_vs_Pn","Pn higher"
"TMEM43",1588.8657439372,-16.2669241182229,3.75848591791181,1.09060560518512e-18,4.58054354177749e-16,"Nb_vs_Pn","Pn higher"
"cpsf4",2785.94245981913,-16.7957993785917,3.84801876876738,1.71479035081628e-18,6.84201349975695e-16,"Nb_vs_Pn","Pn higher"
"KDM7A",727.433582358287,-15.1033088540308,3.58072687708708,1.92224626045315e-18,7.30453578972198e-16,"Nb_vs_Pn","Pn higher"
"hspa12b",958.398395830181,-7.63220638710818,0.92291332121081,2.64482067050628e-18,9.5934858866546e-16,"Nb_vs_Pn","Pn higher"
"tma16",1973.36303328344,-16.6145303049775,3.83182553051098,3.85156708529362e-18,1.3363263191584e-15,"Nb_vs_Pn","Pn higher"
"lrrc14b",1360.86519698265,-15.7190119602814,3.6937713338005,5.30898901503775e-18,1.76523884750005e-15,"Nb_vs_Pn","Pn higher"
"nkrf",1427.18193463468,-15.6837222745835,3.58481087043165,5.68391422140217e-18,1.81430541947157e-15,"Nb_vs_Pn","Pn higher"
"usp39",1713.52331959662,-7.43852068262866,0.915591588341674,8.39787965740497e-18,2.57750306408045e-15,"Nb_vs_Pn","Pn higher"
"ckmt2a",977.096284205446,-16.0151666723656,3.6708645419294,1.12066806636609e-17,3.312196729482e-15,"Nb_vs_Pn","Pn higher"
"cog4",1089.3842420513,-16.2630036463563,3.79556538163359,1.33967756601585e-17,3.81808106314517e-15,"Nb_vs_Pn","Pn higher"
"tab3",983.434587782237,-15.4005836667401,3.65824320046456,1.57792612504405e-17,4.3420174061557e-15,"Nb_vs_Pn","Pn higher"
"mrpl9",663.804548927021,-14.7865206731586,3.56277211236959,2.25565429852378e-17,6.00004043407327e-15,"Nb_vs_Pn","Pn higher"
"ZCCHC24",693.463021979449,-14.9191934272254,3.58715406675444,2.73761482411149e-17,7.04715041819666e-15,"Nb_vs_Pn","Pn higher"
"RRM2",839.135630052178,-15.3149858955424,3.65093833448693,3.17817191677613e-17,7.68539754420408e-15,"Nb_vs_Pn","Pn higher"
"wrap73",603.125991016203,-6.61511819717567,0.828420451225341,3.15492457906815e-17,7.68539754420408e-15,"Nb_vs_Pn","Pn higher"
