"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"acer2",40557.5071660998,14.6892366462514,0.947500067167879,8.39911667544209e-55,5.73071730765413e-51,"On_vs_Pn","On higher"
"ephx5",12373.0600709754,13.1190717560455,0.918285923965931,1.49810225492708e-47,5.11077584268373e-44,"On_vs_Pn","On higher"
"gpr174",13531.9455067514,-10.8380952267329,0.790671000191615,9.55234441537662e-45,2.17252153153716e-41,"On_vs_Pn","Pn higher"
"surf1",55585.3137233015,-13.8984259901869,0.999226156474807,2.52751275467683e-43,4.31130488129e-40,"On_vs_Pn","Pn higher"
"zwilch",8234.15736212946,14.5118281034168,1.12554278385032,3.51905238877053e-38,4.80209888971626e-35,"On_vs_Pn","On higher"
"ddah2",40211.6354104234,-12.367039452852,0.989436913450441,1.96884700536806e-36,2.23890718627105e-33,"On_vs_Pn","Pn higher"
"gabpa",4556.74434857647,-7.50275835081223,0.610203822710484,3.30445071626383e-36,3.22089531958116e-33,"On_vs_Pn","Pn higher"
"nudcd2",16513.0423270561,-12.1728734302576,0.99668437618199,2.5286104529018e-35,2.15658864001863e-32,"On_vs_Pn","Pn higher"
"sowahd",13826.6903211975,16.1182853820181,1.39245719143073,1.39465420279544e-31,1.05730284729703e-28,"On_vs_Pn","On higher"
"rhot2",1927.64462480238,-9.53162034816604,0.824915648742752,6.83397760497657e-31,4.66282291987551e-28,"On_vs_Pn","Pn higher"
"cars2",929.844327711503,10.9638399318436,0.993936689953689,4.37051445723233e-29,2.48500167847468e-26,"On_vs_Pn","On higher"
"rbm34",2116.31412808772,-10.6207804842623,0.94588347990983,4.12662656992482e-29,2.48500167847468e-26,"On_vs_Pn","Pn higher"
"fkbp3",26842.6966418248,-11.108284200794,1.04331661559091,9.53447880244059e-28,5.00413452838863e-25,"On_vs_Pn","Pn higher"
"tlk2",769.870680853145,-8.29692142688268,0.799772783283148,1.8972297362751e-26,9.24628463614641e-24,"On_vs_Pn","Pn higher"
"tpk1",2752.74967886405,-10.5717708482402,1.03316449769593,3.01956276167986e-26,1.28765479518386e-23,"On_vs_Pn","Pn higher"
"higd2a",608.242902177177,-8.61589592132091,0.824902839932251,2.83442434850844e-26,1.28765479518386e-23,"On_vs_Pn","Pn higher"
"usp39",1713.52331959662,-10.2908940018793,0.976293542787583,5.04642404114625e-26,2.0253971313377e-23,"On_vs_Pn","Pn higher"
"znf710a",1606.53267511268,-9.65137660220686,0.925015692591493,8.78099238318564e-26,3.32848394613753e-23,"On_vs_Pn","Pn higher"
"eif2a",1510.12784647559,11.2968967055953,1.09997506600224,1.5220989121732e-25,5.46593730408301e-23,"On_vs_Pn","On higher"
"gltpd2",1120.20899114213,-9.42841498318648,0.950698061196265,1.82875074945098e-25,6.23878318175202e-23,"On_vs_Pn","Pn higher"
"jph2",3542.14837802756,-14.5286795470985,1.66667975789811,2.85546035982575e-25,9.27752668337671e-23,"On_vs_Pn","Pn higher"
"TADA1",1104.5274996725,-7.86111855297281,0.783365789768922,3.27254195927722e-25,1.01493426309766e-22,"On_vs_Pn","Pn higher"
"ube2g1b",1559.29243386657,-10.2713333542796,1.06564458193069,2.82508816076166e-24,8.38068544385948e-22,"On_vs_Pn","Pn higher"
"zgc:163080",4622.55812203179,-8.56206425431531,0.874098414803033,3.03116902226604e-24,8.61736093288383e-22,"On_vs_Pn","Pn higher"
"prpf31",533.83540345809,-7.1439551507537,0.71427945935958,3.68463326733009e-24,1.00561011131973e-21,"On_vs_Pn","Pn higher"
"hspa12b",958.398395830181,-8.90728852460876,0.892784760676317,5.22494932058354e-24,1.37114727747467e-21,"On_vs_Pn","Pn higher"
"ppt1",2647.4206894721,-8.56679115936555,0.855189870036702,5.93673670243504e-24,1.44665551859694e-21,"On_vs_Pn","Pn higher"
"KDM7A",727.433582358287,-7.41012245470918,0.769897368583346,5.88634557045537e-24,1.44665551859694e-21,"On_vs_Pn","Pn higher"
"si:ch73-344o19.1",2261.98523394655,-16.0690335057979,3.7017333002038,6.75608265633249e-24,1.58954317117781e-21,"On_vs_Pn","Pn higher"
"dkk3a",954.257084794633,-11.0351269648221,1.19030345855117,9.28884336158329e-23,2.11259260853609e-20,"On_vs_Pn","Pn higher"
"herc4",1563.56434925182,-7.97797128008794,0.823742443904806,1.0820594319052e-22,2.38157790448039e-20,"On_vs_Pn","Pn higher"
"cpt2",828.653273659251,-7.45596379678128,0.804273697366961,3.49465466194343e-22,7.45125898701251e-20,"On_vs_Pn","Pn higher"
"mrpl9",663.804548927021,-8.80252720165164,0.931808921085543,3.70139146748895e-22,7.6529072674779e-20,"On_vs_Pn","Pn higher"
"COMTD1",2869.27133326553,-7.85145465166195,0.828362191113775,4.86135713347487e-22,9.75559991814678e-20,"On_vs_Pn","Pn higher"
"tbp",1055.51593841332,10.8176989132846,1.16659489540004,7.70176716689672e-22,1.5014044965639e-19,"On_vs_Pn","On higher"
"pcyt1aa",3221.97152896052,-8.94665976133069,0.975485610808434,8.61271933090484e-22,1.6323495554101e-19,"On_vs_Pn","Pn higher"
"atg12",589.324508305958,9.04505778698871,0.97627285402824,9.95466244932252e-22,1.83569356464129e-19,"On_vs_Pn","On higher"
"mrps25",828.808376724854,-6.19302149938169,0.676785770060685,5.15571807082676e-21,9.25722747296079e-19,"On_vs_Pn","Pn higher"
"gla",3537.85801222387,-11.1969766744201,1.18814927119141,5.88828197688519e-21,1.03014738277661e-18,"On_vs_Pn","Pn higher"
"stx5a",8230.07948701546,-9.40961302323864,1.02629562127599,9.69223455584232e-21,1.6532529093628e-18,"On_vs_Pn","Pn higher"
"wrap73",603.125991016203,-8.07458721921062,0.885013202125848,1.47666116407975e-20,2.45738027378442e-18,"On_vs_Pn","Pn higher"
"ap4s1",632.066612733813,9.02797726854638,1.00615535959825,2.6051612083035e-20,4.23214641053685e-18,"On_vs_Pn","On higher"
"slc25a12",970.028593147535,-5.58821910171872,0.629367497345231,3.35832803312523e-20,5.32880748139847e-18,"On_vs_Pn","Pn higher"
"mrps30",361.046609249456,-7.40243250833911,0.83247555497747,4.31307322640528e-20,6.68820423267346e-18,"On_vs_Pn","Pn higher"
"lrrc14b",1360.86519698265,-12.0387969994745,1.61010915234452,5.96207655167218e-20,9.03983295823539e-18,"On_vs_Pn","Pn higher"
"mettl21a",877.651520007871,-6.73560854480351,0.779307874378662,7.54778017064329e-20,1.11953269791955e-17,"On_vs_Pn","Pn higher"
"cpsf4",2785.94245981913,-9.34160458613292,1.03758196053805,9.7253866558614e-20,1.4118364500626e-17,"On_vs_Pn","Pn higher"
"nkrf",1427.18193463468,-8.1167334557728,0.910224693177809,1.41580507167586e-19,2.01250791750925e-17,"On_vs_Pn","Pn higher"
"JMJD8",631.064591144211,-7.59926985365095,0.874639967770358,1.83223160977709e-19,2.55128903541001e-17,"On_vs_Pn","Pn higher"
"HDAC2",1157.77042771845,12.5096326905788,1.4368880424169,5.2623231117129e-19,7.18096611824343e-17,"On_vs_Pn","On higher"
"rapgef1b",457.905829490243,-6.98337169521962,0.7889221444789,6.43412393531489e-19,8.60784855110853e-17,"On_vs_Pn","Pn higher"
"snrnp200",184.682403972252,6.31159849476885,0.736491479772796,6.9649510398923e-19,9.1388194125356e-17,"On_vs_Pn","On higher"
"ppfibp1a",1029.66195673918,-6.954120295173,0.825848734926906,1.17884455861868e-18,1.51759555159533e-16,"On_vs_Pn","Pn higher"
"ascc2",487.434034432552,-6.23780910154674,0.716217729742637,1.20931878454737e-18,1.52799667906791e-16,"On_vs_Pn","Pn higher"
"cinp",359.136976325801,-8.27025918179054,0.926255556332279,2.15961380017249e-18,2.67909908337762e-16,"On_vs_Pn","Pn higher"
"ccdc51",1180.12945099997,-9.7112057713427,1.17130748227688,2.67887500583649e-18,3.26392217228971e-16,"On_vs_Pn","Pn higher"
"tm9sf3",822.487782590646,-6.3864489239897,0.758824800065766,3.32485001418094e-18,3.97990379767659e-16,"On_vs_Pn","Pn higher"
"ppp4r4",203.286171414452,8.67683506795569,1.02666548845933,3.97162885195935e-18,4.67214200981356e-16,"On_vs_Pn","On higher"
"ybey",224.998215134565,-7.15580962316216,0.847113723559966,4.78259698838089e-18,5.53078970368183e-16,"On_vs_Pn","Pn higher"
"snu13a",666.435629683961,11.2758750809678,1.32181740888487,5.50260170800963e-18,6.25737524229162e-16,"On_vs_Pn","On higher"
"plpbp",807.893068285349,-8.76178156387199,0.998547267278832,5.59716617332998e-18,6.26056800010335e-16,"On_vs_Pn","Pn higher"
"trim8b",829.858493216081,9.63461359536679,1.16393665574245,6.09820880350515e-18,6.71098043005091e-16,"On_vs_Pn","On higher"
"pmvk",1035.29279727773,-8.91279538014805,1.03218883206886,6.89975594825451e-18,7.47254521189532e-16,"On_vs_Pn","Pn higher"
"thrb",649.06552493464,-8.34214745737113,0.967129136177027,7.12127634258051e-18,7.59194820084794e-16,"On_vs_Pn","Pn higher"
"znrf3",450.755774737949,8.16590715155427,0.995780867934382,8.57512991890664e-18,9.00124791333846e-16,"On_vs_Pn","On higher"
"exosc5",985.77973246327,-9.25389911580885,1.0643171164797,9.30858495477409e-18,9.62310229491267e-16,"On_vs_Pn","Pn higher"
"tmem189",524.025805587238,8.91730847965527,1.08295686956236,1.23645458579543e-17,1.25915367744511e-15,"On_vs_Pn","On higher"
"etnppl",1380.28263687543,-8.49843710281141,1.05450817742521,1.89092458755339e-17,1.89732036189364e-15,"On_vs_Pn","Pn higher"
"cilp",460.481110877757,-10.0114067995532,1.26559144937336,2.37625861033842e-17,2.34974094178827e-15,"On_vs_Pn","Pn higher"
"reep1",318.816931347581,-8.28048164857197,1.00631446001291,2.86067129429352e-17,2.74906482267109e-15,"On_vs_Pn","Pn higher"
"fam113",222.652798007794,-6.03192477405276,0.763046744589647,2.83824544222419e-17,2.74906482267109e-15,"On_vs_Pn","Pn higher"
"fbxl15",442.706400542602,-14.0342014244806,3.54498150267056,3.10286129196435e-17,2.94039202709344e-15,"On_vs_Pn","Pn higher"
"cog4",1089.3842420513,-8.33393433365762,1.02623334857669,3.60344136373876e-17,3.36798361983418e-15,"On_vs_Pn","Pn higher"
"rbsn",262.559776044598,-5.85871601509598,0.714610753759424,3.87132438199129e-17,3.56946571058467e-15,"On_vs_Pn","Pn higher"
"vars1",371.147150281097,-5.35467168106697,0.656660837095824,7.07618747217727e-17,6.4374436163554e-15,"On_vs_Pn","Pn higher"
"slc20a1b",1666.31888335936,-6.02236349197779,0.75680787404177,7.4055709940204e-17,6.64844880160542e-15,"On_vs_Pn","Pn higher"
"dtwd1",1005.52326066271,-8.73980205852818,1.05527027196471,9.98997344611589e-17,8.85215439257776e-15,"On_vs_Pn","Pn higher"
"mief1",1017.61689888655,-10.4749223375615,1.24867843572928,1.07824614275662e-16,9.43188901542101e-15,"On_vs_Pn","Pn higher"
"pdss1",661.523085746705,-9.14312367109446,1.11073890933802,1.15586685047855e-16,9.98288546938625e-15,"On_vs_Pn","Pn higher"
"ZCCHC24",693.463021979449,-6.21838036771459,0.798238098852637,1.99270663964502e-16,1.69952967528724e-14,"On_vs_Pn","Pn higher"
