"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"A3GALT2",19.3326595201211,16.4265190585031,0,2.86192194813076,0,0,0,0,0.664374737958925,2.52404955691512,0,0
"AANAT",0,0,251.528855679726,80.1338145476612,0,0,3.92371899690109,12.4770461409006,1.99312421387678,0,0,0.869488490496527
"ABCA1",1.93326595201211,7.94831567346924,3.59326936685323,0,0,0,0,41.5901538030019,59.7937264163033,0.841349852305039,0,5.21693094297916
"ABHD5",0,0,110.493033030737,32.196621916471,14.278904991898,22.9496634813694,0,4.15901538030019,1.99312421387678,0,1.08386729745218,1.73897698099305
"ABR",5.79979785603634,21.7253961741493,12.5764427839863,8.58576584439227,2.14183574878471,17.7535132591725,15.6948759876043,8.31803076060038,35.211861111823,4.2067492615252,1.08386729745218,3.47795396198611
"ACLY",1.93326595201211,19.6058453278908,0,4.29288292219613,0,0,11.7711569907033,16.6360615212008,3.98624842775355,5.04809911383024,0,0
"ACTA1",1.93326595201211,23.3150593088431,0,0,223.464863123204,138.997018443765,0,4.15901538030019,0.664374737958925,13.4615976368806,4.33546918980872,1.73897698099305
"ACVR1B",0,0,18.8646641759794,9.30124633142496,0,0,5.88557849535163,29.1131076621013,22.5887410906035,7.57214867074535,14.0902748668783,6.95590792397222
"ACVR1C",0,0,1.79663468342661,3.57740243516345,0,0,3.92371899690109,4.15901538030019,14.6162442350964,0,2.16773459490436,0.869488490496527
"ADAM12",15.4661276160969,13.77708050068,4.49158670856653,1.43096097406538,0,0,13.7330164891538,8.31803076060038,7.9724968555071,0.841349852305039,0,0
"ADAM23",5.79979785603634,11.1276419428569,0.898317341713307,2.14644146109807,0,0,3.92371899690109,0,3.32187368979463,0,1.08386729745218,3.47795396198611
"ADAMTS20",0,0,4.49158670856653,0,0,0,0,0,0.664374737958925,1.68269970461008,2.16773459490436,4.34744245248264
"ADAMTS5",0,0,0.898317341713307,0.715480487032689,18.5625764894674,14.2894131110413,0,4.15901538030019,33.2187368979463,3.36539940922016,2.16773459490436,0.869488490496527
"ADAP1",365.38726493029,108.097093159182,155.408900116402,289.769597248239,0,0,9.80929749225271,4.15901538030019,6.64374737958925,1.68269970461008,1.08386729745218,0.869488490496527
"ADARB2",0,0,0,4.29288292219613,0,0,0,0,1.32874947591785,10.0961982276605,0,0.869488490496527
"AEBP2",0,0,0.898317341713307,3.57740243516345,0,0,5.88557849535163,0,9.30124633142495,0.841349852305039,0,0
"AHCYL1",3.86653190402423,9.00809109659847,5.38990405027984,3.57740243516345,0,0,51.0083469597141,16.6360615212008,15.9449937110142,5.04809911383024,9.75480567706962,0.869488490496527
"AK6",40.5985849922544,21.7253961741493,35.034376326819,54.3765170144844,27.1299194846063,25.5477385924678,1.96185949845054,0,6.64374737958925,39.5434430583368,35.767620815922,19.9982352814201
"AKR1D1",11.5995957120727,9.00809109659847,0.898317341713307,2.86192194813076,0,0,0,0,0,5.04809911383024,9.75480567706962,7.82539641446875
"ALX4",1.93326595201211,9.00809109659847,6.28822139199315,0.715480487032689,0,0,0,33.2721230424015,27.9037389942749,0.841349852305039,0,5.21693094297916
"AMDHD1",3.86653190402423,15.3667436353739,80.8485607541976,623.898984692505,0,0,0,0,0,0,2.16773459490436,0
"AMZ2",0,0,0,0,28.5578099837961,26.846776148017,0,0,1.99312421387678,0,0,0
"ANKRD66",23.1991914241454,25.4346101551016,0,0,0,0,0,0,0,0,0,0
"ANKS6",19.3326595201211,12.1874173659862,70.0687526536379,0,0,0,1.96185949845054,54.0671999439025,26.574989518357,53.8463905475225,162.580094617827,126.945319612493
"ANOS1",5.79979785603634,20.1357330394554,0.898317341713307,2.86192194813076,0,0,1.96185949845054,0,11.9587452832607,0.841349852305039,3.25160189235654,0
"AOPEP",1.93326595201211,21.7253961741493,5.38990405027984,1.43096097406538,0,0,1.96185949845054,0,1.99312421387678,0,0,0
"AP3B2",5.79979785603634,14.8368559238092,0,7.87028535735958,0,0,19.6185949845054,0,2.6574989518357,2.52404955691512,3.25160189235654,1.73897698099305
