"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"pcsk2",11922.9504838158,14.4512370510929,1.14873758372362,3.03840083414997e-40,2.42464386565168e-36,"Ab_vs_rest","Ab higher"
"sh3d19",3686.37154059444,13.1890252368701,1.27071812540489,2.39478186363752e-29,8.97984475450621e-26,"Ab_vs_rest","Ab higher"
"rftn2",585.596961442063,11.6982022803587,1.12682327996078,3.94880954596961e-29,8.97984475450621e-26,"Ab_vs_rest","Ab higher"
"eya4",696.417558088285,10.3294144248014,0.982895944218418,4.50117531554196e-29,8.97984475450621e-26,"Ab_vs_rest","Ab higher"
"mcee",3358.25849894476,12.242008187986,1.19872269452413,1.66766957034829e-28,2.66160063427587e-25,"Ab_vs_rest","Ab higher"
"gnai3",10500.9318888682,10.9423081154905,1.0790842105233,9.65315213046524e-28,1.28386923335188e-24,"Ab_vs_rest","Ab higher"
"msto1",697.416909599747,11.0961892849638,1.10348539158862,1.9373491313424e-27,2.20857800973034e-24,"Ab_vs_rest","Ab higher"
"kansl1a",776.151394143987,9.58596234558731,0.953966144313198,1.58776844839481e-26,1.58379902727382e-23,"Ab_vs_rest","Ab higher"
"map2k1",18136.6340498687,10.1606064765885,1.02943469523817,4.04380956813541e-26,3.5855111504134e-23,"Ab_vs_rest","Ab higher"
"cdk2ap2",372.82309453473,10.5079992495878,1.09163278787366,2.76985620700973e-25,1.92106350283827e-22,"Ab_vs_rest","Ab higher"
"znf526",250.053096103107,9.27417804415574,0.945030542039305,2.68507120204136e-25,1.92106350283827e-22,"Ab_vs_rest","Ab higher"
"rbm25b",341.710190900264,6.73035576200155,0.66414039779861,2.88881729750116e-25,1.92106350283827e-22,"Ab_vs_rest","Ab higher"
"gpr174",13531.9455067514,-7.61294877372604,0.76109786105877,4.2416625187291e-25,2.60372822303525e-22,"Ab_vs_rest","Other species higher"
"nubp2",1429.76616310639,8.21528544414641,0.831224943194236,6.42854374144911e-25,3.66426993262599e-22,"Ab_vs_rest","Ab higher"
"tmem54b",709.409286809414,10.0659303790729,1.06414403390046,2.53798548488007e-24,1.3502082779562e-21,"Ab_vs_rest","Ab higher"
"klhl18",1005.45692811362,9.58534564137751,1.01121533767237,4.29601051508939e-24,2.14263524440083e-21,"Ab_vs_rest","Ab higher"
"cdkl5",1058.70123051588,9.45249285637498,1.00635652363419,1.19435010586845e-23,5.60641990872366e-21,"Ab_vs_rest","Ab higher"
"brms1lb",248.341195098853,8.72447142712176,0.923245239587263,2.1023504522595e-23,9.32042033835044e-21,"Ab_vs_rest","Ab higher"
"nck1b",334.84902703596,8.46017917247901,0.892708113540696,2.38626808465679e-23,9.79283989689796e-21,"Ab_vs_rest","Ab higher"
"atg13",520.738743093468,7.46363701067909,0.776699393724515,2.45434583882154e-23,9.79283989689796e-21,"Ab_vs_rest","Ab higher"
"C18orf25",198.697609465031,8.4210674053258,0.890217410836621,2.97895303548566e-23,1.13200215348455e-20,"Ab_vs_rest","Ab higher"
"ncln",574.296922814683,10.3967077878689,1.14258736442083,4.65004340997664e-23,1.68669756416425e-20,"Ab_vs_rest","Ab higher"
"tmem165",330.06218861687,8.70283240826232,0.93078330403806,5.57831176855664e-23,1.93543164839487e-20,"Ab_vs_rest","Ab higher"
"lrrc51",362.10347618086,11.7330629741632,1.32248051945712,8.93011279567334e-23,2.96926250456139e-20,"Ab_vs_rest","Ab higher"
"enosf1",600.658075299304,7.63468326678088,0.808427302588097,9.80107394576283e-23,3.12850280348749e-20,"Ab_vs_rest","Ab higher"
"katnb1",409.673679578121,9.32577782549363,1.01784038611444,1.24862613920001e-22,3.75011132305504e-20,"Ab_vs_rest","Ab higher"
"golga2",164.059497821926,6.68508819136301,0.701927847643578,1.26883465817652e-22,3.75011132305504e-20,"Ab_vs_rest","Ab higher"
"hes6",193.534523574188,9.12351284409328,1.0091550195963,5.18123669113946e-22,1.47665245697475e-19,"Ab_vs_rest","Ab higher"
"TMEM179",132.762999964309,9.33966343034421,1.04585130842216,1.01275976031921e-21,2.78683547839561e-19,"Ab_vs_rest","Ab higher"
"g6pc3",184.240101988138,9.15395165887814,1.03069229275951,2.08318852906572e-21,5.5412814873148e-19,"Ab_vs_rest","Ab higher"
"adat3",97.5092003727485,8.78429577364638,0.988859903354934,3.57842592987113e-21,9.21156094205537e-19,"Ab_vs_rest","Ab higher"
"b9d1",164.255534404209,9.66688484068622,1.12644898793673,1.33411894559851e-20,3.32695912058629e-18,"Ab_vs_rest","Ab higher"
"psma6l",321.388730018156,7.49509778455362,0.846930982372902,2.76014357096707e-20,6.67452899888401e-18,"Ab_vs_rest","Ab higher"
"apoda.2",103.525358649436,9.22292925464835,1.07821326537975,3.32164587007929e-20,7.79609824800962e-18,"Ab_vs_rest","Ab higher"
"dtnbp1b",122.02120964858,9.06190214215867,1.05940852477541,4.24743135816483e-20,9.68414349661581e-18,"Ab_vs_rest","Ab higher"
"slc45a1",133.212178033244,10.1449485905656,1.21806077069582,5.7584654267083e-20,1.27645983625367e-17,"Ab_vs_rest","Ab higher"
"slc25a12",970.028593147535,-6.06121106262229,0.680665854488205,6.87827393358911e-20,1.48347637810922e-17,"Ab_vs_rest","Other species higher"
"zgc:85843",2088.08644847172,13.8026455590744,1.73005726591747,7.22811564252797e-20,1.51790428493087e-17,"Ab_vs_rest","Ab higher"
"tmem266",93.8276479211777,8.9732917393834,1.05683652886707,8.33855101987468e-20,1.70619582406666e-17,"Ab_vs_rest","Ab higher"
"mpg",129.967305935461,8.80962970961112,1.0361243774411,9.63781042261933e-20,1.92274317931256e-17,"Ab_vs_rest","Ab higher"
"ttc3",167.26098339911,8.09370538597058,0.939390464968573,1.00912672471072e-19,1.96410518614427e-17,"Ab_vs_rest","Ab higher"
"nr2e1",117.616234201042,8.16291264719631,0.953136280543295,1.43548448187259e-19,2.72742051555792e-17,"Ab_vs_rest","Ab higher"
"comp",155.452877628414,10.5451779354242,1.29908330489577,1.95097214307921e-19,3.6206413259935e-17,"Ab_vs_rest","Ab higher"
"timm23a",202.198670631813,7.62848143264263,0.887210767772912,2.14185830329625e-19,3.88455210461457e-17,"Ab_vs_rest","Ab higher"
"slc25a55b",310.391259024082,10.792550394636,1.34972192723934,3.86931304700348e-19,6.86158180335285e-17,"Ab_vs_rest","Ab higher"
"trmt61a",645.409754813658,10.917858560541,1.37639283656609,5.60283506877553e-19,9.71970083670191e-17,"Ab_vs_rest","Ab higher"
"slc22a6l",126.07530361661,9.38096281867376,1.14713511668619,6.21614284325205e-19,1.05542169976918e-16,"Ab_vs_rest","Ab higher"
"ECHDC1",64.6599796687618,8.02809508138208,0.957199280056277,7.81110599808056e-19,1.27209440540169e-16,"Ab_vs_rest","Ab higher"
"pdss1",661.523085746705,7.93437947706712,0.94424762959375,7.73852730137001e-19,1.27209440540169e-16,"Ab_vs_rest","Ab higher"
"gtf3ab",106.126238432105,9.43614781999387,1.163563492216,9.99278972773184e-19,1.594849240546e-16,"Ab_vs_rest","Ab higher"
"vps4a",155.096724892875,7.9788404239643,0.96610721170082,2.44372431320451e-18,3.82370980772001e-16,"Ab_vs_rest","Ab higher"
"m6pr",85.6343353032065,8.04565736776487,0.975776941142698,2.49781986755316e-18,3.83319279674504e-16,"Ab_vs_rest","Ab higher"
"zgc:92040",293.14916567422,8.10180964173695,0.984345843935676,2.61636403314493e-18,3.93935565745218e-16,"Ab_vs_rest","Ab higher"
"pdcd11",1103.08491694035,-7.16748961409147,0.857669291034655,2.87361185115932e-18,4.24655973560211e-16,"Ab_vs_rest","Other species higher"
"si:dkey-69o16.5",393.362156304657,10.198291060902,1.30631149236287,3.74778006725958e-18,5.43768817031481e-16,"Ab_vs_rest","Ab higher"
"klhl15",49.7235403878832,7.51181753322728,0.911262781896924,5.00968947968394e-18,7.13880750854961e-16,"Ab_vs_rest","Ab higher"
"zgc:123238",660.081061339133,7.98117041563843,0.978357898271849,5.61363388996517e-18,7.85908744595124e-16,"Ab_vs_rest","Ab higher"
"gba",197.924274420435,8.63682642793646,1.0762387268161,6.59445819968309e-18,9.0730649023226e-16,"Ab_vs_rest","Ab higher"
"eya2",166.53521358849,9.22196411834554,1.18336488453758,1.74257812428789e-17,2.35691075115549e-15,"Ab_vs_rest","Ab higher"
"pebp1",215.037602510069,8.08871654218558,1.01367052275075,2.06375610558835e-17,2.7447956204325e-15,"Ab_vs_rest","Ab higher"
"ss18l2",162.552628254564,9.60547267025526,1.25166554388838,2.47413551023755e-17,3.23665596257306e-15,"Ab_vs_rest","Ab higher"
"nr5a5",97.8715088672205,10.0218160542854,1.32136352675905,2.69642337742831e-17,3.47055783094805e-15,"Ab_vs_rest","Ab higher"
"boc",96.0185282621443,8.19864001952386,1.03561022870651,2.93617574540342e-17,3.71915594417767e-15,"Ab_vs_rest","Ab higher"
"nxt2",132.019874977542,6.75820179693041,0.833283694860356,3.41056880555774e-17,4.25255297942981e-15,"Ab_vs_rest","Ab higher"
"gmnn",87.5951434222651,9.43921955993716,1.23667786746971,4.3627807911331e-17,5.35615241742187e-15,"Ab_vs_rest","Ab higher"
"faf2",98.3655456216973,6.41961506019208,0.791706720406313,4.75554209709368e-17,5.74988271739509e-15,"Ab_vs_rest","Ab higher"
"ilf2",187.2418605894,6.77742182412998,0.841534985390326,5.31356931266922e-17,6.32869897240305e-15,"Ab_vs_rest","Ab higher"
"ube2g1b",1559.29243386657,7.18517320833667,0.89979651261994,6.01934682503677e-17,7.06388053879315e-15,"Ab_vs_rest","Ab higher"
