"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"acer2",40557.5071660998,16.3682789398704,0.867149252170558,6.39025970307056e-86,5.20486652815097e-82,"On_vs_rest","On higher"
"sowahd",13826.6903211975,13.1523799442207,0.882103931414035,1.85619158256222e-54,7.55934021998465e-51,"On_vs_rest","On higher"
"ephx5",12373.0600709754,11.2919725108903,0.761811402753965,1.00673694659745e-52,2.73329081001207e-49,"On_vs_rest","On higher"
"surf1",55585.3137233015,-11.7355689653392,0.843362541497065,2.52094649252883e-47,5.13327729541183e-44,"On_vs_rest","Other species higher"
"eif2a",1510.12784647559,11.1413491937907,0.853191326213545,5.83786316641695e-42,9.50987909809321e-39,"On_vs_rest","On higher"
"zwilch",8234.15736212946,9.3669538494548,0.721819473764998,1.42283676900064e-40,1.93150091391837e-37,"On_vs_rest","On higher"
"HDAC2",1157.77042771845,12.1894495791075,0.983716571065221,6.14043413625023e-39,7.14483371996544e-36,"On_vs_rest","On higher"
"cars2",929.844327711503,8.85164267914349,0.720827125346348,1.65851832479428e-36,1.68857896943117e-33,"On_vs_rest","On higher"
"snu13a",666.435629683961,11.3947907974154,0.972993000842634,6.93674140718518e-35,6.27775097350259e-32,"On_vs_rest","On higher"
"tbp",1055.51593841332,10.3040800636318,0.879491456907438,2.82485857566958e-34,2.30084730988287e-31,"On_vs_rest","On higher"
"ap4s1",632.066612733813,9.54486001762896,0.823843600882497,3.17824954247078e-33,2.35334932031132e-30,"On_vs_rest","On higher"
"atg12",589.324508305958,9.14921799091496,0.78946044147102,4.72339541061293e-33,3.20600463495353e-30,"On_vs_rest","On higher"
"gulp1a",309.537815107464,10.3534794519836,0.951404222439972,3.21733824922295e-30,2.015786156917e-27,"On_vs_rest","On higher"
"tmem189",524.025805587238,9.31949973198391,0.868263512592592,5.59472069777675e-29,3.25492857738512e-26,"On_vs_rest","On higher"
"ccn4a",694.103702981879,10.4299361554255,1.01400863617561,1.5641124906113e-27,8.49313082401939e-25,"On_vs_rest","On higher"
"gpr174",13531.9455067514,-6.79941801430598,0.652542889270782,1.67064555765853e-26,8.50463004195547e-24,"On_vs_rest","Other species higher"
"snrnp200",184.682403972252,5.85557402809186,0.560937118991259,2.65762300451907e-26,1.27331408069458e-23,"On_vs_rest","On higher"
"srp54",103.757551558524,8.5697281010455,0.843869841806508,5.31338417934518e-26,2.40430634115369e-23,"On_vs_rest","On higher"
"tpk1",2752.74967886405,-8.49778166486,0.863809180067548,1.38122516179166e-24,5.92109418041738e-22,"On_vs_rest","Other species higher"
"trim46b",738.537324200343,10.603921201531,1.1088785754646,1.51690439553357e-24,6.17759315081048e-22,"On_vs_rest","On higher"
"phospho2",173.667477297875,9.95324218526454,1.05018831533594,8.23462062927345e-24,3.19385642978249e-21,"On_vs_rest","On higher"
"TADA1",1104.5274996725,-6.43559891886416,0.65446005202571,8.66863399377809e-24,3.20936472178739e-21,"On_vs_rest","Other species higher"
"rbp4l",253.647686572023,6.42353433228406,0.654003346171398,9.80729572921187e-24,3.47306190062742e-21,"On_vs_rest","On higher"
"zgc:163080",4622.55812203179,-6.85671594725467,0.701612279246257,1.14843541971203e-23,3.89750270564769e-21,"On_vs_rest","Other species higher"
"neurod1",363.670495839794,7.49180611951085,0.776396420367127,2.2633105764199e-23,7.37386585797603e-21,"On_vs_rest","On higher"
"mars2",332.173192202439,7.7893510103932,0.815455612203951,4.42824039824347e-23,1.38723146321896e-20,"On_vs_rest","On higher"
"trim8b",829.858493216081,8.13206077176914,0.856508420858112,5.54946521379355e-23,1.67408867282772e-20,"On_vs_rest","On higher"
"snx14",149.398171307317,8.44759878965228,0.903665827217438,1.60809081774321e-22,4.67782132518517e-20,"On_vs_rest","On higher"
"cpt2",828.653273659251,-6.364343062948,0.668690021696091,1.98498901088096e-22,5.57508120469842e-20,"On_vs_rest","Other species higher"
"wdr92",1567.45666258343,10.4399732792968,1.16952220962668,6.34810299465984e-22,1.72350996305015e-19,"On_vs_rest","On higher"
"tpra",69.6980325899512,8.25833650945034,0.903232681234026,1.30534964796856e-21,3.42970092990449e-19,"On_vs_rest","On higher"
"rps19",143.403346791169,7.97669958683087,0.872094233531148,1.6706060021904e-21,4.25221433995026e-19,"On_vs_rest","On higher"
"sh3glb1a",190.100864682013,9.26272724589535,1.03763937096034,3.02725738314791e-21,7.34384155313001e-19,"On_vs_rest","On higher"
"mettl21a",877.651520007871,-5.88053528255625,0.634781292802782,3.06556921800394e-21,7.34384155313001e-19,"On_vs_rest","Other species higher"
"sqstm1",101.808748731177,5.79879165816674,0.630492187765936,6.01624496062299e-21,1.40006614869355e-18,"On_vs_rest","On higher"
