"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj","comparison","sig"
"pcyt1aa",3221.97152896052,13.4526444189876,0.945447972424789,1.65574242173884e-49,1.04775380447634e-45,"Pn_vs_rest","Pn higher"
"znf710a",1606.53267511268,11.9346412406854,0.856697488274923,3.22607357314942e-47,1.02072967854448e-43,"Pn_vs_rest","Pn higher"
"gltpd2",1120.20899114213,10.5995661593855,0.762798703291983,1.36593024942099e-46,2.881202206112e-43,"Pn_vs_rest","Pn higher"
"dkk3a",954.257084794633,11.1387319154302,0.808244788555009,4.37408017320239e-46,6.91979483400617e-43,"Pn_vs_rest","Pn higher"
"gabpa",4556.74434857647,8.44742818147147,0.605571684314839,5.58550525645036e-46,7.06901545256358e-43,"Pn_vs_rest","Pn higher"
"jph2",3542.14837802756,11.8332913297903,0.927369757413445,2.23074984618891e-40,2.35269750444723e-37,"Pn_vs_rest","Pn higher"
"pdia4",170.227872981315,17.3021170386406,1.46789665458607,8.56757570434849e-40,7.74508843673104e-37,"Pn_vs_rest","Pn higher"
"rhot2",1927.64462480238,9.90366430830482,0.782545332353601,3.97683123601754e-39,3.14567350768987e-36,"Pn_vs_rest","Pn higher"
"gla",3537.85801222387,12.4081956090287,0.997352077517216,8.67926355120376e-39,6.10248663911304e-36,"Pn_vs_rest","Pn higher"
"PIP4K2B",674.844798657937,8.64958231478419,0.695489294792827,2.3213755685006e-37,1.46896645974718e-34,"Pn_vs_rest","Pn higher"
"tlk2",769.870680853145,9.22670827948031,0.754859943386478,1.78879990300045e-36,1.02904779874426e-33,"Pn_vs_rest","Pn higher"
"fkbp3",26842.6966418248,11.6893484694956,0.971399014882313,2.07846456116612e-36,1.09604364525493e-33,"Pn_vs_rest","Pn higher"
"higd2a",608.242902177177,7.50134245278454,0.616311160377396,1.71948326184377e-35,8.3699154468826e-33,"Pn_vs_rest","Pn higher"
"cilp",460.481110877757,10.0675353338707,0.846008840960601,3.82558948236335e-35,1.72916644602824e-32,"Pn_vs_rest","Pn higher"
"mief1",1017.61689888655,12.1664817558212,1.04082011473917,9.1186734032559e-35,3.84686435305356e-32,"Pn_vs_rest","Pn higher"
"nudcd2",16513.0423270561,9.91854534303991,0.843164860985636,2.24777748929976e-34,8.88995997018053e-32,"Pn_vs_rest","Pn higher"
"hspa12b",958.398395830181,7.80772071018802,0.657478845267217,4.88366508335455e-34,1.81787250867456e-31,"Pn_vs_rest","Pn higher"
"ube2g1b",1559.29243386657,9.60301330187096,0.821176361678046,6.99525482126238e-34,2.45922069494157e-31,"Pn_vs_rest","Pn higher"
"ppp4r3b",469.442503968382,10.2281831552824,0.884918876233118,1.85352550176208e-33,6.17321546060551e-31,"Pn_vs_rest","Pn higher"
"fbxl15",442.706400542602,10.2491054178588,0.920685604585551,2.36366800577349e-31,7.47864557026733e-29,"Pn_vs_rest","Pn higher"
"mrpl9",663.804548927021,8.62966255887233,0.776887892984606,1.60341915560479e-30,4.83163638888909e-28,"Pn_vs_rest","Pn higher"
"rbm34",2116.31412808772,8.23734366010875,0.741507443221529,2.33356933390962e-30,6.71219397499094e-28,"Pn_vs_rest","Pn higher"
