"species","gene_name","log2FoldChange","lfcSE","pvalue","padj"
"Ab","opn1sw2",6.90551361811479,1.17901593131271,2.29710370645294e-10,7.24541010968159e-09
"Ab","guca1c",4.94945872724114,1.18429533163692,6.61889896121814e-06,7.87165629068864e-05
"Ab","gnat1",-3.52928205168208,0.821424307765151,8.72630435201607e-06,0.000100051593001564
"Ab","abca4a",-5.48910049699896,1.48775598784493,2.9931754244269e-05,0.000301204790503489
"Ab","rgs9a",3.97403718466631,1.02890412485893,4.4845049354017e-05,0.0004316809334681
"Ab","rpe65a",-5.85451448422502,1.70347270417597,4.9630858011672e-05,0.000471493151110884
"Ab","otx2b",3.8565537246606,1.50874283713906,0.00378327992993627,0.0170192975085408
"Ab","rcvrn3",-2.67821687838493,1.03120857666259,0.0060878332486841,0.0241936799424796
"Ab","pde6a",-2.57755685735195,0.995146881727428,0.00643452657394312,0.0251210968982711
"Ab","opn1lw1",2.87365391071315,1.17680508807838,0.00866340962352295,0.0314531432191598
"Ab","crx",2.33573390096344,1.03428630980815,0.0170465909740684,0.0501407283350777
"Ab","cnga1b",-3.40439626790141,1.75448337130666,0.0208141279574764,0.0571564835170894
"Ab","rgs9b",-3.13361834023894,1.62525485191429,0.025551474219618,0.0651024151572642
"Ab","rdh8a",-1.6733645391454,0.796868870009623,0.0301710706993883,0.0726728476248471
"Ab","gnat2",1.73869095920518,0.893932014747518,0.0428542979953297,0.0911733822019331
"Ab","NR2E3",-2.88713731021247,1.67616705016208,0.0437869695503214,0.0924636192144919
"Ab","gngt1",-1.67568087037308,0.907893582694872,0.0543237342107138,0.105680984642003
"Ab","guca1d",2.70259247512408,1.67547872734153,0.059066623954169,0.111880289379129
"Ab","six7",-2.63006737538675,1.65948248014701,0.0645449149157831,0.119450004876612
"Ab","rx1",2.01445850008829,1.31303306365553,0.0928188781291588,0.152357382133754
"Ab","guca1b",-1.31324947744244,1.01426921951196,0.172393319122512,0.23686264699754
"Ab","rx2",-1.93658382980414,1.88955475044693,0.206630012775427,0.270157994794116
"Ab","cnga3a",1.14458630233108,1.02167647862318,0.237359185088162,0.300750444109802
"Ab","arr3a",-1.17723622818783,1.07466397531335,0.245095463217269,0.308009731728159
"Ab","abca4b",1.19049121864494,1.11531422862993,0.255078930889231,0.317307851675146
"Ab","cngb1b",1.17261919002798,1.24470754965645,0.306934740105563,0.369600003929741
"Ab","pde6ga",1.17719358543997,1.32336265185957,0.329121423370607,0.391414151787995
"Ab","nrl",1.02423363829065,1.20004448074146,0.357608701021387,0.419048081373079
"Ab","rpe65b",-0.65266371146477,0.753323577452386,0.372800563767792,0.433665961933962
"Ab","six6a",0.820404180762985,1.13885681381064,0.441121647927069,0.498463714310112
"Ab","rdh5",-0.990311584119188,2.57551743614258,0.531104215252063,0.582812381423468
"Ab","guca1a",0.549413233986772,0.96732194296996,0.551450122017921,0.601911089276845
"Ab","rdh12",-0.82628590028867,1.98588239053759,0.598105057353101,0.643775704388771
"Ab","pde6c",0.107590261523875,1.20983258666808,0.923541166280366,0.934786720816504
"Ab","rcvrn2",0.0350976255199594,0.625668223675975,0.954392195982789,0.960167640436543
"Ab","pde6b",-2.51570822044147,1.27999578996287,NA,NA
"Ab","pax6b",-1.76863534317804,1.85070886740847,0.243737641294587,NA
"Ab","cnga1a",1.74221081264197,1.13042375641105,NA,NA
"Mz","rpe65b",3.42733613282825,0.767067018954224,4.54802922239616e-07,3.91600262623218e-06
"Mz","guca1c",5.44671516643818,1.24726215132258,1.22678557660449e-06,9.98487313976018e-06
"Mz","cnga1b",6.12668335882782,1.46871029734687,2.43514122113306e-06,1.86085374981585e-05
"Mz","gnat2",3.47720753967078,0.987953328253961,2.57243239187263e-05,0.000169910240337134
"Mz","guca1a",2.78869494576598,1.03319120373073,0.000577145027192941,0.00292707708317283
"Mz","gngt1",2.50159334804659,0.935726119945574,0.000767196219227743,0.00377559355831041
"Mz","opn1lw1",-4.45082845497492,1.94253720054943,0.00109540670932955,0.005151220269001
"Mz","arr3a",2.47308028904826,1.15693889465555,0.0038262877053571,0.0156872093553463
"Mz","guca1b",2.11863611767426,1.00969040572235,0.00580605189344029,0.0223547218458422
"Mz","rcvrn2",1.17539574915516,0.597778330076277,0.0249390651380337,0.0743711308343965
"Mz","cnga3a",1.65886364177447,0.995215251244726,0.0264605082620218,0.0778117137667793
"Mz","rgs9b",1.82608718140318,1.20992171548284,0.0308768618207062,0.0874341192678977
"Mz","six6a",1.51348324469231,1.07325083641272,0.0517024757003414,0.132371810750711
"Mz","NR2E3",1.56009399274482,1.24958087760082,0.0660468920247162,0.159311705357294
"Mz","pde6c",1.35081095473487,1.11542552401553,0.0872162155041093,0.19594267770666
"Mz","pde6ga",1.40189534750541,1.23693289887775,0.0939069635513971,0.207500447172605
"Mz","cngb1b",-1.22811122983968,1.42959110923541,0.166928736862809,0.317360715348714
"Mz","crx",0.775262713826102,0.903381697047779,0.262158762239192,0.433934268904944
"Mz","rgs9a",-0.743793789355302,0.897259272598156,0.279940639635909,0.452132566463824
"Mz","gnat1",0.61806293356901,0.710676725210846,0.299173218113541,0.471278903104734
"Mz","rcvrn3",0.68990256050492,0.852432714171672,0.301640830674311,0.473908580916636
"Mz","opn1sw2",0.673855832957807,0.975834678226038,0.349114043752219,0.520548907513471
"Mz","nrl",0.654156352128914,0.989906867021341,0.366733174285808,0.537927465987873
"Mz","abca4b",0.616988520120601,0.934905437227988,0.379987724909572,0.550761976410028
"Mz","rdh5",-0.225505381896814,1.91173138022991,0.795174554455459,0.875885965688475
"Mz","abca4a",0.105466317463601,0.745241694580363,0.863616765155515,0.920909519689766
"Mz","rdh8a",-0.0872670004185047,0.661204137153673,0.877619377354146,0.931994173750726
"Mz","rpe65a",0.0808352354710196,0.979189520158846,0.90996639145741,0.952055229822163
"Mz","pde6a",8.6802970711186e-05,0.778593523158812,0.999890229755687,1
"Mz","pax6b",1.91324856184083,1.61790401912462,0.0542129291893376,NA
"Mz","rx2",1.85129152591629,1.65067161668881,0.0636057323827054,NA
"Mz","six7",0.938011982237235,1.11619231060972,0.227318364941658,NA
"Mz","cnga1a",0.89714490337213,0.986871187327193,NA,NA
"Mz","pde6b",-0.868302173906977,1.07974393915199,NA,NA
"Mz","otx2b",-0.649220845518056,1.40976576560857,0.444614910610141,NA
"Mz","rdh12",-0.606978594050513,1.54289938822878,0.487471327123285,NA
"Mz","guca1d",0.200498717363245,1.28366213503428,0.803219726792917,NA
"Mz","rx1",0.0784908586455592,1.05574697226938,0.915574214362014,NA
"Nb","gngt1",-9.42945434687122,1.58471899194673,4.89937283114011e-10,3.34162352072633e-08
"Nb","arr3a",-9.64405864016328,1.6955329831587,2.11575095350692e-09,1.06858813980919e-07
"Nb","guca1c",-9.86739576374109,1.77751880090901,4.19274904047739e-09,1.90103053085282e-07
"Nb","opn1sw2",-9.1036467391643,1.76339949445299,4.76762939437237e-08,1.27670075728495e-06
"Nb","guca1b",-8.33213222557982,1.6347532084892,8.9931729618945e-08,2.14725317062774e-06
"Nb","guca1a",-7.24749317803022,1.62024801142182,2.76501905862207e-06,3.38417976806812e-05
"Nb","pde6c",-7.48111156482011,1.78055808086031,8.64336336203583e-06,8.2307923185019e-05
"Nb","crx",-6.87673628990066,1.67485065629027,1.57953255193852e-05,0.000130156516078758
"Nb","cnga3a",-6.69486108108418,1.65449739141619,2.14345045686227e-05,0.000166888015581132
"Nb","abca4b",-6.79049799961818,1.71820040783061,3.08429253784139e-05,0.000222714899910665
"Nb","six6a",-6.17950994592816,1.71915125547723,0.000150440381311358,0.000737826739744312
"Nb","pde6ga",-6.60259502373079,1.87092383639024,0.000169696859087141,0.000813810658362613
"Nb","opn1lw1",-6.04610860281055,1.76806060861657,0.000297311236606118,0.00125068195472684
"Nb","nrl",-5.45987739239002,1.75199722036081,0.000990289088749528,0.0031648005319268
"Nb","cnga1b",-5.11054907144412,1.92940568606231,0.00458899890341835,0.0100715652500766
"Nb","rgs9b",-4.69210944778948,1.76511951239312,0.00492957394587001,0.0106146789228394
"Nb","rx1",-4.79827738422544,1.84833997946187,0.00575136477743767,0.0119520549281127
"Nb","cngb1b",-4.49489306363591,1.76005277797545,0.00692854332794343,0.0137382057385381
"Nb","pde6a",-2.4711932992753,0.973164360486815,0.00984260559235344,0.0180350416422154
"Nb","NR2E3",-4.43414099589879,1.83286168466357,0.0101468918006375,0.0184488941829772
"Nb","rdh8a",-1.88493023524026,0.78158482399525,0.0148029596621924,0.0246922278646102
"Nb","six7",-4.11785407139684,1.81336698445198,0.0159619921409755,0.0262361889361451
"Nb","gnat2",-2.06071691754821,0.923811722883861,0.0235857120721346,0.0358366303000065
"Nb","guca1d",-3.92916681623424,2.17443299996406,0.04851831126626,0.0642083124220158
"Nb","abca4a",1.66450455120107,0.858059894853623,0.0494563535621162,0.0652225584904458
"Nb","otx2b",-3.58929512555191,2.01859944474714,0.0553610988856847,0.071787987952552
"Nb","rpe65b",-1.38817001982229,0.755211127301535,0.0634194490744921,0.0803185531843274
"Nb","rx2",-3.38813115693186,2.1317267794657,0.083846694425499,0.101655518309857
"Nb","gnat1",-1.05508502788193,0.81474302475312,0.190235343440721,0.210990693628485
"Nb","rcvrn2",-0.761454700945741,0.632659058617623,0.225563300655165,0.247320024626026
"Nb","rdh12",-1.97937865358386,2.28041081228011,0.338639683757963,0.361034692904281
"Nb","rdh5",-2.31848743143411,3.31166921995684,0.376414544111192,0.397852723444677
"Nb","rcvrn3",-0.702946184064382,1.01744581406175,0.481803656257251,0.502062310907922
"Nb","rpe65a",0.836394057178595,1.29136981610662,0.504838637934147,0.524763883120294
"Nb","rgs9a",0.372256939399327,1.06383730496194,0.721193184762526,0.73604317871914
"Nb","cnga1a",-9.81245117687572,1.74513833586812,NA,NA
"Nb","pax6b",-3.15861991806961,2.07813553738192,0.0998090160374303,NA
"Nb","pde6b",2.55772118116569,1.31773627583155,NA,NA
"On","gngt1",4.70912133628811,0.768126773045475,2.54804788412685e-10,8.17080709299733e-09
"On","cnga1b",7.07616066368571,1.23579962098335,4.59622296806279e-10,1.4073772960478e-08
"On","abca4a",4.35588684600711,0.746483835061458,1.87147390606188e-09,4.88562659130577e-08
"On","rpe65a",5.88712823649074,1.08251749586781,6.78976533413175e-09,1.48663007114256e-07
"On","cngb1b",5.11652663142096,1.04629596530783,2.11868824184217e-07,2.82896979177123e-06
"On","guca1b",4.2303839405059,0.848355062615144,2.21308850289823e-07,2.9214920350253e-06
"On","NR2E3",5.43788838571503,1.13024499206673,2.47792709926695e-07,3.23960131998866e-06
"On","arr3a",4.34878062243054,0.932228047019811,1.02538363480125e-06,1.07487126196347e-05
"On","opn1lw1",4.67086271307234,1.04678546571928,2.1934496349686e-06,2.09199616824581e-05
"On","pde6ga",4.85596552734664,1.15687494612986,6.26131346753975e-06,5.05936490011024e-05
"On","rdh8a",2.72434837965901,0.643540307928387,1.5198284333042e-05,0.00010754997905528
"On","pde6c",3.95767871545905,1.04773539669044,6.10754295723923e-05,0.000348267620030401
"On","pde6a",2.93568314230975,0.79629007965326,0.000137775739094418,0.000689683855263781
"On","rdh12",5.15230482830147,1.59594570131875,0.000174829273632766,0.000845094619429603
"On","abca4b",3.426079013433,0.973989441035539,0.00021446620539863,0.00100047379322557
"On","gnat1",2.41738575599034,0.691419391166591,0.000337306929239288,0.00146996518922097
"On","rgs9b",3.48565632403099,1.06863122679969,0.000519846342173194,0.00210027205208366
"On","cnga3a",2.86272615768502,0.894067909089054,0.000834425315864508,0.00312765494602688
"On","six7",3.34654371885334,1.13915929106053,0.00161029422737524,0.00542874440478947
"On","rdh5",4.0997870032614,2.30759010888259,0.00854745332395111,0.0213162912809497
"On","rx2",3.36627173880393,1.46876943219959,0.00944822777922979,0.0231306928950486
"On","rcvrn3",1.91145142836938,0.857612327271842,0.020476806230154,0.0436491983105481
"On","crx",1.78922772895968,0.93405815876602,0.0447506139696616,0.082334255880482
"On","otx2b",2.37378086021138,1.3909779691698,0.0567798288939258,0.0996816196943501
"On","guca1d",2.34601155412905,1.51329572934551,0.076558702790495,0.126974268830906
"On","rcvrn2",0.875575438190762,0.541285611632917,0.100521811157649,0.158580312198151
"On","guca1a",1.35530208223291,0.860137718043487,0.101260728723676,0.159468026963329
"On","nrl",1.61475806993327,1.07167955586935,0.108783891302728,0.169351069315887
"On","six6a",1.32969081763682,1.01805876553378,0.167215566481736,0.23995257029488
"On","rx1",1.34812129853431,1.21382367681606,0.22822856053182,0.308125580230676
"On","rpe65b",-0.772566406540843,0.67888093179562,0.24371542269841,0.324781105673847
"On","gnat2",-0.870973496149236,0.788229601966889,0.253548918567419,0.336125641557882
"On","guca1c",-0.518522010979729,1.05483091013491,0.601593177345866,0.675486135853609
"On","rgs9a",-0.167771612762264,0.908292948678783,0.846946074177141,0.881356301797983
"On","opn1sw2",0.1829129302113,1.03814002490753,0.851845032721252,0.885097307247684
"On","pax6b",0.0294919940977385,1.58546356183036,0.982787794930836,0.988858133380069
"On","cnga1a",4.31417244609338,0.998071522300133,NA,NA
"On","pde6b",2.41200906247967,1.09779727731796,NA,NA
"Pn","gngt1",3.68954699131481,0.816573231894093,2.06033172047217e-07,2.74479560571534e-06
"Pn","arr3a",3.36985362426224,1.00263336184465,3.73594813025162e-05,0.000328348330114337
"Pn","opn1lw1",3.47978669801639,1.14331802338076,0.000103324149514198,0.000829740124525187
"Pn","guca1b",2.74707617684128,0.877423468351644,0.000177773124244241,0.00134242044178706
"Pn","rgs9a",-2.76800709799978,0.969485510986438,0.000426264823554667,0.00292560065450535
"Pn","gnat2",-2.27199630676202,0.792084457930381,0.000795930145442566,0.00499667257972277
"Pn","guca1a",2.04386867935171,0.821100860235389,0.00325333215207838,0.0164696686866816
"Pn","rcvrn2",-1.41867311283575,0.528313270835715,0.00388103381153663,0.0189939535648908
"Pn","cnga1b",-3.03886619360878,1.69242892191537,0.00511101523856636,0.023851404446643
"Pn","pde6a",1.83210588577823,0.773741970665838,0.00588754849641623,0.026630741161774
"Pn","rgs9b",1.93866601194235,1.0332468965705,0.016205101195103,0.0594813691198445
"Pn","six7",1.78968028733857,1.08057852330206,0.0300777928828175,0.0955963201217826
"Pn","six6a",1.56756948241347,0.925386951161968,0.0368685077075172,0.11136225144304
"Pn","gnat1",1.20929286886685,0.656916840321806,0.0399779709634932,0.118547610242261
"Pn","crx",1.34012573509737,0.855374394182449,0.0602787363328413,0.160068755146546
"Pn","nrl",1.34277258570155,0.953652920897106,0.0787234771665969,0.193584094504748
"Pn","rdh8a",0.826909479018711,0.609206204126534,0.13634277030932,0.285404250915442
"Pn","pde6c",1.10464112650097,0.947912725769707,0.145923937958887,0.299418080140265
"Pn","pde6ga",-1.18689573325159,1.09674306379559,0.148472718135671,0.302587877733503
