species,direction,ontology,term_id,term_name,p_value,neg_log10_FDR,intersection_size,query_size,term_size,effective_domain_size,fold_enrichment,semantic_cluster,broad_term
Ab,Down-regulated,BP,GO:0006412,translation,3.31049329970442e-8,7.480107286775064,37,549,201,9946,3.33489202439533,1,FALSE
Ab,Down-regulated,BP,GO:0046034,ATP metabolic process,0.0157833817517055,1.8017999391016204,10,549,40,9946,4.52914389799636,2,FALSE
Ab,Down-regulated,CC,GO:0005840,ribosome,1.79756616561199e-7,6.745315114947127,26,549,117,9946,4.02590568710787,1,FALSE
Ab,Down-regulated,CC,GO:0005852,eukaryotic translation initiation factor 3 complex,0.0287190158406614,1.5418304468215698,5,549,13,9946,6.96791368922517,2,FALSE
Ab,Down-regulated,MF,GO:0003735,structural constituent of ribosome,2.34661765498591e-8,7.629557666198908,27,549,112,9946,4.3673887587822,1,FALSE
On,Up-regulated,BP,GO:0006412,translation,0.031145190840469,1.5066090036657855,78,2585,201,9946,1.49309160195156,1,FALSE
On,Up-regulated,CC,GO:0005852,eukaryotic translation initiation factor 3 complex,0.0180968967154765,1.742395892252029,10,2585,13,9946,2.95967861925309,2,FALSE
On,Down-regulated,CC,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,0.0377081185611957,1.4235651360874821,2,318,2,9946,31.2767295597484,1,FALSE
On,Down-regulated,CC,GO:0016528,sarcoplasm,0.0377081185611957,1.4235651360874821,2,318,2,9946,31.2767295597484,2,FALSE
On,Down-regulated,MF,GO:0004520,DNA endonuclease activity,0.0305952848101875,1.514345499619903,4,318,10,9946,12.5106918238994,1,FALSE
Pn,Down-regulated,MF,GO:0140097,"catalytic activity, acting on DNA",0.00110631130117121,2.9561226511887733,13,339,80,9946,4.76762536873156,1,FALSE
