species,direction,term_id,term_name,ontology,p_value,neg_log10_FDR,intersection_size,query_size,gene_ratio
Ab,Higher in focal species,GO:0005515,protein binding,MF,0.0458414249513924,1.3387418910644808,335,1491,0.22468142186452045
Ab,Lower in focal species,GO:0019538,protein metabolic process,BP,0.00217968491774965,2.661606280878181,83,547,0.15173674588665448
Ab,Lower in focal species,GO:0005737,cytoplasm,CC,8.5439364389638e-4,3.0683419911570406,87,547,0.1590493601462523
Mz,Higher in focal species,GO:0005515,protein binding,MF,0.0431189861108804,1.3653314595937371,230,1013,0.22704837117472854
Nb,Lower in focal species,GO:0019538,protein metabolic process,BP,3.12734837410326e-16,15.504823737393641,498,3760,0.1324468085106383
Nb,Lower in focal species,GO:0006996,organelle organization,BP,3.17673947318613e-7,6.498018400532341,164,3760,0.043617021276595745
Nb,Lower in focal species,GO:0050896,response to stimulus,BP,1.6960433755764e-4,3.7705630450435774,418,3760,0.11117021276595744
Nb,Lower in focal species,GO:0048856,anatomical structure development,BP,9.2680978158348e-4,3.0330093912984277,169,3760,0.0449468085106383
Nb,Lower in focal species,GO:0050931,pigment cell differentiation,BP,0.0121777967106391,1.9144312800913643,7,3760,0.0018617021276595746
Nb,Lower in focal species,GO:0005737,cytoplasm,CC,1.0156803699695e-15,14.993242941066082,505,3760,0.13430851063829788
Nb,Lower in focal species,GO:0005515,protein binding,MF,6.63362194126723e-27,26.17824928311802,943,3760,0.25079787234042555
Nb,Lower in focal species,GO:0140096,"catalytic activity, acting on a protein",MF,2.14951529097418e-10,9.667659461101946,400,3760,0.10638297872340426
Nb,Lower in focal species,GO:0008092,cytoskeletal protein binding,MF,2.6579388635308e-5,4.5754550126846985,100,3760,0.026595744680851064
Nb,Lower in focal species,GO:0008289,lipid binding,MF,0.0141923382613833,1.8479460463777997,67,3760,0.017819148936170214
On,Higher in focal species,GO:0019538,protein metabolic process,BP,5.36208649281241e-16,15.27066618493572,373,2590,0.14401544401544403
On,Higher in focal species,GO:0050896,response to stimulus,BP,6.6347210334853e-4,3.1781773329600544,299,2590,0.11544401544401545
On,Higher in focal species,GO:0048856,anatomical structure development,BP,0.00136875216633343,2.8636751804544107,125,2590,0.04826254826254826
On,Higher in focal species,GO:0006996,organelle organization,BP,0.00751459767034554,2.124094266471117,106,2590,0.040926640926640924
On,Higher in focal species,GO:0005737,cytoplasm,CC,3.40321122034732e-8,7.468111095575193,344,2590,0.13281853281853281
On,Higher in focal species,GO:0005515,protein binding,MF,1.19371436637119e-20,19.923099579361573,672,2590,0.2594594594594595
On,Higher in focal species,GO:0140096,"catalytic activity, acting on a protein",MF,9.84738695853477e-12,11.006678995902558,302,2590,0.1166023166023166
On,Higher in focal species,GO:0008289,lipid binding,MF,9.1241790946231e-4,3.0398061987304184,55,2590,0.021235521235521235
On,Higher in focal species,GO:0005501,retinoid binding,MF,0.0135681465914633,1.8674794729057806,5,2590,0.0019305019305019305
On,Higher in focal species,GO:0008092,cytoskeletal protein binding,MF,0.0211683132439734,1.6743137465162403,65,2590,0.025096525096525095
Pn,Higher in focal species,GO:0005737,cytoplasm,CC,0.0267060686624965,1.5733900387418691,114,842,0.13539192399049882
