Gene,Module
A3GALT2,brown
AANAT,black
ABCA1,turquoise
ABHD5,grey60
ABR,turquoise
ACTA1,green
ACVR1B,blue
ADAM12,turquoise
ADAMTS5,green
ADAP1,yellow
AHCYL1,turquoise
AK6,red
ALX4,turquoise
AMDHD1,yellow
AMZ2,green
ANKRD66,brown
ANKS6,blue
ANOS1,brown
AP3B2,pink
APBA3,turquoise
APCDD1,turquoise
APP,blue
AQP11,grey
AREL1,purple
ARF1,darkred
ARHGAP26,brown
ARHGAP42,blue
ARHGAP6,turquoise
ARHGAP9,turquoise
ARHGDIA,turquoise
ARHGEF12,turquoise
ARHGEF26,salmon
ARMC6,black
ASTN2,midnightblue
ATE1,turquoise
ATG14,blue
ATP1A1,blue
ATP8A1,brown
B3GALT2,turquoise
B3GNT10,brown
BET1L,red
BFSP1,darkgreen
BHLHE40,blue
BICD2,brown
BRK1,blue
BTBD1,turquoise
C12orf29,greenyellow
C12orf57,black
C12orf65,magenta
C14orf119,turquoise
C14orf28,lightyellow
C16orf72,green
C17orf75,lightcyan
C18orf25,pink
C18orf32,greenyellow
C1orf35,blue
C1orf50,lightgreen
C20orf27,brown
C2orf49,lightgreen
C5orf15,blue
C5orf51,brown
C6orf120,grey60
C6orf62,cyan
C7orf25,turquoise
C7orf26,turquoise
C9orf16,red
C9orf64,brown
CACNA1D,brown
CACNA2D3,brown
CACNG2,tan
CAPN15,brown
CAPZA2,turquoise
CARTPT,brown
CASP6,greenyellow
CBX2,brown
CCDC88A,turquoise
CDC37,blue
CDH2,blue
CDH4,midnightblue
CDHR1,royalblue
CDK2AP1,turquoise
CDKL5,yellow
CDYL2,blue
CHMP6,red
CHORDC1,brown
CHRNA1,green
CHST13,darkred
CIR1,blue
CKMT1A,black
CMKLR1,turquoise
CNNM1,yellow
CNP,blue
COG5,yellow
COLGALT1,lightyellow
COMTD1,cyan
COPS6,brown
CPEB4,midnightblue
CRYBB3,brown
CSNK1D,black
CSRNP3,yellow
CTNNB1,blue
CTSZ,red
CUL3,greenyellow
CYP19A1,brown
CYTL1,turquoise
DCAF7,pink
DCTN6,blue
DDA1,lightgreen
DDAH1,turquoise
DDX39A,blue
DDX5,salmon
DENND5B,salmon
DGKD,black
DIP2C,turquoise
DISP3,purple
DMXL1,turquoise
DNAJA4,red
DOCK2,turquoise
DOCK9,green
DPYSL2,pink
DXO,greenyellow
DYNC1I1,pink
DYNC1I2,red
EBF1,brown
ECHDC1,brown
ECM2,turquoise
EIF4ENIF1,turquoise
EIF4G1,green
EIF5AL1,tan
ENY2,turquoise
ERG28,tan
ERMP1,turquoise
EVC2,turquoise
EZH1,blue
F2R,blue
FABP6,darkred
FABP7,turquoise
FADS6,brown
FAHD2A,turquoise
FAM53C,darkgreen
FAR2,yellow
FARP1,turquoise
FAT4,turquoise
FBLN2,blue
FBN1,green
FBXO40,yellow
FCHSD2,brown
FDX1,red
FH,red
FILIP1L,brown
FOXC1,turquoise
FOXN2,turquoise
FOXQ1,brown
FRMD1,turquoise
FUCA1,turquoise
FYN,magenta
G6PC2,tan
GABRA5,purple
GADD45B,pink
GALNT3,yellow
GALNT5,yellow
GAS7,yellow
GCA,brown
GCDH,blue
GFOD1,turquoise
GHITM,turquoise
GLUL,turquoise
GMFG,turquoise
GNA12,magenta
GNG5,salmon
GOT1,tan
GPAT4,turquoise
GPATCH2L,greenyellow
GPR137B,brown
GPR180,lightcyan
GPS2,red
GTPBP1,brown
GTPBP2,blue
GXYLT1,turquoise
HDAC2,magenta
HERPUD2,turquoise
HGFAC,turquoise
HINT1,blue
HNRNPUL1,black
IFT122,yellow
IGFBP4,blue
IKZF5,yellow
ILRUN,greenyellow
INHBC,lightcyan
INPP5A,black
IQSEC1,yellow
ISCU,black
ISYNA1,pink
ITM2A,blue
ITM2C,turquoise
JAZF1,black
JMJD8,red
JMY,turquoise
KCNA5,lightcyan
KCNB1,pink
KCNB2,pink
KCNH7,brown
KCNIP2,lightyellow
KCNIP3,blue
KCNMA1,purple
KCNQ4,turquoise
KCTD15,midnightblue
KDM7A,tan
KHSRP,turquoise
KIF21A,turquoise
KIF2A,pink
KLHL12,magenta
KLHL28,turquoise
KMT2A,purple
LAMA2,blue
LAPTM4B,green
LEPROT,blue
LGR6,brown
LIMD1,turquoise
LIN28A,greenyellow
LIX1L,blue
LLGL1,yellow
LONRF3,green
LPIN2,turquoise
LRFN2,green
LRIT2,royalblue
LRRC17,turquoise
LTBP3,turquoise
LTN1,blue
MAF,brown
MAMDC2,black
MAP3K13,lightcyan
MAPKAPK2,green
MARF1,blue
MARK4,lightyellow
MCMDC2,red
MCOLN3,yellow
MCUB,grey
MED9,greenyellow
MEF2D,turquoise
MEP1B,magenta
METTL7A,yellow
MFAP2,brown
MFSD3,grey60
MME,blue
MMP23B,black
MOK,red
MPDZ,turquoise
