eigengene,species,module,correlation,pvalue,FDR,absolute_correlation,direction,expression_pattern,module_size,passes_FDR,passes_correlation,selected_for_hub_analysis
MEbrown,Ab,brown,0.7008401990298976,0.011118087713997157,0.22300536578542135,0.7008401990298976,Positive,Ab higher,745,FALSE,TRUE,FALSE
MEgreen,Ab,green,-0.669255807988998,0.017300660704264028,0.22300536578542135,0.669255807988998,Negative,Ab lower,339,FALSE,TRUE,FALSE
MEpink,Ab,pink,0.6129723204851442,0.03406297332991695,0.22300536578542135,0.6129723204851442,Positive,Ab higher,246,FALSE,TRUE,FALSE
MEcyan,Ab,cyan,-0.5453739879053909,0.06666017143311544,0.2554416259529368,0.5453739879053909,Negative,Ab lower,96,FALSE,TRUE,FALSE
MEblue,Ab,blue,-0.5395004507837308,0.07024644713705762,0.2554416259529368,0.5395004507837308,Negative,Ab lower,917,FALSE,TRUE,FALSE
MEpurple,Ab,purple,0.5065210739426442,0.09286485121229626,0.26583297576755593,0.5065210739426442,Positive,Ab higher,190,FALSE,TRUE,FALSE
MEyellow,Ab,yellow,0.501564687866539,0.09664133891822294,0.26583297576755593,0.501564687866539,Positive,Ab higher,494,FALSE,TRUE,FALSE
MEdarkturquoise,Ab,darkturquoise,0.477361004985197,0.11656225944794095,0.30407545942941117,0.477361004985197,Positive,Ab higher,44,FALSE,FALSE,FALSE
MElightcyan,Ab,lightcyan,0.4328170347939823,0.1599088802358982,0.3553530671908849,0.4328170347939823,Positive,Ab higher,77,FALSE,FALSE,FALSE
MElightgreen,Ab,lightgreen,-0.42698379664012226,0.1662481398196661,0.36272321415199876,0.42698379664012226,Negative,Ab lower,70,FALSE,FALSE,FALSE
MEmidnightblue,Ab,midnightblue,0.40904470951396177,0.18672615987530183,0.3931077050006354,0.40904470951396177,Positive,Ab higher,78,FALSE,FALSE,FALSE
MEmagenta,Ab,magenta,-0.38686907335295995,0.21410865730181777,0.4103341677449856,0.38686907335295995,Negative,Ab lower,202,FALSE,FALSE,FALSE
MEgrey60,Ab,grey60,-0.3858659622360926,0.21540165126388677,0.4103341677449856,0.3858659622360926,Negative,Ab lower,71,FALSE,FALSE,FALSE
MEturquoise,Ab,turquoise,0.36933643495090507,0.237386827536149,0.4319944103845951,0.36933643495090507,Positive,Ab higher,1584,FALSE,FALSE,FALSE
MEtan,Ab,tan,-0.3461850857004213,0.2703285748471578,0.4564786808214465,0.3461850857004213,Negative,Ab lower,170,FALSE,FALSE,FALSE
MEdarkred,Ab,darkred,-0.3378743381911462,0.2827626075257139,0.4564786808214465,0.3378743381911462,Negative,Ab lower,49,FALSE,FALSE,FALSE
MEgreenyellow,Ab,greenyellow,0.3362047148834942,0.28529917551340406,0.4564786808214465,0.3362047148834942,Positive,Ab higher,189,FALSE,FALSE,FALSE
MEblack,Ab,black,-0.31362423984658255,0.32086199104481283,0.49202729034295944,0.31362423984658255,Negative,Ab lower,304,FALSE,FALSE,FALSE
MEdarkgreen,Ab,darkgreen,0.2938007542114397,0.3539856161674696,0.511786433013209,0.2938007542114397,Positive,Ab higher,44,FALSE,FALSE,FALSE
MElightyellow,Ab,lightyellow,0.25698665728929615,0.42005381545822873,0.566364694999859,0.25698665728929615,Positive,Ab higher,64,FALSE,FALSE,FALSE
MEred,Ab,red,0.23859102854343398,0.45518614834380977,0.6002454703434854,0.23859102854343398,Positive,Ab higher,329,FALSE,FALSE,FALSE
MEroyalblue,Ab,royalblue,-0.1769120618852707,0.5822944798731231,0.7058114907553008,0.1769120618852707,Negative,Ab lower,59,FALSE,FALSE,FALSE
MEsalmon,Ab,salmon,0.11332791557452679,0.7258280588750878,0.8017544494121127,0.11332791557452679,Positive,Ab higher,141,FALSE,FALSE,FALSE
MEblack,Mz,black,0.6822344185504048,0.01451525728124433,0.22300536578542135,0.6822344185504048,Positive,Mz higher,304,FALSE,TRUE,FALSE
MEyellow,Mz,yellow,0.5602752331176636,0.05813309249279147,0.2554416259529368,0.5602752331176636,Positive,Mz higher,494,FALSE,TRUE,FALSE
MEdarkturquoise,Mz,darkturquoise,0.5419535943196073,0.06873284498343976,0.2554416259529368,0.5419535943196073,Positive,Mz higher,44,FALSE,TRUE,FALSE
MEgrey60,Mz,grey60,0.5400375747268356,0.06991309679179343,0.2554416259529368,0.5400375747268356,Positive,Mz higher,71,FALSE,TRUE,FALSE
MEdarkgreen,Mz,darkgreen,-0.5255002856169917,0.07932497902425487,0.25944765385749297,0.5255002856169917,Negative,Mz lower,44,FALSE,TRUE,FALSE
MEtan,Mz,tan,0.47025271861917867,0.12288951634767012,0.3076808580209438,0.47025271861917867,Positive,Mz higher,170,FALSE,FALSE,FALSE
MEdarkred,Mz,darkred,-0.47005093546972065,0.12307234320837751,0.3076808580209438,0.47005093546972065,Negative,Mz lower,49,FALSE,FALSE,FALSE
MEsalmon,Mz,salmon,-0.4639536286416399,0.12868111572602306,0.3151374262678116,0.4639536286416399,Negative,Mz lower,141,FALSE,FALSE,FALSE
MElightyellow,Mz,lightyellow,-0.44577691973802913,0.14638042930119632,0.3356980473144965,0.44577691973802913,Negative,Mz lower,64,FALSE,FALSE,FALSE
MEcyan,Mz,cyan,0.3680376866598143,0.23916847168550348,0.4319944103845951,0.3680376866598143,Positive,Mz higher,96,FALSE,FALSE,FALSE
MEred,Mz,red,0.32520714416805835,0.30232814827256593,0.47422107613680486,0.32520714416805835,Positive,Mz higher,329,FALSE,FALSE,FALSE
MEmidnightblue,Mz,midnightblue,0.3239615583720877,0.3042918571877831,0.47422107613680486,0.3239615583720877,Positive,Mz higher,78,FALSE,FALSE,FALSE
MEpurple,Mz,purple,-0.3069168385980236,0.3318725985692712,0.4978088978539068,0.3069168385980236,Negative,Mz lower,190,FALSE,FALSE,FALSE
MElightgreen,Mz,lightgreen,-0.28402145130033307,0.37096762573399955,0.5258647131783754,0.28402145130033307,Negative,Mz lower,70,FALSE,FALSE,FALSE
MEgreenyellow,Mz,greenyellow,-0.27159121164243666,0.3931517791414948,0.5485838778718533,0.27159121164243666,Negative,Mz lower,189,FALSE,FALSE,FALSE
MElightcyan,Mz,lightcyan,-0.2198590764560461,0.4923297337495365,0.6154121671869206,0.2198590764560461,Negative,Mz lower,77,FALSE,FALSE,FALSE
MEroyalblue,Mz,royalblue,0.1925996462561018,0.5486979978321287,0.6788016468026334,0.1925996462561018,Positive,Mz higher,59,FALSE,FALSE,FALSE
MEgreen,Mz,green,-0.15247158162265917,0.6361670065446025,0.7411654445179834,0.15247158162265917,Negative,Mz lower,339,FALSE,FALSE,FALSE
MEmagenta,Mz,magenta,-0.1179134727503532,0.7151347922472056,0.8017544494121127,0.1179134727503532,Negative,Mz lower,202,FALSE,FALSE,FALSE
MEturquoise,Mz,turquoise,-0.11228762858852552,0.7282602915493357,0.8017544494121127,0.11228762858852552,Negative,Mz lower,1584,FALSE,FALSE,FALSE
MEblue,Mz,blue,0.08482960697026748,0.7932297145178988,0.8514638674072926,0.08482960697026748,Positive,Mz higher,917,FALSE,FALSE,FALSE
MEbrown,Mz,brown,-0.045454036681364024,0.8884480302956406,0.9352084529427795,0.045454036681364024,Negative,Mz lower,745,FALSE,FALSE,FALSE
MEpink,Mz,pink,-0.020672044733298416,0.94915636485788,0.9571324687642487,0.020672044733298416,Negative,Mz lower,246,FALSE,FALSE,FALSE
MEturquoise,Nb,turquoise,-0.7560952189111962,0.004437569656281259,0.17750278625125038,0.7560952189111962,Negative,Nb lower,1584,FALSE,TRUE,FALSE
MEroyalblue,Nb,royalblue,-0.6873475856719223,0.013514336363561369,0.22300536578542135,0.6873475856719223,Negative,Nb lower,59,FALSE,TRUE,FALSE
MEpink,Nb,pink,-0.6707031667169419,0.01697204584893399,0.22300536578542135,0.6707031667169419,Negative,Nb lower,246,FALSE,TRUE,FALSE
MEgreen,Nb,green,0.6388456405433874,0.025339230761180113,0.22300536578542135,0.6388456405433874,Positive,Nb higher,339,FALSE,TRUE,FALSE
MEsalmon,Nb,salmon,0.6053796569865921,0.036986234187637974,0.22300536578542135,0.6053796569865921,Positive,Nb higher,141,FALSE,TRUE,FALSE
MEgreenyellow,Nb,greenyellow,-0.5961614009593094,0.04077067761638091,0.22300536578542135,0.5961614009593094,Negative,Nb lower,189,FALSE,TRUE,FALSE
MEbrown,Nb,brown,-0.5955749099379822,0.04102039136666264,0.22300536578542135,0.5955749099379822,Negative,Nb lower,745,FALSE,TRUE,FALSE
MEyellow,Nb,yellow,-0.5524483624880374,0.06251101871119523,0.2554416259529368,0.5524483624880374,Negative,Nb lower,494,FALSE,TRUE,FALSE
MElightcyan,Nb,lightcyan,0.539605913845956,0.07018090846297806,0.2554416259529368,0.539605913845956,Positive,Nb higher,77,FALSE,TRUE,FALSE
MElightyellow,Nb,lightyellow,-0.5345740909338043,0.07335498024873793,0.2588999302896633,0.5345740909338043,Negative,Nb lower,64,FALSE,TRUE,FALSE
MEgrey60,Nb,grey60,0.531178659692303,0.07555159852184859,0.2590340520749094,0.531178659692303,Positive,Nb higher,71,FALSE,TRUE,FALSE
MEblue,Nb,blue,-0.5245093931458347,0.07999635993939366,0.25944765385749297,0.5245093931458347,Negative,Nb lower,917,FALSE,TRUE,FALSE
MEblack,Nb,black,-0.510104756601962,0.09019704754603552,0.26583297576755593,0.510104756601962,Negative,Nb lower,304,FALSE,TRUE,FALSE
MEtan,Nb,tan,-0.5038216789181234,0.09490908979292868,0.26583297576755593,0.5038216789181234,Negative,Nb lower,170,FALSE,TRUE,FALSE
MEpurple,Nb,purple,0.49420825076046554,0.10243431295971951,0.27315816789258535,0.49420825076046554,Positive,Nb higher,190,FALSE,FALSE,FALSE
MEred,Nb,red,-0.4546102972407296,0.1375946983763769,0.33022727610330455,0.4546102972407296,Negative,Nb lower,329,FALSE,FALSE,FALSE
MEmidnightblue,Nb,midnightblue,-0.44392527166639795,0.14826663756390263,0.3356980473144965,0.44392527166639795,Negative,Nb lower,78,FALSE,FALSE,FALSE
MEmagenta,Nb,magenta,-0.4038750649358604,0.19290450037903245,0.39911275940489477,0.4038750649358604,Negative,Nb lower,202,FALSE,FALSE,FALSE
MEdarkred,Nb,darkred,0.39900236205000694,0.19884197927759498,0.4034400716411257,0.39900236205000694,Positive,Nb higher,49,FALSE,FALSE,FALSE
MElightgreen,Nb,lightgreen,-0.3653950003515009,0.24281813490953053,0.4319944103845951,0.3653950003515009,Negative,Nb lower,70,FALSE,FALSE,FALSE
MEdarkturquoise,Nb,darkturquoise,0.2673790975816689,0.40081878736951304,0.5528534998200181,0.2673790975816689,Positive,Nb higher,44,FALSE,FALSE,FALSE
MEcyan,Nb,cyan,0.1655054618322958,0.6072150954246995,0.7214436777323162,0.1655054618322958,Positive,Nb higher,96,FALSE,FALSE,FALSE
MEdarkgreen,Nb,darkgreen,0.1595480134223694,0.6203871056390273,0.7298671831047381,0.1595480134223694,Positive,Nb higher,44,FALSE,FALSE,FALSE
MEmagenta,On,magenta,0.9213597761125775,2.0734088254582805e-5,0.0024880905905499367,0.9213597761125775,Positive,On higher,202,TRUE,TRUE,TRUE
