eigengene,species,module,correlation,pvalue,FDR,absolute_correlation,direction,expression_pattern,module_size,passes_FDR,passes_correlation,selected_for_hub_analysis,module_rank_for_species
MEbrown,Ab,brown,0.7008401990298976,0.011118087713997157,0.22300536578542135,0.7008401990298976,Positive,Ab higher,745,FALSE,TRUE,FALSE,1
MEgreen,Ab,green,-0.669255807988998,0.017300660704264028,0.22300536578542135,0.669255807988998,Negative,Ab lower,339,FALSE,TRUE,FALSE,2
MEpink,Ab,pink,0.6129723204851442,0.03406297332991695,0.22300536578542135,0.6129723204851442,Positive,Ab higher,246,FALSE,TRUE,FALSE,3
MEcyan,Ab,cyan,-0.5453739879053909,0.06666017143311544,0.2554416259529368,0.5453739879053909,Negative,Ab lower,96,FALSE,TRUE,FALSE,4
MEblue,Ab,blue,-0.5395004507837308,0.07024644713705762,0.2554416259529368,0.5395004507837308,Negative,Ab lower,917,FALSE,TRUE,FALSE,5
MEblack,Mz,black,0.6822344185504048,0.01451525728124433,0.22300536578542135,0.6822344185504048,Positive,Mz higher,304,FALSE,TRUE,FALSE,1
MEyellow,Mz,yellow,0.5602752331176636,0.05813309249279147,0.2554416259529368,0.5602752331176636,Positive,Mz higher,494,FALSE,TRUE,FALSE,2
MEdarkturquoise,Mz,darkturquoise,0.5419535943196073,0.06873284498343976,0.2554416259529368,0.5419535943196073,Positive,Mz higher,44,FALSE,TRUE,FALSE,3
MEgrey60,Mz,grey60,0.5400375747268356,0.06991309679179343,0.2554416259529368,0.5400375747268356,Positive,Mz higher,71,FALSE,TRUE,FALSE,4
MEdarkgreen,Mz,darkgreen,-0.5255002856169917,0.07932497902425487,0.25944765385749297,0.5255002856169917,Negative,Mz lower,44,FALSE,TRUE,FALSE,5
MEturquoise,Nb,turquoise,-0.7560952189111962,0.004437569656281259,0.17750278625125038,0.7560952189111962,Negative,Nb lower,1584,FALSE,TRUE,FALSE,1
MEroyalblue,Nb,royalblue,-0.6873475856719223,0.013514336363561369,0.22300536578542135,0.6873475856719223,Negative,Nb lower,59,FALSE,TRUE,FALSE,2
MEpink,Nb,pink,-0.6707031667169419,0.01697204584893399,0.22300536578542135,0.6707031667169419,Negative,Nb lower,246,FALSE,TRUE,FALSE,3
MEgreen,Nb,green,0.6388456405433874,0.025339230761180113,0.22300536578542135,0.6388456405433874,Positive,Nb higher,339,FALSE,TRUE,FALSE,4
MEsalmon,Nb,salmon,0.6053796569865921,0.036986234187637974,0.22300536578542135,0.6053796569865921,Positive,Nb higher,141,FALSE,TRUE,FALSE,5
MEmagenta,On,magenta,0.9213597761125775,2.0734088254582805e-5,0.0024880905905499367,0.9213597761125775,Positive,On higher,202,TRUE,TRUE,TRUE,1
MEturquoise,On,turquoise,0.6191755265029705,0.03180053840491312,0.22300536578542135,0.6191755265029705,Positive,On higher,1584,FALSE,TRUE,FALSE,2
MEblue,On,blue,0.6111595908739309,0.03474530949250333,0.22300536578542135,0.6111595908739309,Positive,On higher,917,FALSE,TRUE,FALSE,3
MEred,On,red,-0.5972723444658152,0.0403006265208938,0.22300536578542135,0.5972723444658152,Negative,On lower,329,FALSE,TRUE,FALSE,4
MEdarkgreen,On,darkgreen,-0.567152675043737,0.054466521769274474,0.2554416259529368,0.567152675043737,Negative,On lower,44,FALSE,TRUE,FALSE,5
MElightgreen,Pn,lightgreen,0.8422028913680637,5.874521642419884e-4,0.035247129854519305,0.8422028913680637,Positive,Pn higher,70,TRUE,TRUE,TRUE,1
MEgreenyellow,Pn,greenyellow,0.7179671664232008,0.008549148088699658,0.22300536578542135,0.7179671664232008,Positive,Pn higher,189,FALSE,TRUE,FALSE,2
MEdarkred,Pn,darkred,0.6636949719097855,0.01860676663015963,0.22300536578542135,0.6636949719097855,Positive,Pn higher,49,FALSE,TRUE,FALSE,3
MEdarkgreen,Pn,darkgreen,0.6292508144998372,0.028358905701409986,0.22300536578542135,0.6292508144998372,Positive,Pn higher,44,FALSE,TRUE,FALSE,4
MEtan,Pn,tan,0.6099980079133095,0.03518765120380815,0.22300536578542135,0.6099980079133095,Positive,Pn higher,170,FALSE,TRUE,FALSE,5
