gene_id,module,species,module_size,module_trait_correlation,module_trait_direction,module_trait_expression_pattern,module_trait_pvalue,module_trait_FDR,MM,MM_pvalue,GS,GS_pvalue,aligned_GS,absolute_GS,passes_MM,passes_aligned_GS,passes_GS_pvalue,passes_all_support_criteria,exploratory_joint_score,MM_rank
acer2,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9950553833968298,2.3085073900057312e-11,0.9199326825929139,2.2629377114413173e-5,0.9199326825929139,0.9199326825929139,TRUE,TRUE,TRUE,TRUE,0.915383968176766,1
srp54,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9886699253940378,1.4427652918538752e-9,0.910454295957591,3.8952137827928096e-5,0.910454295957591,0.910454295957591,TRUE,TRUE,TRUE,TRUE,0.9001387808590726,2
gars1,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9813597097312388,1.717803656561957e-8,0.9203758475074902,2.2026785214759237e-5,0.9203758475074902,0.9203758475074902,TRUE,TRUE,TRUE,TRUE,0.9032197745535935,3
sh3glb1a,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.980886001047116,1.9459093035901825e-8,0.9138697029865315,3.2258530408387976e-5,0.9138697029865315,0.9138697029865315,TRUE,TRUE,TRUE,TRUE,0.8964019984405744,4
gstcd,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9752960329889905,6.952133883681408e-8,0.8632074280294457,2.984624644041358e-4,0.8632074280294457,0.8632074280294457,TRUE,TRUE,TRUE,TRUE,0.841882780203748,5
slc38a3a,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9738893629562746,9.14837277095355e-8,0.9009736670036325,6.337884840568523e-5,0.9009736670036325,0.9009736670036325,TRUE,TRUE,TRUE,TRUE,0.8774486705985463,6
tpra,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9723036021713288,1.2252177391945695e-7,0.8907045108351563,1.019679314009586e-4,0.8907045108351563,0.8907045108351563,TRUE,TRUE,TRUE,TRUE,0.8660352043552739,7
snu13a,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9694089809312202,2.0042314451976886e-7,0.9083581992426049,4.3571691759474274e-5,0.9083581992426049,0.9083581992426049,TRUE,TRUE,TRUE,TRUE,0.8805705962482918,8
gulp1a,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9686573410855369,2.2599914237854109e-7,0.8919748599094139,9.639080017171482e-5,0.8919748599094139,0.8919748599094139,TRUE,TRUE,TRUE,TRUE,0.8640179961149972,9
cdh2,magenta,On,202,0.9213597761125775,Positive,On higher,2.0734088254582805e-5,0.0024880905905499367,0.9648712787335809,3.971584332314231e-7,0.8698865802159647,2.3511434368374615e-4,0.8698865802159647,0.8698865802159647,TRUE,TRUE,TRUE,TRUE,0.8393285770061595,10
