sample,species,module,eigengene,associated_species,expression_pattern,module_trait_correlation,module_trait_FDR
Ab_5_Eye,Ab,magenta,-0.22452639711842956,On,On higher,0.9213597761125775,0.0024880905905499367
Ab_5_Eye,Ab,lightgreen,-0.25130858055826905,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Ab_6_Eye,Ab,magenta,-0.2227734778426299,On,On higher,0.9213597761125775,0.0024880905905499367
Ab_6_Eye,Ab,lightgreen,-0.25372930898727475,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Mz_1_Eye,Mz,magenta,-0.07635988288375639,On,On higher,0.9213597761125775,0.0024880905905499367
Mz_1_Eye,Mz,lightgreen,-0.1647954150701787,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Mz_2_Eye,Mz,magenta,-0.15282404941579955,On,On higher,0.9213597761125775,0.0024880905905499367
Mz_2_Eye,Mz,lightgreen,-0.21112699740886556,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Nb_4_Eye,Nb,magenta,-0.24177981252178302,On,On higher,0.9213597761125775,0.0024880905905499367
Nb_4_Eye,Nb,lightgreen,-0.22374331423360957,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Nb_5_Eye,Nb,magenta,-0.2203319663767611,On,On higher,0.9213597761125775,0.0024880905905499367
Nb_5_Eye,Nb,lightgreen,-0.22425907157002817,Pn,Pn higher,0.8422028913680637,0.035247129854519305
On_1_Eye,On,magenta,0.48311275785848085,On,On higher,0.9213597761125775,0.0024880905905499367
On_1_Eye,On,lightgreen,-0.06327080712100494,Pn,Pn higher,0.8422028913680637,0.035247129854519305
On_2_Eye,On,magenta,0.5493075631889336,On,On higher,0.9213597761125775,0.0024880905905499367
On_2_Eye,On,lightgreen,-0.09186015844766471,Pn,Pn higher,0.8422028913680637,0.035247129854519305
On_3_Eye,On,magenta,0.43801320716383485,On,On higher,0.9213597761125775,0.0024880905905499367
On_3_Eye,On,lightgreen,0.05027036468398974,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Pn_2_Eye,Pn,magenta,-0.11633813183248479,On,On higher,0.9213597761125775,0.0024880905905499367
Pn_2_Eye,Pn,lightgreen,0.46885178357721125,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Pn_3_Eye,Pn,magenta,-0.11115938965876401,On,On higher,0.9213597761125775,0.0024880905905499367
Pn_3_Eye,Pn,lightgreen,0.4809850435337256,Pn,Pn higher,0.8422028913680637,0.035247129854519305
Pn_4_Eye,Pn,magenta,-0.10434042056084095,On,On higher,0.9213597761125775,0.0024880905905499367
Pn_4_Eye,Pn,lightgreen,0.48398646160196906,Pn,Pn higher,0.8422028913680637,0.035247129854519305
