module,associated_species,expression_pattern,species,n,mean_eigengene,sd_eigengene,se_eigengene
lightgreen,Pn,Pn higher,Ab,2,-0.2525189447727719,0.0017117134875609906,0.0012103642145028515
lightgreen,Pn,Pn higher,Mz,2,-0.18796120623952212,0.03276137605478836,0.02316579116934343
lightgreen,Pn,Pn higher,Nb,2,-0.22400119290181886,3.646955100282986e-4,2.578786682092965e-4
lightgreen,Pn,Pn higher,On,3,-0.03495353362822664,0.07517760560810675,0.04340381083487196
lightgreen,Pn,Pn higher,Pn,3,0.4779410962376353,0.0080133532983579,0.004626511683918509
magenta,On,On higher,Ab,2,-0.22364993748052975,0.0012395011067905463,8.764596378998263e-4
magenta,On,On higher,Mz,2,-0.11459196614977797,0.05406833067258517,0.03823208326602158
magenta,On,On higher,Nb,2,-0.23105588944927208,0.01516591745099074,0.010723923072510952
magenta,On,On higher,On,3,0.49014450940374976,0.05597939413843412,0.0323197182748971
magenta,On,On higher,Pn,3,-0.11061264735069658,0.006017513132765527,0.0034742128270542857
