Power,SFT.R.sq,slope,truncated.R.sq,mean.k.,median.k.,max.k.
1,0.8549018312320215,4.401066100378765,0.8179387559923595,3763.202311587865,3925.4685661614058,4462.008666368077
2,0.6079407597140544,1.5678672274224354,0.5134660545417908,2435.250991066572,2588.901325748774,3322.5772256192286
3,0.2087243468640655,0.5931539177116741,0.07921959073748963,1692.4240761305887,1807.0357625007387,2589.658268533931
4,0.04162521571862479,0.2251468054402166,0.034458452113358407,1235.8334151156225,1312.6788766297327,2078.264122532447
5,3.864868786191799e-8,-2.01771581015813e-4,0.18404683788569043,936.0627827807921,986.995093179705,1705.3561043990655
6,0.02926916637345539,-0.1710592418355993,0.35812006943484165,729.4258843526849,758.9739980763125,1426.5567034382277
7,0.09225900880065353,-0.3066899417735013,0.4976801168872146,581.5224484300303,595.29100614814,1209.975007238024
8,0.16800647721618944,-0.44440199676672687,0.6080098436101697,472.419375853322,474.88059640466923,1041.7205680810991
9,0.237714457507654,-0.5491034017774314,0.6814030944834757,389.9178288887278,385.3634019062488,907.0094649173076
10,0.2916453963983809,-0.632771198939256,0.7285607182486424,326.21845080794463,315.82773111604934,796.6145207775305
12,0.38366372743360205,-0.7555095369701431,0.7881481180835832,236.19007456876423,220.1428567037159,627.8276147037773
14,0.4571460367527137,-0.8430883374125909,0.8176182847851319,177.3841827539927,161.53676287718775,506.2420473467642
16,0.5687209854687768,-0.8558287174257564,0.9047996664374933,137.16859177299068,122.06017302969668,415.53942538567367
18,0.6442210838819865,-0.9463277525193751,0.9500343477736295,108.63361305936823,93.5525278993805,354.8361790278188
20,0.6851712615319765,-1.0896960638672186,0.9686982936005736,87.76343647292441,73.4483805649327,316.7828935877888
22,0.721400238389423,-1.2193300616881968,0.9788698787593793,72.10663819535004,58.70245443872743,285.6419653073536
24,0.7569995594939377,-1.3267197466351028,0.9838981489585629,60.10454105388438,47.65448973287161,259.65004849368177
26,0.7838996252269482,-1.4298568694509766,0.9820428343889712,50.731399749781346,39.26192238452098,237.59886450723747
28,0.8237967786023296,-1.5118917249458355,0.9890206603982896,43.29197782541621,32.763728112692135,218.63428093366332
30,0.8492213321012593,-1.5732968682387019,0.9879982902292638,37.302843397782944,27.58944892859664,202.135957281011
