species,gene_name,visual_category,log2FoldChange,padj,direction,WGCNA_module,module_trait_correlation,module_trait_FDR,MM,MM_pvalue,GS,GS_pvalue,species_associated_module,supported_hub,evidence_class
On,nr2e3,Photoreceptor regulation,5.43788838571503,3.23960131998866e-6,On higher,magenta,0.9213597761125775,0.0024880905905499367,0.8411326819374478,6.064935861507699e-4,0.7939645259819106,0.00204502406077184,TRUE,TRUE,DE + module + supported hub
On,rdh12,Visual cycle,5.15230482830147,8.450946194296e-4,On higher,magenta,0.9213597761125775,0.0024880905905499367,0.8992384011690393,6.89224433137074e-5,0.980702285873967,2.0406108482091812e-8,TRUE,TRUE,DE + module + supported hub
Ab,opn1sw2,Opsin / photopigment,6.90551361811479,7.24541010968159e-9,Ab higher,pink,0.6129723204851442,0.22300536578542135,0.931749630204717,1.0392555094901696e-5,0.7434710054783119,0.0055800832507518,FALSE,FALSE,DE only
Ab,guca1c,Photoreceptor recovery,4.94945872724114,7.87165629068864e-5,Ab higher,yellow,0.501564687866539,0.26583297576755593,0.764709649381022,0.00376631303936747,0.501223031279852,0.09690539698334592,FALSE,FALSE,DE only
Ab,gnat1,Phototransduction,-3.52928205168208,1.0005159300156e-4,Ab lower,blue,-0.5395004507837308,0.2554416259529368,0.7232496306987828,0.00785481997453543,-0.7071530447080308,0.01011244587027788,FALSE,FALSE,DE only
Ab,abca4a,Visual cycle,-5.48910049699896,3.0120479050348e-4,Ab lower,green,-0.669255807988998,0.22300536578542135,0.7208743174028153,0.00816159352513431,-0.7210584098462132,0.00813750266167395,FALSE,FALSE,DE only
Ab,rgs9a,Photoreceptor recovery,3.97403718466631,4.316809334681e-4,Ab higher,lightcyan,0.4328170347939823,0.3553530671908849,0.8415413456850518,5.991669698779859e-4,0.7048666165200137,0.01046850570812498,FALSE,FALSE,DE only
Ab,rpe65a,Visual cycle,-5.85451448422502,4.7149315111088e-4,Ab lower,green,-0.669255807988998,0.22300536578542135,0.6385387172261918,0.02543204818584354,-0.6327180035184765,0.02723930080746638,FALSE,FALSE,DE only
Ab,rcvrn3,Photoreceptor recovery,-2.67821687838493,0.0241936799424796,Ab lower,royalblue,-0.1769120618852707,0.7058114907553008,0.6618217617377714,0.01906256392763336,-0.6943621454140798,0.0122253835680381,FALSE,FALSE,DE only
Ab,pde6a,Phototransduction,-2.57755685735195,0.0251210968982711,Ab lower,blue,-0.5395004507837308,0.2554416259529368,0.7866789234857575,0.0024012191833313,-0.510609760423316,0.08982531435837256,FALSE,FALSE,DE only
Ab,opn1lw1,Opsin / photopigment,2.87365391071315,0.0314531432191598,Ab higher,lightyellow,0.25698665728929615,0.566364694999859,0.8605077721304568,3.2754081740166797e-4,0.18626469803203932,0.5621676117496194,FALSE,FALSE,DE only
Mz,rpe65b,Visual cycle,3.42733613282825,3.91600262623218e-6,Mz higher,black,0.6822344185504048,0.22300536578542135,0.6724854270045043,0.01657371743113325,0.8119738151934709,0.00133709104113678,FALSE,FALSE,DE only
Mz,guca1c,Photoreceptor recovery,5.44671516643818,9.98487313976018e-6,Mz higher,yellow,0.5602752331176636,0.2554416259529368,0.764709649381022,0.00376631303936747,0.5677516446736531,0.05415504956385444,FALSE,FALSE,DE only
Mz,cnga1b,CNG channel,6.12668335882782,1.86085374981585e-5,Mz higher,black,0.6822344185504048,0.22300536578542135,0.7757802268437313,0.00302020336438509,0.46340774310141986,0.12919124626966852,FALSE,FALSE,DE only
Mz,gnat2,Phototransduction,3.47720753967078,1.6991024033713e-4,Mz higher,yellow,0.5602752331176636,0.2554416259529368,0.8038164506357466,0.00162935939100464,0.602775111785604,0.03802898075885693,FALSE,FALSE,DE only
Mz,guca1a,Photoreceptor recovery,2.78869494576598,0.00292707708317283,Mz higher,royalblue,0.1925996462561018,0.6788016468026334,0.8720622464907434,2.1692913429959877e-4,0.40276799912272576,0.19424375846888933,FALSE,FALSE,DE only
Mz,gngt1,Phototransduction,2.50159334804659,0.00377559355831041,Mz higher,blue,0.08482960697026748,0.8514638674072926,0.899318311450282,6.865908377334946e-5,0.13279399045530563,0.6807651358920758,FALSE,FALSE,DE only
Mz,opn1lw1,Opsin / photopigment,-4.45082845497492,0.005151220269001,Mz lower,lightyellow,-0.44577691973802913,0.3356980473144965,0.8605077721304568,3.2754081740166797e-4,-0.5133150955882103,0.08785152722292187,FALSE,FALSE,DE only
Mz,arr3a,Photoreceptor recovery,2.47308028904826,0.0156872093553463,Mz higher,blue,0.08482960697026748,0.8514638674072926,0.7730223824996949,0.00319448275565189,0.1594820462027988,0.6205335437437463,FALSE,FALSE,DE only
Mz,guca1b,Photoreceptor recovery,2.11863611767426,0.0223547218458422,Mz higher,blue,0.08482960697026748,0.8514638674072926,0.849853563651548,4.644427417359227e-4,0.15067394268151466,0.6401981345314252,FALSE,FALSE,DE only
Nb,gngt1,Phototransduction,-9.42945434687122,3.34162352072633e-8,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.899318311450282,6.865908377334946e-5,-0.6778030987225667,0.01542603056695296,FALSE,FALSE,DE only
Nb,arr3a,Photoreceptor recovery,-9.64405864016328,1.06858813980919e-7,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.7730223824996949,0.00319448275565189,-0.7273528025540639,0.00734532951671224,FALSE,FALSE,DE only
Nb,guca1c,Photoreceptor recovery,-9.86739576374109,1.90103053085282e-7,Nb lower,yellow,-0.5524483624880374,0.2554416259529368,0.764709649381022,0.00376631303936747,-0.6368739540490612,0.02593978917391659,FALSE,FALSE,DE only
Nb,opn1sw2,Opsin / photopigment,-9.1036467391643,1.27670075728495e-6,Nb lower,pink,-0.6707031667169419,0.22300536578542135,0.931749630204717,1.0392555094901696e-5,-0.6376815398106966,0.0256925735188646,FALSE,FALSE,DE only
Nb,guca1b,Photoreceptor recovery,-8.33213222557982,2.14725317062774e-6,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.849853563651548,4.644427417359227e-4,-0.6254862324540001,0.02961172645399411,FALSE,FALSE,DE only
Nb,guca1a,Photoreceptor recovery,-7.24749317803022,3.38417976806812e-5,Nb lower,royalblue,-0.6873475856719223,0.22300536578542135,0.8720622464907434,2.1692913429959877e-4,-0.6456239119638496,0.02335135439111586,FALSE,FALSE,DE only
Nb,pde6c,Phototransduction,-7.48111156482011,8.2307923185019e-5,Nb lower,blue,-0.5245093931458347,0.25944765385749297,0.6316700128101932,0.02757428254117904,-0.5900676022646684,0.04341847170320453,FALSE,FALSE,DE only
Nb,crx,Photoreceptor regulation,-6.87673628990066,1.3015651607875e-4,Nb lower,pink,-0.6707031667169419,0.22300536578542135,0.8741666152692076,2.004027514146791e-4,-0.7334444445681324,0.00663513795488704,FALSE,FALSE,DE only
Nb,cnga3a,CNG channel,-6.69486108108418,1.6688801558113e-4,Nb lower,black,-0.510104756601962,0.26583297576755593,0.6073510702179594,0.03621064630874683,-0.8236016666036846,9.92154347012447e-4,FALSE,FALSE,DE only
Nb,abca4b,Visual cycle,-6.79049799961818,2.2271489991066e-4,Nb lower,turquoise,-0.7560952189111962,0.17750278625125038,0.5546613325602683,0.06125076895870668,-0.6354905261486897,0.02636727412109387,FALSE,FALSE,DE only
