species,gene_name,visual_category,log2FoldChange,padj,direction,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class
Ab,opn1sw2,Opsin / photopigment,6.90551361811479,7.24541010968159e-9,Ab higher,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,DE only
Ab,guca1c,Photoreceptor recovery,4.94945872724114,7.87165629068864e-5,Ab higher,yellow,0.501564687866539,0.26583297576755593,Ab higher,FALSE,DE only
Ab,gnat1,Phototransduction,-3.52928205168208,1.0005159300156e-4,Ab lower,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,DE only
Ab,abca4a,Visual cycle,-5.48910049699896,3.0120479050348e-4,Ab lower,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,DE only
Ab,rgs9a,Photoreceptor recovery,3.97403718466631,4.316809334681e-4,Ab higher,lightcyan,0.4328170347939823,0.3553530671908849,Ab higher,FALSE,DE only
Ab,rpe65a,Visual cycle,-5.85451448422502,4.7149315111088e-4,Ab lower,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,DE only
Ab,rcvrn3,Photoreceptor recovery,-2.67821687838493,0.0241936799424796,Ab lower,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,DE only
Ab,pde6a,Phototransduction,-2.57755685735195,0.0251210968982711,Ab lower,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,DE only
Ab,opn1lw1,Opsin / photopigment,2.87365391071315,0.0314531432191598,Ab higher,lightyellow,0.25698665728929615,0.566364694999859,Ab higher,FALSE,DE only
Ab,otx2b,Photoreceptor regulation,3.8565537246606,0.0170192975085408,Ab higher,NA,NA,NA,NA,NA,DE only
Mz,rpe65b,Visual cycle,3.42733613282825,3.91600262623218e-6,Mz higher,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,DE only
Mz,guca1c,Photoreceptor recovery,5.44671516643818,9.98487313976018e-6,Mz higher,yellow,0.5602752331176636,0.2554416259529368,Mz higher,FALSE,DE only
Mz,cnga1b,CNG channel,6.12668335882782,1.86085374981585e-5,Mz higher,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,DE only
Mz,gnat2,Phototransduction,3.47720753967078,1.6991024033713e-4,Mz higher,yellow,0.5602752331176636,0.2554416259529368,Mz higher,FALSE,DE only
Mz,guca1a,Photoreceptor recovery,2.78869494576598,0.00292707708317283,Mz higher,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,DE only
Mz,gngt1,Phototransduction,2.50159334804659,0.00377559355831041,Mz higher,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only
Mz,opn1lw1,Opsin / photopigment,-4.45082845497492,0.005151220269001,Mz lower,lightyellow,-0.44577691973802913,0.3356980473144965,Mz lower,FALSE,DE only
Mz,arr3a,Photoreceptor recovery,2.47308028904826,0.0156872093553463,Mz higher,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only
Mz,guca1b,Photoreceptor recovery,2.11863611767426,0.0223547218458422,Mz higher,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only
Nb,gngt1,Phototransduction,-9.42945434687122,3.34162352072633e-8,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,arr3a,Photoreceptor recovery,-9.64405864016328,1.06858813980919e-7,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,guca1c,Photoreceptor recovery,-9.86739576374109,1.90103053085282e-7,Nb lower,yellow,-0.5524483624880374,0.2554416259529368,Nb lower,FALSE,DE only
Nb,opn1sw2,Opsin / photopigment,-9.1036467391643,1.27670075728495e-6,Nb lower,pink,-0.6707031667169419,0.22300536578542135,Nb lower,FALSE,DE only
Nb,guca1b,Photoreceptor recovery,-8.33213222557982,2.14725317062774e-6,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,guca1a,Photoreceptor recovery,-7.24749317803022,3.38417976806812e-5,Nb lower,royalblue,-0.6873475856719223,0.22300536578542135,Nb lower,FALSE,DE only
Nb,pde6c,Phototransduction,-7.48111156482011,8.2307923185019e-5,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,crx,Photoreceptor regulation,-6.87673628990066,1.3015651607875e-4,Nb lower,pink,-0.6707031667169419,0.22300536578542135,Nb lower,FALSE,DE only
Nb,cnga3a,CNG channel,-6.69486108108418,1.6688801558113e-4,Nb lower,black,-0.510104756601962,0.26583297576755593,Nb lower,FALSE,DE only
Nb,abca4b,Visual cycle,-6.79049799961818,2.2271489991066e-4,Nb lower,turquoise,-0.7560952189111962,0.17750278625125038,Nb lower,FALSE,DE only
Nb,six6a,Retinal regulation,-6.17950994592816,7.3782673974431e-4,Nb lower,royalblue,-0.6873475856719223,0.22300536578542135,Nb lower,FALSE,DE only
Nb,pde6ga,Phototransduction,-6.60259502373079,8.1381065836261e-4,Nb lower,turquoise,-0.7560952189111962,0.17750278625125038,Nb lower,FALSE,DE only
Nb,opn1lw1,Opsin / photopigment,-6.04610860281055,0.00125068195472684,Nb lower,lightyellow,-0.5345740909338043,0.2588999302896633,Nb lower,FALSE,DE only
Nb,nrl,Photoreceptor regulation,-5.45987739239002,0.0031648005319268,Nb lower,royalblue,-0.6873475856719223,0.22300536578542135,Nb lower,FALSE,DE only
Nb,cnga1b,CNG channel,-5.11054907144412,0.0100715652500766,Nb lower,black,-0.510104756601962,0.26583297576755593,Nb lower,FALSE,DE only
Nb,rgs9b,Photoreceptor recovery,-4.69210944778948,0.0106146789228394,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,cngb1b,CNG channel,-4.49489306363591,0.0137382057385381,Nb lower,turquoise,-0.7560952189111962,0.17750278625125038,Nb lower,FALSE,DE only
Nb,pde6a,Phototransduction,-2.4711932992753,0.0180350416422154,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,nr2e3,Photoreceptor regulation,-4.43414099589879,0.0184488941829772,Nb lower,magenta,-0.4038750649358604,0.39911275940489477,Nb lower,FALSE,DE only
Nb,rdh8a,Visual cycle,-1.88493023524026,0.0246922278646102,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,six7,Retinal regulation,-4.11785407139684,0.0262361889361451,Nb lower,blue,-0.5245093931458347,0.25944765385749297,Nb lower,FALSE,DE only
Nb,gnat2,Phototransduction,-2.06071691754821,0.0358366303000065,Nb lower,yellow,-0.5524483624880374,0.2554416259529368,Nb lower,FALSE,DE only
Nb,rx1,Retinal regulation,-4.79827738422544,0.0119520549281127,Nb lower,NA,NA,NA,NA,NA,DE only
On,nr2e3,Photoreceptor regulation,5.43788838571503,3.23960131998866e-6,On higher,magenta,0.9213597761125775,0.0024880905905499367,On higher,TRUE,DE + species-associated module
On,rdh12,Visual cycle,5.15230482830147,8.450946194296e-4,On higher,magenta,0.9213597761125775,0.0024880905905499367,On higher,TRUE,DE + species-associated module
On,gngt1,Phototransduction,4.70912133628811,8.170807092997331e-9,On higher,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
On,cnga1b,CNG channel,7.07616066368571,1.4073772960478e-8,On higher,black,0.3629991923892552,0.4319944103845951,On higher,FALSE,DE only
On,abca4a,Visual cycle,4.35588684600711,4.88562659130577e-8,On higher,green,0.3832123117419739,0.4103341677449856,On higher,FALSE,DE only
On,rpe65a,Visual cycle,5.88712823649074,1.48663007114256e-7,On higher,green,0.3832123117419739,0.4103341677449856,On higher,FALSE,DE only
On,cngb1b,CNG channel,5.11652663142096,2.82896979177123e-6,On higher,turquoise,0.6191755265029705,0.22300536578542135,On higher,FALSE,DE only
On,guca1b,Photoreceptor recovery,4.2303839405059,2.9214920350253e-6,On higher,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
On,arr3a,Photoreceptor recovery,4.34878062243054,1.07487126196347e-5,On higher,blue,0.6111595908739309,0.22300536578542135,On higher,FALSE,DE only
