gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class
opn1sw2,401.773466733748,6.90551361811479,1.17901593131271,2.29710370645294e-10,7.24541010968159e-9,Ab_vs_rest,Ab higher,Ab,opn1sw2,opn1sw2,Opsin / photopigment,TRUE,Ab higher,opn1sw2,opn1sw2,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,DE only
guca1c,435.620949827032,4.94945872724114,1.18429533163692,6.61889896121814e-6,7.87165629068864e-5,Ab_vs_rest,Ab higher,Ab,guca1c,guca1c,Photoreceptor recovery,TRUE,Ab higher,guca1c,guca1c,yellow,0.501564687866539,0.26583297576755593,Ab higher,FALSE,DE only
gnat1,412.150530066831,-3.52928205168208,0.821424307765151,8.72630435201607e-6,1.0005159300156e-4,Ab_vs_rest,Other species higher,Ab,gnat1,gnat1,Phototransduction,TRUE,Ab lower,gnat1,gnat1,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,DE only
abca4a,34.1993308265369,-5.48910049699896,1.48775598784493,2.9931754244269e-5,3.0120479050348e-4,Ab_vs_rest,Other species higher,Ab,abca4a,abca4a,Visual cycle,TRUE,Ab lower,abca4a,abca4a,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,DE only
rgs9a,122.870403062682,3.97403718466631,1.02890412485893,4.4845049354017e-5,4.316809334681e-4,Ab_vs_rest,Ab higher,Ab,rgs9a,rgs9a,Photoreceptor recovery,TRUE,Ab higher,rgs9a,rgs9a,lightcyan,0.4328170347939823,0.3553530671908849,Ab higher,FALSE,DE only
rpe65a,153.345016482509,-5.85451448422502,1.70347270417597,4.9630858011672e-5,4.7149315111088e-4,Ab_vs_rest,Other species higher,Ab,rpe65a,rpe65a,Visual cycle,TRUE,Ab lower,rpe65a,rpe65a,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,DE only
otx2b,4.14644278012234,3.8565537246606,1.50874283713906,0.00378327992993627,0.0170192975085408,Ab_vs_rest,Ab higher,Ab,otx2b,otx2b,Photoreceptor regulation,TRUE,Ab higher,otx2b,NA,NA,NA,NA,NA,NA,DE only
rcvrn3,74.7437159429161,-2.67821687838493,1.03120857666259,0.0060878332486841,0.0241936799424796,Ab_vs_rest,Other species higher,Ab,rcvrn3,rcvrn3,Photoreceptor recovery,TRUE,Ab lower,rcvrn3,rcvrn3,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,DE only
pde6a,68.6887571194873,-2.57755685735195,0.995146881727428,0.00643452657394312,0.0251210968982711,Ab_vs_rest,Other species higher,Ab,pde6a,pde6a,Phototransduction,TRUE,Ab lower,pde6a,pde6a,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,DE only
opn1lw1,36.4101305274267,2.87365391071315,1.17680508807838,0.00866340962352295,0.0314531432191598,Ab_vs_rest,Ab higher,Ab,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Ab higher,opn1lw1,opn1lw1,lightyellow,0.25698665728929615,0.566364694999859,Ab higher,FALSE,DE only
crx,17.0648031336895,2.33573390096344,1.03428630980815,0.0170465909740684,0.0501407283350777,Ab_vs_rest,Not significant,Ab,crx,crx,Photoreceptor regulation,FALSE,Not significant,crx,crx,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,No significant species-associated evidence
cnga1b,91.880106660169,-3.40439626790141,1.75448337130666,0.0208141279574764,0.0571564835170894,Ab_vs_rest,Not significant,Ab,cnga1b,cnga1b,CNG channel,FALSE,Not significant,cnga1b,cnga1b,black,-0.31362423984658255,0.49202729034295944,Ab lower,FALSE,No significant species-associated evidence
rgs9b,7.68153964835598,-3.13361834023894,1.62525485191429,0.025551474219618,0.0651024151572642,Ab_vs_rest,Not significant,Ab,rgs9b,rgs9b,Photoreceptor recovery,FALSE,Not significant,rgs9b,rgs9b,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
rdh8a,50.7547776545052,-1.6733645391454,0.796868870009623,0.0301710706993883,0.0726728476248471,Ab_vs_rest,Not significant,Ab,rdh8a,rdh8a,Visual cycle,FALSE,Not significant,rdh8a,rdh8a,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
gnat2,223.287627767456,1.73869095920518,0.893932014747518,0.0428542979953297,0.0911733822019331,Ab_vs_rest,Not significant,Ab,gnat2,gnat2,Phototransduction,FALSE,Not significant,gnat2,gnat2,yellow,0.501564687866539,0.26583297576755593,Ab higher,FALSE,No significant species-associated evidence
NR2E3,14.6707132277912,-2.88713731021247,1.67616705016208,0.0437869695503214,0.0924636192144919,Ab_vs_rest,Not significant,Ab,nr2e3,nr2e3,Photoreceptor regulation,FALSE,Not significant,nr2e3,NR2E3,magenta,-0.38686907335295995,0.4103341677449856,Ab lower,FALSE,No significant species-associated evidence
gngt1,230.427175935877,-1.67568087037308,0.907893582694872,0.0543237342107138,0.105680984642003,Ab_vs_rest,Not significant,Ab,gngt1,gngt1,Phototransduction,FALSE,Not significant,gngt1,gngt1,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
guca1d,3.97266472864489,2.70259247512408,1.67547872734153,0.059066623954169,0.111880289379129,Ab_vs_rest,Not significant,Ab,guca1d,guca1d,Photoreceptor recovery,FALSE,Not significant,guca1d,guca1d,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,No significant species-associated evidence
six7,4.88613589656629,-2.63006737538675,1.65948248014701,0.0645449149157831,0.119450004876612,Ab_vs_rest,Not significant,Ab,six7,six7,Retinal regulation,FALSE,Not significant,six7,six7,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
rx1,3.88729683371985,2.01445850008829,1.31303306365553,0.0928188781291588,0.152357382133754,Ab_vs_rest,Not significant,Ab,rx1,rx1,Retinal regulation,FALSE,Not significant,rx1,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
guca1b,91.2242424948658,-1.31324947744244,1.01426921951196,0.172393319122512,0.23686264699754,Ab_vs_rest,Not significant,Ab,guca1b,guca1b,Photoreceptor recovery,FALSE,Not significant,guca1b,guca1b,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
rx2,3.75072025411809,-1.93658382980414,1.88955475044693,0.206630012775427,0.270157994794116,Ab_vs_rest,Not significant,Ab,rx2,rx2,Retinal regulation,FALSE,Not significant,rx2,rx2,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
cnga3a,16.6158102651795,1.14458630233108,1.02167647862318,0.237359185088162,0.300750444109802,Ab_vs_rest,Not significant,Ab,cnga3a,cnga3a,CNG channel,FALSE,Not significant,cnga3a,cnga3a,black,-0.31362423984658255,0.49202729034295944,Ab lower,FALSE,No significant species-associated evidence
arr3a,265.827696270724,-1.17723622818783,1.07466397531335,0.245095463217269,0.308009731728159,Ab_vs_rest,Not significant,Ab,arr3a,arr3a,Photoreceptor recovery,FALSE,Not significant,arr3a,arr3a,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
abca4b,21.5803179388603,1.19049121864494,1.11531422862993,0.255078930889231,0.317307851675146,Ab_vs_rest,Not significant,Ab,abca4b,abca4b,Visual cycle,FALSE,Not significant,abca4b,abca4b,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant species-associated evidence
cngb1b,11.1476521119874,1.17261919002798,1.24470754965645,0.306934740105563,0.369600003929741,Ab_vs_rest,Not significant,Ab,cngb1b,cngb1b,CNG channel,FALSE,Not significant,cngb1b,cngb1b,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant species-associated evidence
pde6ga,44.2251257177041,1.17719358543997,1.32336265185957,0.329121423370607,0.391414151787995,Ab_vs_rest,Not significant,Ab,pde6ga,pde6ga,Phototransduction,FALSE,Not significant,pde6ga,pde6ga,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant species-associated evidence
nrl,6.12008102398229,1.02423363829065,1.20004448074146,0.357608701021387,0.419048081373079,Ab_vs_rest,Not significant,Ab,nrl,nrl,Photoreceptor regulation,FALSE,Not significant,nrl,nrl,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,No significant species-associated evidence
rpe65b,43.1908612564652,-0.65266371146477,0.753323577452386,0.372800563767792,0.433665961933962,Ab_vs_rest,Not significant,Ab,rpe65b,rpe65b,Visual cycle,FALSE,Not significant,rpe65b,rpe65b,black,-0.31362423984658255,0.49202729034295944,Ab lower,FALSE,No significant species-associated evidence
six6a,10.4056654647985,0.820404180762985,1.13885681381064,0.441121647927069,0.498463714310112,Ab_vs_rest,Not significant,Ab,six6a,six6a,Retinal regulation,FALSE,Not significant,six6a,six6a,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,No significant species-associated evidence
rdh5,29.1153481606706,-0.990311584119188,2.57551743614258,0.531104215252063,0.582812381423468,Ab_vs_rest,Not significant,Ab,rdh5,rdh5,Visual cycle,FALSE,Not significant,rdh5,rdh5,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
guca1a,24.0699651560929,0.549413233986772,0.96732194296996,0.551450122017921,0.601911089276845,Ab_vs_rest,Not significant,Ab,guca1a,guca1a,Photoreceptor recovery,FALSE,Not significant,guca1a,guca1a,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,No significant species-associated evidence
rdh12,4.65037736506299,-0.82628590028867,1.98588239053759,0.598105057353101,0.643775704388771,Ab_vs_rest,Not significant,Ab,rdh12,rdh12,Visual cycle,FALSE,Not significant,rdh12,rdh12,magenta,-0.38686907335295995,0.4103341677449856,Ab lower,FALSE,No significant species-associated evidence
pde6c,46.0198659559165,0.107590261523875,1.20983258666808,0.923541166280366,0.934786720816504,Ab_vs_rest,Not significant,Ab,pde6c,pde6c,Phototransduction,FALSE,Not significant,pde6c,pde6c,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant species-associated evidence
rcvrn2,327.80690955634,0.0350976255199594,0.625668223675975,0.954392195982789,0.960167640436543,Ab_vs_rest,Not significant,Ab,rcvrn2,rcvrn2,Photoreceptor recovery,FALSE,Not significant,rcvrn2,rcvrn2,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant species-associated evidence
pde6b,141.919563851369,-2.51570822044147,1.27999578996287,NA,NA,Ab_vs_rest,Not significant,Ab,pde6b,pde6b,Phototransduction,FALSE,Not significant,pde6b,pde6b,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,No significant species-associated evidence
pax6b,1.97341671449506,-1.76863534317804,1.85070886740847,0.243737641294587,NA,Ab_vs_rest,Not significant,Ab,pax6b,pax6b,Retinal regulation,FALSE,Not significant,pax6b,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
cnga1a,246.561509333681,1.74221081264197,1.13042375641105,NA,NA,Ab_vs_rest,Not significant,Ab,cnga1a,cnga1a,CNG channel,FALSE,Not significant,cnga1a,cnga1a,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,No significant species-associated evidence
rpe65b,43.1908612564652,3.42733613282825,0.767067018954224,4.54802922239616e-7,3.91600262623218e-6,Mz_vs_rest,Mz higher,Mz,rpe65b,rpe65b,Visual cycle,TRUE,Mz higher,rpe65b,rpe65b,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,DE only
guca1c,435.620949827032,5.44671516643818,1.24726215132258,1.22678557660449e-6,9.98487313976018e-6,Mz_vs_rest,Mz higher,Mz,guca1c,guca1c,Photoreceptor recovery,TRUE,Mz higher,guca1c,guca1c,yellow,0.5602752331176636,0.2554416259529368,Mz higher,FALSE,DE only
cnga1b,91.880106660169,6.12668335882782,1.46871029734687,2.43514122113306e-6,1.86085374981585e-5,Mz_vs_rest,Mz higher,Mz,cnga1b,cnga1b,CNG channel,TRUE,Mz higher,cnga1b,cnga1b,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,DE only
gnat2,223.287627767456,3.47720753967078,0.987953328253961,2.57243239187263e-5,1.6991024033713e-4,Mz_vs_rest,Mz higher,Mz,gnat2,gnat2,Phototransduction,TRUE,Mz higher,gnat2,gnat2,yellow,0.5602752331176636,0.2554416259529368,Mz higher,FALSE,DE only
guca1a,24.0699651560929,2.78869494576598,1.03319120373073,5.7714502719294e-4,0.00292707708317283,Mz_vs_rest,Mz higher,Mz,guca1a,guca1a,Photoreceptor recovery,TRUE,Mz higher,guca1a,guca1a,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,DE only
gngt1,230.427175935877,2.50159334804659,0.935726119945574,7.6719621922774e-4,0.00377559355831041,Mz_vs_rest,Mz higher,Mz,gngt1,gngt1,Phototransduction,TRUE,Mz higher,gngt1,gngt1,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only
opn1lw1,36.4101305274267,-4.45082845497492,1.94253720054943,0.00109540670932955,0.005151220269001,Mz_vs_rest,Other species higher,Mz,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Mz lower,opn1lw1,opn1lw1,lightyellow,-0.44577691973802913,0.3356980473144965,Mz lower,FALSE,DE only
arr3a,265.827696270724,2.47308028904826,1.15693889465555,0.0038262877053571,0.0156872093553463,Mz_vs_rest,Mz higher,Mz,arr3a,arr3a,Photoreceptor recovery,TRUE,Mz higher,arr3a,arr3a,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only
guca1b,91.2242424948658,2.11863611767426,1.00969040572235,0.00580605189344029,0.0223547218458422,Mz_vs_rest,Mz higher,Mz,guca1b,guca1b,Photoreceptor recovery,TRUE,Mz higher,guca1b,guca1b,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,DE only
rcvrn2,327.80690955634,1.17539574915516,0.597778330076277,0.0249390651380337,0.0743711308343965,Mz_vs_rest,Not significant,Mz,rcvrn2,rcvrn2,Photoreceptor recovery,FALSE,Not significant,rcvrn2,rcvrn2,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant species-associated evidence
cnga3a,16.6158102651795,1.65886364177447,0.995215251244726,0.0264605082620218,0.0778117137667793,Mz_vs_rest,Not significant,Mz,cnga3a,cnga3a,CNG channel,FALSE,Not significant,cnga3a,cnga3a,black,0.6822344185504048,0.22300536578542135,Mz higher,FALSE,No significant species-associated evidence
rgs9b,7.68153964835598,1.82608718140318,1.20992171548284,0.0308768618207062,0.0874341192678977,Mz_vs_rest,Not significant,Mz,rgs9b,rgs9b,Photoreceptor recovery,FALSE,Not significant,rgs9b,rgs9b,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
six6a,10.4056654647985,1.51348324469231,1.07325083641272,0.0517024757003414,0.132371810750711,Mz_vs_rest,Not significant,Mz,six6a,six6a,Retinal regulation,FALSE,Not significant,six6a,six6a,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,No significant species-associated evidence
NR2E3,14.6707132277912,1.56009399274482,1.24958087760082,0.0660468920247162,0.159311705357294,Mz_vs_rest,Not significant,Mz,nr2e3,nr2e3,Photoreceptor regulation,FALSE,Not significant,nr2e3,NR2E3,magenta,-0.1179134727503532,0.8017544494121127,Mz lower,FALSE,No significant species-associated evidence
pde6c,46.0198659559165,1.35081095473487,1.11542552401553,0.0872162155041093,0.19594267770666,Mz_vs_rest,Not significant,Mz,pde6c,pde6c,Phototransduction,FALSE,Not significant,pde6c,pde6c,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
pde6ga,44.2251257177041,1.40189534750541,1.23693289887775,0.0939069635513971,0.207500447172605,Mz_vs_rest,Not significant,Mz,pde6ga,pde6ga,Phototransduction,FALSE,Not significant,pde6ga,pde6ga,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant species-associated evidence
cngb1b,11.1476521119874,-1.22811122983968,1.42959110923541,0.166928736862809,0.317360715348714,Mz_vs_rest,Not significant,Mz,cngb1b,cngb1b,CNG channel,FALSE,Not significant,cngb1b,cngb1b,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant species-associated evidence
crx,17.0648031336895,0.775262713826102,0.903381697047779,0.262158762239192,0.433934268904944,Mz_vs_rest,Not significant,Mz,crx,crx,Photoreceptor regulation,FALSE,Not significant,crx,crx,pink,-0.020672044733298416,0.9571324687642487,Mz lower,FALSE,No significant species-associated evidence
rgs9a,122.870403062682,-0.743793789355302,0.897259272598156,0.279940639635909,0.452132566463824,Mz_vs_rest,Not significant,Mz,rgs9a,rgs9a,Photoreceptor recovery,FALSE,Not significant,rgs9a,rgs9a,lightcyan,-0.2198590764560461,0.6154121671869206,Mz lower,FALSE,No significant species-associated evidence
gnat1,412.150530066831,0.61806293356901,0.710676725210846,0.299173218113541,0.471278903104734,Mz_vs_rest,Not significant,Mz,gnat1,gnat1,Phototransduction,FALSE,Not significant,gnat1,gnat1,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
rcvrn3,74.7437159429161,0.68990256050492,0.852432714171672,0.301640830674311,0.473908580916636,Mz_vs_rest,Not significant,Mz,rcvrn3,rcvrn3,Photoreceptor recovery,FALSE,Not significant,rcvrn3,rcvrn3,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,No significant species-associated evidence
opn1sw2,401.773466733748,0.673855832957807,0.975834678226038,0.349114043752219,0.520548907513471,Mz_vs_rest,Not significant,Mz,opn1sw2,opn1sw2,Opsin / photopigment,FALSE,Not significant,opn1sw2,opn1sw2,pink,-0.020672044733298416,0.9571324687642487,Mz lower,FALSE,No significant species-associated evidence
nrl,6.12008102398229,0.654156352128914,0.989906867021341,0.366733174285808,0.537927465987873,Mz_vs_rest,Not significant,Mz,nrl,nrl,Photoreceptor regulation,FALSE,Not significant,nrl,nrl,royalblue,0.1925996462561018,0.6788016468026334,Mz higher,FALSE,No significant species-associated evidence
abca4b,21.5803179388603,0.616988520120601,0.934905437227988,0.379987724909572,0.550761976410028,Mz_vs_rest,Not significant,Mz,abca4b,abca4b,Visual cycle,FALSE,Not significant,abca4b,abca4b,turquoise,-0.11228762858852552,0.8017544494121127,Mz lower,FALSE,No significant species-associated evidence
rdh5,29.1153481606706,-0.225505381896814,1.91173138022991,0.795174554455459,0.875885965688475,Mz_vs_rest,Not significant,Mz,rdh5,rdh5,Visual cycle,FALSE,Not significant,rdh5,rdh5,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
abca4a,34.1993308265369,0.105466317463601,0.745241694580363,0.863616765155515,0.920909519689766,Mz_vs_rest,Not significant,Mz,abca4a,abca4a,Visual cycle,FALSE,Not significant,abca4a,abca4a,green,-0.15247158162265917,0.7411654445179834,Mz lower,FALSE,No significant species-associated evidence
rdh8a,50.7547776545052,-0.0872670004185047,0.661204137153673,0.877619377354146,0.931994173750726,Mz_vs_rest,Not significant,Mz,rdh8a,rdh8a,Visual cycle,FALSE,Not significant,rdh8a,rdh8a,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
rpe65a,153.345016482509,0.0808352354710196,0.979189520158846,0.90996639145741,0.952055229822163,Mz_vs_rest,Not significant,Mz,rpe65a,rpe65a,Visual cycle,FALSE,Not significant,rpe65a,rpe65a,green,-0.15247158162265917,0.7411654445179834,Mz lower,FALSE,No significant species-associated evidence
pde6a,68.6887571194873,8.6802970711186e-5,0.778593523158812,0.999890229755687,1,Mz_vs_rest,Not significant,Mz,pde6a,pde6a,Phototransduction,FALSE,Not significant,pde6a,pde6a,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
pax6b,1.97341671449506,1.91324856184083,1.61790401912462,0.0542129291893376,NA,Mz_vs_rest,Not significant,Mz,pax6b,pax6b,Retinal regulation,FALSE,Not significant,pax6b,NA,NA,NA,NA,NA,NA,No significant species-associated evidence
rx2,3.75072025411809,1.85129152591629,1.65067161668881,0.0636057323827054,NA,Mz_vs_rest,Not significant,Mz,rx2,rx2,Retinal regulation,FALSE,Not significant,rx2,rx2,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
six7,4.88613589656629,0.938011982237235,1.11619231060972,0.227318364941658,NA,Mz_vs_rest,Not significant,Mz,six7,six7,Retinal regulation,FALSE,Not significant,six7,six7,blue,0.08482960697026748,0.8514638674072926,Mz higher,FALSE,No significant species-associated evidence
cnga1a,246.561509333681,0.89714490337213,0.986871187327193,NA,NA,Mz_vs_rest,Not significant,Mz,cnga1a,cnga1a,CNG channel,FALSE,Not significant,cnga1a,cnga1a,pink,-0.020672044733298416,0.9571324687642487,Mz lower,FALSE,No significant species-associated evidence
