gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class,MM,MM_pvalue,GS,GS_pvalue,supported_hub,passes_MM,passes_aligned_GS,passes_GS_pvalue,passes_all_support_criteria,exploratory_joint_score,supported_hub_rank
opn1sw2,401.773466733748,6.90551361811479,1.17901593131271,2.29710370645294e-10,7.24541010968159e-9,Ab_vs_rest,Ab higher,Ab,opn1sw2,opn1sw2,Opsin / photopigment,TRUE,Ab higher,opn1sw2,opn1sw2,pink,0.6129723204851442,0.22300536578542135,Ab higher,FALSE,DE only,0.931749630204717,1.0392555094901696e-5,0.7434710054783119,0.0055800832507518,FALSE,NA,NA,NA,NA,NA,NA
guca1c,435.620949827032,4.94945872724114,1.18429533163692,6.61889896121814e-6,7.87165629068864e-5,Ab_vs_rest,Ab higher,Ab,guca1c,guca1c,Photoreceptor recovery,TRUE,Ab higher,guca1c,guca1c,yellow,0.501564687866539,0.26583297576755593,Ab higher,FALSE,DE only,0.764709649381022,0.00376631303936747,0.501223031279852,0.09690539698334592,FALSE,NA,NA,NA,NA,NA,NA
gnat1,412.150530066831,-3.52928205168208,0.821424307765151,8.72630435201607e-6,1.0005159300156e-4,Ab_vs_rest,Other species higher,Ab,gnat1,gnat1,Phototransduction,TRUE,Ab lower,gnat1,gnat1,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,DE only,0.7232496306987828,0.00785481997453543,-0.7071530447080308,0.01011244587027788,FALSE,NA,NA,NA,NA,NA,NA
abca4a,34.1993308265369,-5.48910049699896,1.48775598784493,2.9931754244269e-5,3.0120479050348e-4,Ab_vs_rest,Other species higher,Ab,abca4a,abca4a,Visual cycle,TRUE,Ab lower,abca4a,abca4a,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,DE only,0.7208743174028153,0.00816159352513431,-0.7210584098462132,0.00813750266167395,FALSE,NA,NA,NA,NA,NA,NA
rgs9a,122.870403062682,3.97403718466631,1.02890412485893,4.4845049354017e-5,4.316809334681e-4,Ab_vs_rest,Ab higher,Ab,rgs9a,rgs9a,Photoreceptor recovery,TRUE,Ab higher,rgs9a,rgs9a,lightcyan,0.4328170347939823,0.3553530671908849,Ab higher,FALSE,DE only,0.8415413456850518,5.991669698779859e-4,0.7048666165200137,0.01046850570812498,FALSE,NA,NA,NA,NA,NA,NA
rpe65a,153.345016482509,-5.85451448422502,1.70347270417597,4.9630858011672e-5,4.7149315111088e-4,Ab_vs_rest,Other species higher,Ab,rpe65a,rpe65a,Visual cycle,TRUE,Ab lower,rpe65a,rpe65a,green,-0.669255807988998,0.22300536578542135,Ab lower,FALSE,DE only,0.6385387172261918,0.02543204818584354,-0.6327180035184765,0.02723930080746638,FALSE,NA,NA,NA,NA,NA,NA
otx2b,4.14644278012234,3.8565537246606,1.50874283713906,0.00378327992993627,0.0170192975085408,Ab_vs_rest,Ab higher,Ab,otx2b,otx2b,Photoreceptor regulation,TRUE,Ab higher,otx2b,NA,NA,NA,NA,NA,NA,DE only,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
rcvrn3,74.7437159429161,-2.67821687838493,1.03120857666259,0.0060878332486841,0.0241936799424796,Ab_vs_rest,Other species higher,Ab,rcvrn3,rcvrn3,Photoreceptor recovery,TRUE,Ab lower,rcvrn3,rcvrn3,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,DE only,0.6618217617377714,0.01906256392763336,-0.6943621454140798,0.0122253835680381,FALSE,NA,NA,NA,NA,NA,NA
pde6a,68.6887571194873,-2.57755685735195,0.995146881727428,0.00643452657394312,0.0251210968982711,Ab_vs_rest,Other species higher,Ab,pde6a,pde6a,Phototransduction,TRUE,Ab lower,pde6a,pde6a,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,DE only,0.7866789234857575,0.0024012191833313,-0.510609760423316,0.08982531435837256,FALSE,NA,NA,NA,NA,NA,NA
opn1lw1,36.4101305274267,2.87365391071315,1.17680508807838,0.00866340962352295,0.0314531432191598,Ab_vs_rest,Ab higher,Ab,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Ab higher,opn1lw1,opn1lw1,lightyellow,0.25698665728929615,0.566364694999859,Ab higher,FALSE,DE only,0.8605077721304568,3.2754081740166797e-4,0.18626469803203932,0.5621676117496194,FALSE,NA,NA,NA,NA,NA,NA
