gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction
opn1sw2,401.773466733748,6.90551361811479,1.17901593131271,2.29710370645294e-10,7.2454101096815904e-09,Ab_vs_rest,Ab higher,Ab,opn1sw2,opn1sw2,Opsin / photopigment,TRUE,Ab higher
guca1c,435.620949827032,4.94945872724114,1.18429533163692,6.61889896121814e-6,7.87165629068864e-5,Ab_vs_rest,Ab higher,Ab,guca1c,guca1c,Photoreceptor recovery,TRUE,Ab higher
gnat1,412.150530066831,-3.52928205168208,0.821424307765151,8.72630435201607e-6,1.0005159300156e-4,Ab_vs_rest,Other species higher,Ab,gnat1,gnat1,Phototransduction,TRUE,Ab lower
abca4a,34.1993308265369,-5.48910049699896,1.48775598784493,2.9931754244269e-5,3.0120479050348e-4,Ab_vs_rest,Other species higher,Ab,abca4a,abca4a,Visual cycle,TRUE,Ab lower
rgs9a,122.870403062682,3.97403718466631,1.02890412485893,4.4845049354017e-5,4.316809334681e-4,Ab_vs_rest,Ab higher,Ab,rgs9a,rgs9a,Photoreceptor recovery,TRUE,Ab higher
rpe65a,153.345016482509,-5.85451448422502,1.70347270417597,4.9630858011672e-5,4.7149315111088e-4,Ab_vs_rest,Other species higher,Ab,rpe65a,rpe65a,Visual cycle,TRUE,Ab lower
otx2b,4.14644278012234,3.8565537246606,1.50874283713906,0.00378327992993627,0.0170192975085408,Ab_vs_rest,Ab higher,Ab,otx2b,otx2b,Photoreceptor regulation,TRUE,Ab higher
rcvrn3,74.7437159429161,-2.67821687838493,1.03120857666259,0.0060878332486841,0.0241936799424796,Ab_vs_rest,Other species higher,Ab,rcvrn3,rcvrn3,Photoreceptor recovery,TRUE,Ab lower
pde6a,68.6887571194873,-2.57755685735195,0.995146881727428,0.00643452657394312,0.0251210968982711,Ab_vs_rest,Other species higher,Ab,pde6a,pde6a,Phototransduction,TRUE,Ab lower
opn1lw1,36.4101305274267,2.87365391071315,1.17680508807838,0.00866340962352295,0.0314531432191598,Ab_vs_rest,Ab higher,Ab,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Ab higher
rpe65b,43.1908612564652,3.42733613282825,0.767067018954224,4.54802922239616e-7,3.91600262623218e-6,Mz_vs_rest,Mz higher,Mz,rpe65b,rpe65b,Visual cycle,TRUE,Mz higher
guca1c,435.620949827032,5.44671516643818,1.24726215132258,1.22678557660449e-6,9.98487313976018e-6,Mz_vs_rest,Mz higher,Mz,guca1c,guca1c,Photoreceptor recovery,TRUE,Mz higher
cnga1b,91.880106660169,6.12668335882782,1.46871029734687,2.43514122113306e-6,1.86085374981585e-5,Mz_vs_rest,Mz higher,Mz,cnga1b,cnga1b,CNG channel,TRUE,Mz higher
gnat2,223.287627767456,3.47720753967078,0.987953328253961,2.57243239187263e-5,1.6991024033713e-4,Mz_vs_rest,Mz higher,Mz,gnat2,gnat2,Phototransduction,TRUE,Mz higher
guca1a,24.0699651560929,2.78869494576598,1.03319120373073,5.7714502719294e-4,0.00292707708317283,Mz_vs_rest,Mz higher,Mz,guca1a,guca1a,Photoreceptor recovery,TRUE,Mz higher
gngt1,230.427175935877,2.50159334804659,0.935726119945574,7.6719621922774e-4,0.00377559355831041,Mz_vs_rest,Mz higher,Mz,gngt1,gngt1,Phototransduction,TRUE,Mz higher
opn1lw1,36.4101305274267,-4.45082845497492,1.94253720054943,0.00109540670932955,0.005151220269001,Mz_vs_rest,Other species higher,Mz,opn1lw1,opn1lw1,Opsin / photopigment,TRUE,Mz lower
arr3a,265.827696270724,2.47308028904826,1.15693889465555,0.0038262877053571,0.0156872093553463,Mz_vs_rest,Mz higher,Mz,arr3a,arr3a,Photoreceptor recovery,TRUE,Mz higher
guca1b,91.2242424948658,2.11863611767426,1.00969040572235,0.00580605189344029,0.0223547218458422,Mz_vs_rest,Mz higher,Mz,guca1b,guca1b,Photoreceptor recovery,TRUE,Mz higher
gngt1,230.427175935877,-9.42945434687122,1.58471899194673,4.89937283114011e-10,3.34162352072633e-8,Nb_vs_rest,Other species higher,Nb,gngt1,gngt1,Phototransduction,TRUE,Nb lower
arr3a,265.827696270724,-9.64405864016328,1.6955329831587,2.11575095350692e-9,1.06858813980919e-7,Nb_vs_rest,Other species higher,Nb,arr3a,arr3a,Photoreceptor recovery,TRUE,Nb lower
guca1c,435.620949827032,-9.86739576374109,1.77751880090901,4.19274904047739e-9,1.90103053085282e-7,Nb_vs_rest,Other species higher,Nb,guca1c,guca1c,Photoreceptor recovery,TRUE,Nb lower
opn1sw2,401.773466733748,-9.1036467391643,1.76339949445299,4.76762939437237e-8,1.27670075728495e-6,Nb_vs_rest,Other species higher,Nb,opn1sw2,opn1sw2,Opsin / photopigment,TRUE,Nb lower
