gene_name_DESeq2,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name_reference,significant,direction
opn1sw2,401.773466733748,6.90551361811479,1.17901593131271,2.29710370645294e-10,7.2454101096815904e-09,Ab_vs_rest,Ab higher,Ab,opn1sw2,OPN1SW2,TRUE,Ab higher
gnat1,412.150530066831,-3.52928205168208,0.821424307765151,8.72630435201607e-6,1.0005159300156e-4,Ab_vs_rest,Other species higher,Ab,gnat1,GNAT1,TRUE,Other species higher
pde6a,68.6887571194873,-2.57755685735195,0.995146881727428,0.00643452657394312,0.0251210968982711,Ab_vs_rest,Other species higher,Ab,pde6a,PDE6A,TRUE,Other species higher
gnat2,223.287627767456,3.47720753967078,0.987953328253961,2.57243239187263e-5,1.6991024033713e-4,Mz_vs_rest,Mz higher,Mz,gnat2,GNAT2,TRUE,Mz higher
guca1a,24.0699651560929,2.78869494576598,1.03319120373073,5.7714502719294e-4,0.00292707708317283,Mz_vs_rest,Mz higher,Mz,guca1a,GUCA1A,TRUE,Mz higher
gngt1,230.427175935877,2.50159334804659,0.935726119945574,7.6719621922774e-4,0.00377559355831041,Mz_vs_rest,Mz higher,Mz,gngt1,GNGT1,TRUE,Mz higher
guca1b,91.2242424948658,2.11863611767426,1.00969040572235,0.00580605189344029,0.0223547218458422,Mz_vs_rest,Mz higher,Mz,guca1b,GUCA1B,TRUE,Mz higher
gngt1,230.427175935877,-9.42945434687122,1.58471899194673,4.89937283114011e-10,3.34162352072633e-8,Nb_vs_rest,Other species higher,Nb,gngt1,GNGT1,TRUE,Other species higher
opn1sw2,401.773466733748,-9.1036467391643,1.76339949445299,4.76762939437237e-8,1.27670075728495e-6,Nb_vs_rest,Other species higher,Nb,opn1sw2,OPN1SW2,TRUE,Other species higher
guca1b,91.2242424948658,-8.33213222557982,1.6347532084892,8.9931729618945e-8,2.14725317062774e-6,Nb_vs_rest,Other species higher,Nb,guca1b,GUCA1B,TRUE,Other species higher
guca1a,24.0699651560929,-7.24749317803022,1.62024801142182,2.76501905862207e-6,3.38417976806812e-5,Nb_vs_rest,Other species higher,Nb,guca1a,GUCA1A,TRUE,Other species higher
pde6c,46.0198659559165,-7.48111156482011,1.78055808086031,8.64336336203583e-6,8.2307923185019e-5,Nb_vs_rest,Other species higher,Nb,pde6c,PDE6C,TRUE,Other species higher
crx,17.0648031336895,-6.87673628990066,1.67485065629027,1.57953255193852e-5,1.3015651607875e-4,Nb_vs_rest,Other species higher,Nb,crx,CRX,TRUE,Other species higher
nrl,6.12008102398229,-5.45987739239002,1.75199722036081,9.9028908874952e-4,0.0031648005319268,Nb_vs_rest,Other species higher,Nb,nrl,NRL,TRUE,Other species higher
pde6a,68.6887571194873,-2.4711932992753,0.973164360486815,0.00984260559235344,0.0180350416422154,Nb_vs_rest,Other species higher,Nb,pde6a,PDE6A,TRUE,Other species higher
NR2E3,14.6707132277912,-4.43414099589879,1.83286168466357,0.0101468918006375,0.0184488941829772,Nb_vs_rest,Other species higher,Nb,nr2e3,NR2E3,TRUE,Other species higher
gnat2,223.287627767456,-2.06071691754821,0.923811722883861,0.0235857120721346,0.0358366303000065,Nb_vs_rest,Other species higher,Nb,gnat2,GNAT2,TRUE,Other species higher
gngt1,230.427175935877,4.70912133628811,0.768126773045475,2.54804788412685e-10,8.170807092997331e-9,On_vs_rest,On higher,On,gngt1,GNGT1,TRUE,On higher
guca1b,91.2242424948658,4.2303839405059,0.848355062615144,2.21308850289823e-7,2.9214920350253e-6,On_vs_rest,On higher,On,guca1b,GUCA1B,TRUE,On higher
NR2E3,14.6707132277912,5.43788838571503,1.13024499206673,2.47792709926695e-7,3.23960131998866e-6,On_vs_rest,On higher,On,nr2e3,NR2E3,TRUE,On higher
pde6c,46.0198659559165,3.95767871545905,1.04773539669044,6.10754295723923e-5,3.482676200304e-4,On_vs_rest,On higher,On,pde6c,PDE6C,TRUE,On higher
pde6a,68.6887571194873,2.93568314230975,0.79629007965326,1.3777573909441e-4,6.8968385526378e-4,On_vs_rest,On higher,On,pde6a,PDE6A,TRUE,On higher
gnat1,412.150530066831,2.41738575599034,0.691419391166591,3.3730692923928e-4,0.00146996518922097,On_vs_rest,On higher,On,gnat1,GNAT1,TRUE,On higher
rdh5,29.1153481606706,4.0997870032614,2.30759010888259,0.00854745332395111,0.0213162912809497,On_vs_rest,On higher,On,rdh5,RDH5,TRUE,On higher
gngt1,230.427175935877,3.68954699131481,0.816573231894093,2.06033172047217e-7,2.74479560571534e-6,Pn_vs_rest,Pn higher,Pn,gngt1,GNGT1,TRUE,Pn higher
guca1b,91.2242424948658,2.74707617684128,0.877423468351644,1.7777312424424e-4,0.00134242044178706,Pn_vs_rest,Pn higher,Pn,guca1b,GUCA1B,TRUE,Pn higher
gnat2,223.287627767456,-2.27199630676202,0.792084457930381,7.9593014544256e-4,0.00499667257972277,Pn_vs_rest,Other species higher,Pn,gnat2,GNAT2,TRUE,Other species higher
guca1a,24.0699651560929,2.04386867935171,0.821100860235389,0.00325333215207838,0.0164696686866816,Pn_vs_rest,Pn higher,Pn,guca1a,GUCA1A,TRUE,Pn higher
pde6a,68.6887571194873,1.83210588577823,0.773741970665838,0.00588754849641623,0.026630741161774,Pn_vs_rest,Pn higher,Pn,pde6a,PDE6A,TRUE,Pn higher
