gene_name,gene_match,present_in_DESeq2,dataset_gene_name
RH1,rh1,FALSE,NA
RHO,rho,FALSE,NA
SWS1,sws1,FALSE,NA
SWS2A,sws2a,FALSE,NA
SWS2B,sws2b,FALSE,NA
RH2A,rh2a,FALSE,NA
RH2AALPHA,rh2aalpha,FALSE,NA
RH2ABETA,rh2abeta,FALSE,NA
RH2B,rh2b,FALSE,NA
LWS,lws,FALSE,NA
OPN1SW1,opn1sw1,FALSE,NA
OPN1SW2,opn1sw2,TRUE,opn1sw2
OPN1MW,opn1mw,FALSE,NA
OPN1LW,opn1lw,FALSE,NA
GNAT1,gnat1,TRUE,gnat1
GNAT2,gnat2,TRUE,gnat2
GNB1,gnb1,FALSE,NA
GNGT1,gngt1,TRUE,gngt1
GNGT2,gngt2,FALSE,NA
PDE6A,pde6a,TRUE,pde6a
PDE6B,pde6b,TRUE,pde6b
PDE6C,pde6c,TRUE,pde6c
CNGA1,cnga1,FALSE,NA
CNGA3,cnga3,FALSE,NA
CNGB1,cngb1,FALSE,NA
CNGB3,cngb3,FALSE,NA
ARR3,arr3,FALSE,NA
SAG,sag,FALSE,NA
RCVRN,rcvrn,FALSE,NA
RGS9,rgs9,FALSE,NA
GUCA1A,guca1a,TRUE,guca1a
GUCA1B,guca1b,TRUE,guca1b
RPE65,rpe65,FALSE,NA
LRAT,lrat,FALSE,NA
ABCA4,abca4,FALSE,NA
RDH5,rdh5,TRUE,rdh5
RDH8,rdh8,FALSE,NA
CRX,crx,TRUE,crx
PAX6,pax6,FALSE,NA
NRL,nrl,TRUE,nrl
NR2E3,nr2e3,TRUE,NR2E3
OTX2,otx2,FALSE,NA
SIX6,six6,FALSE,NA
