gene_name_DESeq2,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name_reference,significant,direction
opn1sw2,401.773466733748,6.90551361811479,1.17901593131271,2.29710370645294e-10,7.2454101096815904e-09,Ab_vs_rest,Ab higher,Ab,opn1sw2,OPN1SW2,TRUE,Ab higher
gnat1,412.150530066831,-3.52928205168208,0.821424307765151,8.72630435201607e-6,1.0005159300156e-4,Ab_vs_rest,Other species higher,Ab,gnat1,GNAT1,TRUE,Other species higher
pde6a,68.6887571194873,-2.57755685735195,0.995146881727428,0.00643452657394312,0.0251210968982711,Ab_vs_rest,Other species higher,Ab,pde6a,PDE6A,TRUE,Other species higher
crx,17.0648031336895,2.33573390096344,1.03428630980815,0.0170465909740684,0.0501407283350777,Ab_vs_rest,Not significant,Ab,crx,CRX,FALSE,Not significant
gnat2,223.287627767456,1.73869095920518,0.893932014747518,0.0428542979953297,0.0911733822019331,Ab_vs_rest,Not significant,Ab,gnat2,GNAT2,FALSE,Not significant
NR2E3,14.6707132277912,-2.88713731021247,1.67616705016208,0.0437869695503214,0.0924636192144919,Ab_vs_rest,Not significant,Ab,nr2e3,NR2E3,FALSE,Not significant
gngt1,230.427175935877,-1.67568087037308,0.907893582694872,0.0543237342107138,0.105680984642003,Ab_vs_rest,Not significant,Ab,gngt1,GNGT1,FALSE,Not significant
guca1b,91.2242424948658,-1.31324947744244,1.01426921951196,0.172393319122512,0.23686264699754,Ab_vs_rest,Not significant,Ab,guca1b,GUCA1B,FALSE,Not significant
nrl,6.12008102398229,1.02423363829065,1.20004448074146,0.357608701021387,0.419048081373079,Ab_vs_rest,Not significant,Ab,nrl,NRL,FALSE,Not significant
rdh5,29.1153481606706,-0.990311584119188,2.57551743614258,0.531104215252063,0.582812381423468,Ab_vs_rest,Not significant,Ab,rdh5,RDH5,FALSE,Not significant
guca1a,24.0699651560929,0.549413233986772,0.96732194296996,0.551450122017921,0.601911089276845,Ab_vs_rest,Not significant,Ab,guca1a,GUCA1A,FALSE,Not significant
pde6c,46.0198659559165,0.107590261523875,1.20983258666808,0.923541166280366,0.934786720816504,Ab_vs_rest,Not significant,Ab,pde6c,PDE6C,FALSE,Not significant
pde6b,141.919563851369,-2.51570822044147,1.27999578996287,NA,NA,Ab_vs_rest,Not significant,Ab,pde6b,PDE6B,FALSE,Not significant
gnat2,223.287627767456,3.47720753967078,0.987953328253961,2.57243239187263e-5,1.6991024033713e-4,Mz_vs_rest,Mz higher,Mz,gnat2,GNAT2,TRUE,Mz higher
guca1a,24.0699651560929,2.78869494576598,1.03319120373073,5.7714502719294e-4,0.00292707708317283,Mz_vs_rest,Mz higher,Mz,guca1a,GUCA1A,TRUE,Mz higher
gngt1,230.427175935877,2.50159334804659,0.935726119945574,7.6719621922774e-4,0.00377559355831041,Mz_vs_rest,Mz higher,Mz,gngt1,GNGT1,TRUE,Mz higher
guca1b,91.2242424948658,2.11863611767426,1.00969040572235,0.00580605189344029,0.0223547218458422,Mz_vs_rest,Mz higher,Mz,guca1b,GUCA1B,TRUE,Mz higher
NR2E3,14.6707132277912,1.56009399274482,1.24958087760082,0.0660468920247162,0.159311705357294,Mz_vs_rest,Not significant,Mz,nr2e3,NR2E3,FALSE,Not significant
pde6c,46.0198659559165,1.35081095473487,1.11542552401553,0.0872162155041093,0.19594267770666,Mz_vs_rest,Not significant,Mz,pde6c,PDE6C,FALSE,Not significant
crx,17.0648031336895,0.775262713826102,0.903381697047779,0.262158762239192,0.433934268904944,Mz_vs_rest,Not significant,Mz,crx,CRX,FALSE,Not significant
gnat1,412.150530066831,0.61806293356901,0.710676725210846,0.299173218113541,0.471278903104734,Mz_vs_rest,Not significant,Mz,gnat1,GNAT1,FALSE,Not significant
opn1sw2,401.773466733748,0.673855832957807,0.975834678226038,0.349114043752219,0.520548907513471,Mz_vs_rest,Not significant,Mz,opn1sw2,OPN1SW2,FALSE,Not significant
nrl,6.12008102398229,0.654156352128914,0.989906867021341,0.366733174285808,0.537927465987873,Mz_vs_rest,Not significant,Mz,nrl,NRL,FALSE,Not significant
rdh5,29.1153481606706,-0.225505381896814,1.91173138022991,0.795174554455459,0.875885965688475,Mz_vs_rest,Not significant,Mz,rdh5,RDH5,FALSE,Not significant
pde6a,68.6887571194873,8.6802970711186e-5,0.778593523158812,0.999890229755687,1,Mz_vs_rest,Not significant,Mz,pde6a,PDE6A,FALSE,Not significant
pde6b,141.919563851369,-0.868302173906977,1.07974393915199,NA,NA,Mz_vs_rest,Not significant,Mz,pde6b,PDE6B,FALSE,Not significant
gngt1,230.427175935877,-9.42945434687122,1.58471899194673,4.89937283114011e-10,3.34162352072633e-8,Nb_vs_rest,Other species higher,Nb,gngt1,GNGT1,TRUE,Other species higher
opn1sw2,401.773466733748,-9.1036467391643,1.76339949445299,4.76762939437237e-8,1.27670075728495e-6,Nb_vs_rest,Other species higher,Nb,opn1sw2,OPN1SW2,TRUE,Other species higher
guca1b,91.2242424948658,-8.33213222557982,1.6347532084892,8.9931729618945e-8,2.14725317062774e-6,Nb_vs_rest,Other species higher,Nb,guca1b,GUCA1B,TRUE,Other species higher
guca1a,24.0699651560929,-7.24749317803022,1.62024801142182,2.76501905862207e-6,3.38417976806812e-5,Nb_vs_rest,Other species higher,Nb,guca1a,GUCA1A,TRUE,Other species higher
pde6c,46.0198659559165,-7.48111156482011,1.78055808086031,8.64336336203583e-6,8.2307923185019e-5,Nb_vs_rest,Other species higher,Nb,pde6c,PDE6C,TRUE,Other species higher
crx,17.0648031336895,-6.87673628990066,1.67485065629027,1.57953255193852e-5,1.3015651607875e-4,Nb_vs_rest,Other species higher,Nb,crx,CRX,TRUE,Other species higher
nrl,6.12008102398229,-5.45987739239002,1.75199722036081,9.9028908874952e-4,0.0031648005319268,Nb_vs_rest,Other species higher,Nb,nrl,NRL,TRUE,Other species higher
pde6a,68.6887571194873,-2.4711932992753,0.973164360486815,0.00984260559235344,0.0180350416422154,Nb_vs_rest,Other species higher,Nb,pde6a,PDE6A,TRUE,Other species higher
NR2E3,14.6707132277912,-4.43414099589879,1.83286168466357,0.0101468918006375,0.0184488941829772,Nb_vs_rest,Other species higher,Nb,nr2e3,NR2E3,TRUE,Other species higher
gnat2,223.287627767456,-2.06071691754821,0.923811722883861,0.0235857120721346,0.0358366303000065,Nb_vs_rest,Other species higher,Nb,gnat2,GNAT2,TRUE,Other species higher
gnat1,412.150530066831,-1.05508502788193,0.81474302475312,0.190235343440721,0.210990693628485,Nb_vs_rest,Not significant,Nb,gnat1,GNAT1,FALSE,Not significant
rdh5,29.1153481606706,-2.31848743143411,3.31166921995684,0.376414544111192,0.397852723444677,Nb_vs_rest,Not significant,Nb,rdh5,RDH5,FALSE,Not significant
